"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Simmons, E. Denise","Siddiqui, Sumbul","Sivongxay, Vatsady","Carlone, Dennis J.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Santos, Jeff","Sivongxay, Vatsady","Carlone, Dennis J.","Harding, Jr., Richard","Volmar, Gwen Thomas","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Kelley, Craig A.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Volmar, Gwen Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Devereux, Jan","Siddiqui, Sumbul","Harding, Jr., Richard","Sivongxay, Vatsady","Carlone, Dennis J.","Santos, Jeff","Zondervan, Quinton Y.","D'Ambrosio, Olivia","Musgrave, Adriane B.","Okamoto, Nadya T.","Sutton, Bryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Santos, Jeff","Volmar, Gwen Thomas","Sivongxay, Vatsady","Levy, Ilan","Okamoto, Nadya T.","McGovern, Marc C.","Toomey, Jr., Timothy J.","D'Ambrosio, Olivia","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Simmons, E. Denise","Tierney, Sean","Volmar, Gwen Thomas","Musgrave, Adriane B.","Devereux, Jan","Zondervan, Quinton Y.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Okamoto, Nadya T.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Musgrave, Adriane B.","Gebru, Samuel","Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
