"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","D'Ambrosio, Olivia","Carlone, Dennis J.","Simmons, E. Denise","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Sivongxay, Vatsady","Carlone, Dennis J.","McGovern, Marc C.","Siddiqui, Sumbul","Okamoto, Nadya T.","Volmar, Gwen Thomas","Sutton, Bryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Mallon, Alana M.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Zondervan, Quinton Y.","Volmar, Gwen Thomas","Gebru, Samuel","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Siddiqui, Sumbul","Tierney, Sean","Sivongxay, Vatsady","Gebru, Samuel","Zondervan, Quinton Y.","Musgrave, Adriane B.","Mallon, Alana M.","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Okamoto, Nadya T.","Simmons, E. Denise","Kelley, Craig A.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Siddiqui, Sumbul","Volmar, Gwen Thomas","Gebru, Samuel","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","McGovern, Marc C.","Sivongxay, Vatsady","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Okamoto, Nadya T.","Siddiqui, Sumbul","Devereux, Jan","Zondervan, Quinton Y.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Volmar, Gwen Thomas","McGovern, Marc C.","Mallon, Alana M.","Levy, Ilan","Kelley, Craig A.","Zondervan, Quinton Y.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Devereux, Jan","Sivongxay, Vatsady","Zondervan, Quinton Y.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Carlone, Dennis J.","Devereux, Jan","Gebru, Samuel","Siddiqui, Sumbul","Okamoto, Nadya T.","Zondervan, Quinton Y.","D'Ambrosio, Olivia","Harding, Jr., Richard","Levy, Ilan","Sivongxay, Vatsady","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","Siddiqui, Sumbul","McGovern, Marc C.","Sivongxay, Vatsady","Musgrave, Adriane B.","Kelley, Craig A.","Volmar, Gwen Thomas","Mallon, Alana M.","Tierney, Sean","Simmons, E. Denise","Santos, Jeff","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","McGovern, Marc C.","Volmar, Gwen Thomas","Carlone, Dennis J.","Kelley, Craig A.","D'Ambrosio, Olivia","Mallon, Alana M.","Okamoto, Nadya T.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Sivongxay, Vatsady","Siddiqui, Sumbul","Santos, Jeff","Carlone, Dennis J.","McGovern, Marc C.","Zondervan, Quinton Y.","Musgrave, Adriane B.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Kelley, Craig A.","Zondervan, Quinton Y.","D'Ambrosio, Olivia","Devereux, Jan","Musgrave, Adriane B.","Sivongxay, Vatsady","Tierney, Sean","Gebru, Samuel","Mallon, Alana M.","McGovern, Marc C.","Carlone, Dennis J.","Volmar, Gwen Thomas","Okamoto, Nadya T.","Sutton, Bryan","Levy, Ilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","Simmons, E. Denise","McGovern, Marc C.","Carlone, Dennis J.","Okamoto, Nadya T.","Mallon, Alana M.","Musgrave, Adriane B.","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Levy, Ilan","Gebru, Samuel","Sivongxay, Vatsady","Okamoto, Nadya T.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","McGovern, Marc C.","Mallon, Alana M.","Carlone, Dennis J.","Devereux, Jan","Simmons, E. Denise","Siddiqui, Sumbul","Zondervan, Quinton Y.","Toner, Paul F.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Devereux, Jan","Carlone, Dennis J.","Zondervan, Quinton Y.","McGovern, Marc C.","Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Siddiqui, Sumbul","McGovern, Marc C.","Zondervan, Quinton Y.","Simmons, E. Denise","Kelley, Craig A.","Mallon, Alana M.","Carlone, Dennis J.","Sivongxay, Vatsady","Gebru, Samuel","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","Gebru, Samuel","McGovern, Marc C.","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","McGovern, Marc C.","Okamoto, Nadya T.","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Burgin, Josh M.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Carlone, Dennis J.","Siddiqui, Sumbul","Gebru, Samuel","Musgrave, Adriane B.","Zondervan, Quinton Y.","Sivongxay, Vatsady","Okamoto, Nadya T.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady","McGovern, Marc C.","Gebru, Samuel","Volmar, Gwen Thomas","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Zondervan, Quinton Y.","Gebru, Samuel","Mallon, Alana M.","Volmar, Gwen Thomas","Siddiqui, Sumbul","Sivongxay, Vatsady","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Gebru, Samuel","Mallon, Alana M.","Devereux, Jan","Volmar, Gwen Thomas","Siddiqui, Sumbul","Sivongxay, Vatsady","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Kelley, Craig A.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Kelley, Craig A.","Tierney, Sean","D'Ambrosio, Olivia","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","D'Ambrosio, Olivia","Tierney, Sean","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Simmons, E. Denise","Siddiqui, Sumbul","Carlone, Dennis J.","Toner, Paul F.","McGovern, Marc C.","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Sivongxay, Vatsady","Musgrave, Adriane B.","Harding, Jr., Richard","McGovern, Marc C.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Gebru, Samuel","Devereux, Jan","Simmons, E. Denise","McGovern, Marc C.","Pillai, Hari I.","Santos, Jeff","Toner, Paul F.","Mallon, Alana M.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Okamoto, Nadya T.","Mallon, Alana M.","Siddiqui, Sumbul","Carlone, Dennis J.","D'Ambrosio, Olivia","Sivongxay, Vatsady","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Sivongxay, Vatsady","Musgrave, Adriane B.","Gebru, Samuel","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Simmons, E. Denise","McGovern, Marc C.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","D'Ambrosio, Olivia","Devereux, Jan","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Musgrave, Adriane B.","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Toomey, Jr., Timothy J.","Mallon, Alana M.","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Volmar, Gwen Thomas","Simmons, E. Denise","Carlone, Dennis J.","Devereux, Jan","Musgrave, Adriane B.","McGovern, Marc C.","Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levy, Ilan","Zondervan, Quinton Y.","McGovern, Marc C.","Devereux, Jan","Siddiqui, Sumbul","Sutton, Bryan","Toner, Paul F.","Sivongxay, Vatsady","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Simmons, E. Denise","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Musgrave, Adriane B.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Siddiqui, Sumbul","Sivongxay, Vatsady","Carlone, Dennis J.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Carlone, Dennis J.","Devereux, Jan","Musgrave, Adriane B.","Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","Mallon, Alana M.","D'Ambrosio, Olivia","Pillai, Hari I.","Gebru, Samuel","Tierney, Sean","Kelley, Craig A.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Gebru, Samuel","Simmons, E. Denise","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Zondervan, Quinton Y.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Devereux, Jan","Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Carlone, Dennis J.","Devereux, Jan","Gebru, Samuel","Pillai, Hari I.","Siddiqui, Sumbul","Harding, Jr., Richard","Musgrave, Adriane B.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Simmons, E. Denise","Devereux, Jan","Zondervan, Quinton Y.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Sivongxay, Vatsady","Siddiqui, Sumbul","Gebru, Samuel","Volmar, Gwen Thomas","McGovern, Marc C.","Devereux, Jan","Carlone, Dennis J.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Tierney, Sean","Sivongxay, Vatsady","Carlone, Dennis J.","Musgrave, Adriane B.","Mallon, Alana M.","Devereux, Jan","Simmons, E. Denise","Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Devereux, Jan","Zondervan, Quinton Y.","Sivongxay, Vatsady","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Zondervan, Quinton Y.","Carlone, Dennis J.","Okamoto, Nadya T.","Devereux, Jan","Gebru, Samuel","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Mallon, Alana M.","Volmar, Gwen Thomas","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","McGovern, Marc C.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Volmar, Gwen Thomas","McGovern, Marc C.","Devereux, Jan","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Devereux, Jan","Zondervan, Quinton Y.","Carlone, Dennis J.","Okamoto, Nadya T.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Devereux, Jan","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.","Okamoto, Nadya T.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Harding, Jr., Richard","Siddiqui, Sumbul","Carlone, Dennis J.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Gebru, Samuel","Mallon, Alana M.","Harding, Jr., Richard","Devereux, Jan","Simmons, E. Denise","D'Ambrosio, Olivia","Sivongxay, Vatsady","Benjamin, Ronald","Musgrave, Adriane B.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Pillai, Hari I.","Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Gebru, Samuel","Carlone, Dennis J.","McGovern, Marc C.","Musgrave, Adriane B.","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Siddiqui, Sumbul","Pillai, Hari I.","Mallon, Alana M.","D'Ambrosio, Olivia","Simmons, E. Denise","Sivongxay, Vatsady","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady","McGovern, Marc C.","Tierney, Sean","Gebru, Samuel","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
