"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,5.111,1.555
"2","0.6",1,5.197,1.985
"3","0.75",1,5.298,2.49
"4","0.84",1,5.471,3.355
"5","0.9",1,5.646,4.23
"6","0.94",1,5.724,4.62
"7","0.96",1,5.837,5.185
"8","0.97",1,5.896,5.48
"9","0.98",1,5.935,5.675
"10","0.99",1,5.94,5.7
"11","0.37",0,5.086,1.43
"12","0.6",1,5.218,2.09
"13","0.75",1,5.315,2.575
"14","0.84",1,5.477,3.385
"15","0.9",1,5.619,4.095
"16","0.94",1,5.721,4.605
"17","0.96",1,5.866,5.33
"18","0.97",1,5.883,5.415
"19","0.98",1,5.929,5.645
"20","0.99",1,5.953,5.765
"21","0.37",0,5.094,1.47
"22","0.6",0,5.201,2.005
"23","0.75",1,5.327,2.635
"24","0.84",1,5.475,3.375
"25","0.9",1,5.601,4.005
"26","0.94",1,5.789,4.945
"27","0.96",1,5.84,5.2
"28","0.97",1,5.824,5.12
"29","0.98",1,5.921,5.605
"30","0.99",1,5.945,5.725
"31","0.37",1,5.093,1.465
"32","0.6",1,5.199,1.995
"33","0.75",1,5.382,2.91
"34","0.84",1,5.476,3.38
"35","0.9",1,5.626,4.13
"36","0.94",1,5.726,4.63
"37","0.96",1,5.813,5.065
"38","0.97",1,5.877,5.385
"39","0.98",1,5.927,5.635
"40","0.99",1,5.952,5.76
"41","0.37",0,5.095,1.475
"42","0.6",1,5.186,1.93
"43","0.75",1,5.315,2.575
"44","0.84",1,5.466,3.33
"45","0.9",1,5.626,4.13
"46","0.94",1,5.758,4.79
"47","0.96",1,5.83,5.15
"48","0.97",1,5.879,5.395
"49","0.98",1,5.939,5.695
"50","0.99",1,5.939,5.695
"51","0.37",0,5.091,1.455
"52","0.6",1,5.2,2
"53","0.75",1,5.334,2.67
"54","0.84",1,5.463,3.315
"55","0.9",1,5.615,4.075
"56","0.94",1,5.732,4.66
"57","0.96",1,5.822,5.11
"58","0.97",1,5.881,5.405
"59","0.98",1,5.894,5.47
"60","0.99",1,5.958,5.79
"61","0.37",0,5.093,1.465
"62","0.6",1,5.192,1.96
"63","0.75",1,5.335,2.675
"64","0.84",1,5.459,3.295
"65","0.9",1,5.613,4.065
"66","0.94",1,5.74,4.7
"67","0.96",1,5.843,5.215
"68","0.97",1,5.891,5.455
"69","0.98",1,5.944,5.72
"70","0.99",1,5.935,5.675
"71","0.37",0,5.075,1.375
"72","0.6",1,5.194,1.97
"73","0.75",1,5.33,2.65
"74","0.84",1,5.483,3.415
"75","0.9",1,5.627,4.135
"76","0.94",1,5.716,4.58
"77","0.96",1,5.791,4.955
"78","0.97",1,5.923,5.615
"79","0.98",1,5.941,5.705
"80","0.99",1,5.941,5.705
"81","0.37",1,5.104,1.52
"82","0.6",1,5.203,2.015
"83","0.75",1,5.357,2.785
"84","0.84",1,5.424,3.12
"85","0.9",1,5.62,4.1
"86","0.94",1,5.745,4.725
"87","0.96",1,5.834,5.17
"88","0.97",1,5.875,5.375
"89","0.98",1,5.907,5.535
"90","0.99",1,5.96,5.8
"91","0.37",0,5.085,1.425
"92","0.6",1,5.232,2.16
"93","0.75",1,5.309,2.545
"94","0.84",1,5.472,3.36
"95","0.9",1,5.648,4.24
"96","0.94",1,5.734,4.67
"97","0.96",1,5.82,5.1
"98","0.97",1,5.891,5.455
"99","0.98",1,5.93,5.65
"100","0.99",1,5.955,5.775
"101","0.37",0,5.087,1.435
"102","0.6",0,5.206,2.03
"103","0.75",1,5.319,2.595
"104","0.84",1,5.428,3.14
"105","0.9",1,5.609,4.045
"106","0.94",1,5.728,4.64
"107","0.96",1,5.793,4.965
"108","0.97",1,5.871,5.355
"109","0.98",1,5.91,5.55
"110","0.99",1,5.955,5.775
"111","0.37",1,5.099,1.495
"112","0.6",1,5.192,1.96
"113","0.75",1,5.339,2.695
"114","0.84",1,5.531,3.655
"115","0.9",1,5.641,4.205
"116","0.94",1,5.727,4.635
"117","0.96",1,5.805,5.025
"118","0.97",1,5.909,5.545
"119","0.98",1,5.916,5.58
"120","0.99",1,5.968,5.84
"121","0.37",0,5.103,1.515
"122","0.6",0,5.186,1.93
"123","0.75",1,5.323,2.615
"124","0.84",1,5.484,3.42
"125","0.9",1,5.638,4.19
"126","0.94",1,5.788,4.94
"127","0.96",1,5.815,5.075
"128","0.97",1,5.869,5.345
"129","0.98",1,5.927,5.635
"130","0.99",1,5.928,5.64
"131","0.37",1,5.1,1.5
"132","0.6",1,5.203,2.015
"133","0.75",1,5.348,2.74
"134","0.84",1,5.51,3.55
"135","0.9",1,5.601,4.005
"136","0.94",1,5.724,4.62
"137","0.96",1,5.84,5.2
"138","0.97",1,5.903,5.515
"139","0.98",1,5.931,5.655
"140","0.99",1,5.922,5.61
"141","0.37",0,5.081,1.405
"142","0.6",1,5.199,1.995
"143","0.75",1,5.301,2.505
"144","0.84",1,5.497,3.485
"145","0.9",1,5.657,4.285
"146","0.94",1,5.742,4.71
"147","0.96",1,5.834,5.17
"148","0.97",1,5.871,5.355
"149","0.98",1,5.937,5.685
"150","0.99",1,5.934,5.67
"151","0.37",1,5.081,1.405
"152","0.6",1,5.187,1.935
"153","0.75",1,5.35,2.75
"154","0.84",1,5.512,3.56
"155","0.9",1,5.645,4.225
"156","0.94",1,5.71,4.55
"157","0.96",1,5.84,5.2
"158","0.97",1,5.861,5.305
"159","0.98",1,5.924,5.62
"160","0.99",1,5.938,5.69
"161","0.37",1,5.095,1.475
"162","0.6",1,5.2,2
"163","0.75",1,5.35,2.75
"164","0.84",1,5.438,3.19
"165","0.9",1,5.631,4.155
"166","0.94",1,5.71,4.55
"167","0.96",1,5.797,4.985
"168","0.97",1,5.86,5.3
"169","0.98",1,5.914,5.57
"170","0.99",1,5.945,5.725
"171","0.37",0,5.107,1.535
"172","0.6",0,5.188,1.94
"173","0.75",1,5.305,2.525
"174","0.84",1,5.485,3.425
"175","0.9",1,5.656,4.28
"176","0.94",1,5.707,4.535
"177","0.96",1,5.83,5.15
"178","0.97",1,5.885,5.425
"179","0.98",1,5.915,5.575
"180","0.99",1,5.976,5.88
"181","0.37",0,5.092,1.46
"182","0.6",0,5.201,2.005
"183","0.75",1,5.311,2.555
"184","0.84",1,5.504,3.52
"185","0.9",1,5.612,4.06
"186","0.94",1,5.69,4.45
"187","0.96",1,5.799,4.995
"188","0.97",1,5.88,5.4
"189","0.98",1,5.909,5.545
"190","0.99",1,5.942,5.71
"191","0.37",1,5.087,1.435
"192","0.6",1,5.19,1.95
"193","0.75",1,5.329,2.645
"194","0.84",1,5.478,3.39
"195","0.9",1,5.599,3.995
"196","0.94",1,5.769,4.845
"197","0.96",1,5.823,5.115
"198","0.97",1,5.901,5.505
"199","0.98",1,5.912,5.56
"200","0.99",1,5.947,5.735
"201","0.37",0,5.077,1.385
"202","0.6",0,5.19,1.95
"203","0.75",1,5.32,2.6
"204","0.84",1,5.467,3.335
"205","0.9",1,5.592,3.96
"206","0.94",1,5.709,4.545
"207","0.96",1,5.85,5.25
"208","0.97",1,5.878,5.39
"209","0.98",1,5.942,5.71
"210","0.99",1,5.957,5.785
"211","0.37",0,5.095,1.475
"212","0.6",0,5.21,2.05
"213","0.75",1,5.327,2.635
"214","0.84",1,5.478,3.39
"215","0.9",1,5.611,4.055
"216","0.94",1,5.76,4.8
"217","0.96",1,5.808,5.04
"218","0.97",1,5.906,5.53
"219","0.98",1,5.918,5.59
"220","0.99",1,5.947,5.735
"221","0.37",1,5.119,1.595
"222","0.6",1,5.201,2.005
"223","0.75",1,5.316,2.58
"224","0.84",1,5.442,3.21
"225","0.9",1,5.645,4.225
"226","0.94",1,5.772,4.86
"227","0.96",1,5.81,5.05
"228","0.97",1,5.888,5.44
"229","0.98",1,5.945,5.725
"230","0.99",1,5.958,5.79
"231","0.37",1,5.091,1.455
"232","0.6",1,5.194,1.97
"233","0.75",1,5.347,2.735
"234","0.84",1,5.472,3.36
"235","0.9",1,5.61,4.05
"236","0.94",1,5.719,4.595
"237","0.96",1,5.812,5.06
"238","0.97",1,5.88,5.4
"239","0.98",1,5.938,5.69
"240","0.99",1,5.961,5.805
"241","0.37",0,5.094,1.47
"242","0.6",0,5.191,1.955
"243","0.75",1,5.351,2.755
"244","0.84",1,5.505,3.525
"245","0.9",1,5.626,4.13
"246","0.94",1,5.73,4.65
"247","0.96",1,5.836,5.18
"248","0.97",1,5.844,5.22
"249","0.98",1,5.905,5.525
"250","0.99",1,5.936,5.68
"251","0.37",0,5.083,1.415
"252","0.6",1,5.182,1.91
"253","0.75",1,5.355,2.775
"254","0.84",1,5.497,3.485
"255","0.9",1,5.639,4.195
"256","0.94",1,5.703,4.515
"257","0.96",1,5.828,5.14
"258","0.97",1,5.862,5.31
"259","0.98",1,5.928,5.64
"260","0.99",1,5.923,5.615
"261","0.37",0,5.094,1.47
"262","0.6",1,5.204,2.02
"263","0.75",1,5.368,2.84
"264","0.84",1,5.471,3.355
"265","0.9",1,5.58,3.9
"266","0.94",1,5.739,4.695
"267","0.96",1,5.794,4.97
"268","0.97",1,5.921,5.605
"269","0.98",1,5.946,5.73
"270","0.99",1,5.952,5.76
"271","0.37",0,5.081,1.405
"272","0.6",0,5.179,1.895
"273","0.75",1,5.328,2.64
"274","0.84",1,5.468,3.34
"275","0.9",1,5.623,4.115
"276","0.94",1,5.766,4.83
"277","0.96",1,5.789,4.945
"278","0.97",1,5.869,5.345
"279","0.98",1,5.901,5.505
"280","0.99",1,5.966,5.83
"281","0.37",1,5.087,1.435
"282","0.6",1,5.174,1.87
"283","0.75",1,5.358,2.79
"284","0.84",1,5.484,3.42
"285","0.9",1,5.657,4.285
"286","0.94",1,5.751,4.755
"287","0.96",1,5.817,5.085
"288","0.97",1,5.89,5.45
"289","0.98",1,5.948,5.74
"290","0.99",1,5.947,5.735
"291","0.37",1,5.086,1.43
"292","0.6",1,5.215,2.075
"293","0.75",1,5.371,2.855
"294","0.84",1,5.459,3.295
"295","0.9",1,5.681,4.405
"296","0.94",1,5.701,4.505
"297","0.96",1,5.851,5.255
"298","0.97",1,5.886,5.43
"299","0.98",1,5.934,5.67
"300","0.99",1,5.959,5.795
"301","0.37",0,5.094,1.47
"302","0.6",1,5.201,2.005
"303","0.75",1,5.337,2.685
"304","0.84",1,5.492,3.46
"305","0.9",1,5.633,4.165
"306","0.94",1,5.765,4.825
"307","0.96",1,5.855,5.275
