"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",3,1.841,1.805
"2","-0.4",3,2.176,2.2975
"3","-0.6",3,2.476,2.6375
"4","-0.8",3,2.95,3.2225
"5","-1",3,3.396,3.7075
"6","-1.2",3,3.823,4.1825
"7","-1.4",3,4.282,4.6575
"8","-1.6",2,4.603,4.9925
"9","-1.8",2,4.946,5.3775
"10","-2",2,5.221,5.515
"11","-0.2",2,1.623,1.61
"12","-0.4",2,1.885,1.8525
"13","-0.6",2,2.156,2.08
"14","-0.8",2,2.509,2.44
"15","-1",2,2.829,2.7225
"16","-1.2",2,3.138,3.0025
"17","-1.4",2,3.456,3.275
"18","-1.6",2,3.733,3.59
"19","-1.8",2,4.094,3.96
"20","-2",2,4.317,4.1625
"21","-0.2",3,1.903,1.9475
"22","-0.4",3,2.194,2.3075
"23","-0.6",3,2.601,2.81
"24","-0.8",3,3.086,3.215
"25","-1",3,3.579,3.7425
"26","-1.2",3,4.029,4.1525
"27","-1.4",2,4.464,4.65
"28","-1.6",2,4.852,4.93
"29","-1.8",2,5.201,5.2775
"30","-2",2,5.384,5.4275
"31","-0.2",3,1.813,1.89
"32","-0.4",3,1.999,2.0425
"33","-0.6",3,2.36,2.4025
"34","-0.8",3,2.637,2.66
"35","-1",3,3.11,3.2375
"36","-1.2",3,3.485,3.5025
"37","-1.4",3,3.93,3.9575
"38","-1.6",3,4.228,4.1875
"39","-1.8",2,4.595,4.5675
"40","-2",2,4.97,4.8425
"41","-0.2",2,1.716,1.53
"42","-0.4",2,1.978,1.705
"43","-0.6",2,2.292,1.9575
"44","-0.8",2,2.612,2.2325
"45","-1",2,3.007,2.535
"46","-1.2",2,3.311,2.7725
"47","-1.4",2,3.665,2.99
"48","-1.6",2,4.046,3.42
"49","-1.8",2,4.416,3.7425
"50","-2",2,4.684,4.1125
"51","-0.2",3,1.701,1.76
"52","-0.4",3,1.939,1.9775
"53","-0.6",2,2.286,2.255
"54","-0.8",2,2.712,2.645
"55","-1",2,3.018,2.915
"56","-1.2",2,3.42,3.19
"57","-1.4",2,3.799,3.55
"58","-1.6",2,4.155,3.86
"59","-1.8",2,4.441,4.095
"60","-2",2,4.682,4.325
"61","-0.2",3,1.77,1.725
