"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,1.457,1.425
"2","0.6",2,2.008,2.045
"3","0.75",2,2.691,2.7075
"4","0.84",2,3.444,3.41
"5","0.9",2,4.187,4.1875
"6","0.94",2,4.604,4.62
"7","0.96",2,5.202,5.2375
"8","0.97",2,5.344,5.4
"9","0.98",2,5.614,5.61
"10","0.99",2,5.794,5.7575
"11","0.37",2,1.445,1.4675
"12","0.6",2,1.938,1.935
"13","0.75",2,2.648,2.7925
"14","0.84",2,3.42,3.355
"15","0.9",2,4.11,3.9575
"16","0.94",2,4.665,4.6425
"17","0.96",2,5.126,5.09
"18","0.97",2,5.453,5.47
"19","0.98",2,5.573,5.5625
"20","0.99",2,5.741,5.7
"21","0.37",2,1.454,1.4575
"22","0.6",2,2.022,2.05
"23","0.75",2,2.706,2.6725
"24","0.84",2,3.37,3.3325
"25","0.9",2,4.204,4.3025
"26","0.94",2,4.709,4.735
"27","0.96",2,5.113,5.14
"28","0.97",2,5.411,5.3925
"29","0.98",2,5.564,5.57
"30","0.99",2,5.777,5.7675
"31","0.37",2,1.437,1.425
"32","0.6",2,1.995,1.925
"33","0.75",2,2.66,2.7275
"34","0.84",2,3.363,3.43
"35","0.9",2,4.012,3.7825
"36","0.94",2,4.672,4.5525
"37","0.96",2,5.145,5.0675
"38","0.97",2,5.364,5.4025
"39","0.98",2,5.71,5.7175
"40","0.99",2,5.742,5.77
"41","0.37",3,1.453,1.45
"42","0.6",3,1.995,2.025
"43","0.75",3,2.676,2.7425
"44","0.84",3,3.4,3.46
"45","0.9",2,4.063,4.11
"46","0.94",2,4.637,4.7175
"47","0.96",2,5.1,5.1525
"48","0.97",2,5.424,5.43
"49","0.98",2,5.678,5.66
"50","0.99",2,5.739,5.73
"51","0.37",3,1.456,1.4425
"52","0.6",3,1.988,2.0325
"53","0.75",3,2.713,2.6675
"54","0.84",3,3.341,3.4975
"55","0.9",3,4.147,4.0125
"56","0.94",2,4.762,4.7825
"57","0.96",2,5.194,5.1875
"58","0.97",2,5.409,5.4325
"59","0.98",2,5.555,5.565
"60","0.99",2,5.775,5.8275
"61","0.37",3,1.457,1.47
"62","0.6",3,1.944,1.8875
"63","0.75",2,2.713,2.63
"64","0.84",2,3.368,3.4
"65","0.9",2,4,3.92
"66","0.94",2,4.628,4.695
"67","0.96",2,5.144,5.1925
"68","0.97",2,5.437,5.4075
"69","0.98",2,5.658,5.6675
"70","0.99",2,5.741,5.7575
"71","0.37",3,1.451,1.4625
"72","0.6",3,2.023,1.995
"73","0.75",3,2.595,2.6375
"74","0.84",3,3.392,3.3725
"75","0.9",3,4.142,4.2525
"76","0.94",2,4.666,4.6675
"77","0.96",2,5.157,5.2075
"78","0.97",2,5.473,5.4325
"79","0.98",2,5.59,5.6175
"80","0.99",2,5.773,5.825
"81","0.37",3,1.434,1.4275
"82","0.6",3,2.015,2.0625
"83","0.75",3,2.666,2.6025
"84","0.84",3,3.377,3.42
"85","0.9",3,4.156,4.1825
"86","0.94",2,4.76,4.6875
"87","0.96",2,5.091,5.07
"88","0.97",2,5.437,5.475
"89","0.98",2,5.646,5.645
"90","0.99",2,5.693,5.6575
"91","0.37",2,1.429,1.435
"92","0.6",2,1.972,2.0025
"93","0.75",2,2.688,2.6425
"94","0.84",2,3.437,3.4875
"95","0.9",2,4.034,4.06
"96","0.94",2,4.654,4.545
"97","0.96",2,5.089,5.05
"98","0.97",2,5.429,5.455
"99","0.98",2,5.665,5.715
"100","0.99",2,5.791,5.7625
"101","0.37",2,1.475,1.455
"102","0.6",2,1.993,1.925
"103","0.75",2,2.701,2.64
"104","0.84",2,3.392,3.38
"105","0.9",2,4.156,4.2125
"106","0.94",2,4.744,4.7225
"107","0.96",2,5.191,5.26
"108","0.97",2,5.416,5.4425
"109","0.98",2,5.651,5.64
"110","0.99",2,5.749,5.7675
"111","0.37",2,1.425,1.4475
"112","0.6",2,1.95,1.945
"113","0.75",2,2.635,2.65
"114","0.84",2,3.355,3.2475
"115","0.9",2,4.138,4.1225
"116","0.94",2,4.742,4.73
"117","0.96",2,5.069,5.1525
"118","0.97",2,5.429,5.42
"119","0.98",2,5.558,5.545
"120","0.99",2,5.676,5.7075
"121","0.37",2,1.441,1.425
"122","0.6",2,1.986,1.9275
"123","0.75",2,2.689,2.7475
"124","0.84",2,3.395,3.4625
"125","0.9",2,4.12,4.1875
"126","0.94",2,4.786,4.7675
"127","0.96",2,5.098,5.065
"128","0.97",2,5.479,5.455
"129","0.98",2,5.684,5.6675
"130","0.99",2,5.739,5.76
"131","0.37",3,1.434,1.4325
"132","0.6",3,1.991,2.0025
"133","0.75",3,2.687,2.725
"134","0.84",3,3.328,3.225
"135","0.9",2,4.024,4.0175
"136","0.94",2,4.642,4.525
"137","0.96",2,5.153,5.0225
"138","0.97",2,5.425,5.3575
"139","0.98",2,5.59,5.675
"140","0.99",2,5.771,5.79
"141","0.37",2,1.468,1.4625
"142","0.6",2,1.974,2.025
"143","0.75",2,2.659,2.75
"144","0.84",2,3.407,3.495
"145","0.9",2,4.139,4.175
"146","0.94",2,4.679,4.5925
"147","0.96",2,5.122,5.195
"148","0.97",2,5.422,5.46
"149","0.98",2,5.633,5.6325
"150","0.99",2,5.73,5.72
"151","0.37",2,1.399,1.405
"152","0.6",2,1.962,2.045
"153","0.75",2,2.667,2.61
"154","0.84",2,3.49,3.4725
"155","0.9",2,4.117,4.22
"156","0.94",2,4.639,4.7475
"157","0.96",2,5.133,5.1225
"158","0.97",2,5.457,5.4375
"159","0.98",2,5.652,5.6125
"160","0.99",2,5.748,5.7925
"161","0.37",3,1.453,1.45
"162","0.6",3,2.009,1.965
"163","0.75",3,2.699,2.775
"164","0.84",3,3.414,3.4825
"165","0.9",3,4.05,4.065
"166","0.94",3,4.739,4.7575
"167","0.96",2,5.096,5
"168","0.97",2,5.391,5.3125
"169","0.98",2,5.559,5.575
"170","0.99",2,5.749,5.8075
"171","0.37",3,1.394,1.3975
"172","0.6",3,1.972,1.9875
