"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"784","0.84",2,4.978,3.445
"785","0.9",2,5.238,4.095
"786","0.94",2,5.451,4.6275
"787","0.96",2,5.68,5.2
"788","0.97",2,5.757,5.3925
"789","0.98",2,5.849,5.6225
"790","0.99",2,5.907,5.7675
"791","0.37",2,4.196,1.49
"792","0.6",2,4.412,2.03
"793","0.75",2,4.672,2.68
"794","0.84",2,4.965,3.4125
"795","0.9",2,5.188,3.97
"796","0.94",2,5.458,4.645
"797","0.96",2,5.605,5.0125
"798","0.97",2,5.702,5.255
"799","0.98",2,5.865,5.6625
"800","0.99",2,5.909,5.7725
"801","0.37",2,4.185,1.4625
"802","0.6",2,4.397,1.9925
"803","0.75",2,4.675,2.6875
"804","0.84",2,4.971,3.4275
"805","0.9",2,5.261,4.1525
"806","0.94",2,5.457,4.6425
"807","0.96",2,5.617,5.0425
"808","0.97",2,5.775,5.4375
"809","0.98",2,5.809,5.5225
"810","0.99",2,5.907,5.7675
"811","0.37",2,4.176,1.44
"812","0.6",2,4.422,2.055
"813","0.75",2,4.697,2.7425
"814","0.84",2,4.953,3.3825
"815","0.9",2,5.29,4.225
"816","0.94",2,5.445,4.6125
"817","0.96",2,5.67,5.175
"818","0.97",2,5.786,5.465
"819","0.98",2,5.853,5.6325
"820","0.99",2,5.902,5.755
"821","0.37",2,4.169,1.4225
"822","0.6",2,4.409,2.0225
"823","0.75",2,4.622,2.555
"824","0.84",2,4.983,3.4575
"825","0.9",2,5.27,4.175
"826","0.94",2,5.472,4.68
"827","0.96",2,5.622,5.055
"828","0.97",2,5.781,5.4525
"829","0.98",2,5.889,5.7225
"830","0.99",2,5.896,5.74
"831","0.37",2,4.185,1.4625
"832","0.6",2,4.368,1.92
"833","0.75",2,4.669,2.6725
"834","0.84",2,5.018,3.545
"835","0.9",2,5.241,4.1025
"836","0.94",2,5.455,4.6375
"837","0.96",2,5.643,5.1075
"838","0.97",2,5.761,5.4025
"839","0.98",2,5.876,5.69
"840","0.99",2,5.925,5.8125
"841","0.37",2,4.179,1.4475
"842","0.6",2,4.398,1.995
"843","0.75",2,4.624,2.56
"844","0.84",2,4.928,3.32
"845","0.9",2,5.312,4.28
"846","0.94",2,5.467,4.6675
"847","0.96",2,5.62,5.05
"848","0.97",2,5.789,5.4725
"849","0.98",2,5.852,5.63
"850","0.99",2,5.903,5.7575
"851","0.37",2,4.168,1.42
"852","0.6",2,4.424,2.06
"853","0.75",2,4.712,2.78
"854","0.84",2,5.003,3.5075
"855","0.9",2,5.225,4.0625
"856","0.94",2,5.472,4.68
"857","0.96",2,5.679,5.1975
"858","0.97",2,5.741,5.3525
"859","0.98",2,5.812,5.53
"860","0.99",2,5.907,5.7675
"861","0.37",2,4.168,1.42
"862","0.6",2,4.389,1.9725
"863","0.75",2,4.609,2.5225
"864","0.84",2,4.953,3.3825
"865","0.9",2,5.254,4.135
"866","0.94",2,5.576,4.94
"867","0.96",2,5.669,5.1725
"868","0.97",2,5.761,5.4025
"869","0.98",2,5.863,5.6575
"870","0.99",2,5.928,5.82
"871","0.37",2,4.184,1.46
"872","0.6",2,4.373,1.9325
"873","0.75",2,4.694,2.735
"874","0.84",2,4.929,3.3225
"875","0.9",2,5.208,4.02
"876","0.94",2,5.416,4.54
"877","0.96",2,5.653,5.1325
"878","0.97",2,5.769,5.4225
"879","0.98",2,5.867,5.6675
"880","0.99",2,5.919,5.7975
"881","0.37",2,4.183,1.4575
"882","0.6",2,4.417,2.0425
"883","0.75",2,4.614,2.535
"884","0.84",2,4.943,3.3575
"885","0.9",2,5.217,4.0425
"886","0.94",2,5.497,4.7425
"887","0.96",2,5.602,5.005
"888","0.97",2,5.762,5.405
"889","0.98",2,5.844,5.61
"890","0.99",2,5.889,5.7225
"891","0.37",2,4.179,1.4475
"892","0.6",2,4.416,2.04
"893","0.75",2,4.673,2.6825
"894","0.84",2,4.988,3.47
"895","0.9",2,5.258,4.145
"896","0.94",2,5.454,4.635
"897","0.96",2,5.733,5.3325
"898","0.97",2,5.767,5.4175
"899","0.98",2,5.857,5.6425
"900","0.99",2,5.892,5.73
"901","0.37",1,4.194,1.485
"902","0.6",2,4.364,1.91
"903","0.75",2,4.671,2.6775
"904","0.84",2,4.952,3.38
"905","0.9",2,5.275,4.1875
"906","0.94",2,5.468,4.67
"907","0.96",2,5.683,5.2075
"908","0.97",2,5.744,5.36
"909","0.98",2,5.861,5.6525
"910","0.99",2,5.899,5.7475
"911","0.37",2,4.179,1.4475
"912","0.6",2,4.461,2.1525
"913","0.75",2,4.664,2.66
"914","0.84",2,5.019,3.5475
"915","0.9",2,5.277,4.1925
"916","0.94",2,5.433,4.5825
"917","0.96",2,5.636,5.09
"918","0.97",2,5.753,5.3825
"919","0.98",2,5.873,5.6825
"920","0.99",2,5.906,5.765
"921","0.37",2,4.221,1.5525
"922","0.6",1,4.394,1.985
"923","0.75",2,4.725,2.8125
"924","0.84",2,4.947,3.3675
"925","0.9",2,5.252,4.13
"926","0.94",2,5.47,4.675
"927","0.96",2,5.691,5.2275
"928","0.97",2,5.761,5.4025
"929","0.98",2,5.862,5.655
"930","0.99",2,5.911,5.7775
"931","0.37",2,4.18,1.45
"932","0.6",2,4.362,1.905
"933","0.75",2,4.679,2.6975
"934","0.84",2,4.957,3.3925
"935","0.9",2,5.281,4.2025
"936","0.94",2,5.449,4.6225
"937","0.96",2,5.656,5.14
"938","0.97",2,5.755,5.3875
"939","0.98",2,5.819,5.5475
"940","0.99",2,5.902,5.755
"941","0.37",2,4.156,1.39
"942","0.6",2,4.464,2.16
"943","0.75",2,4.642,2.605
"944","0.84",2,4.983,3.4575
"945","0.9",2,5.195,3.9875
"946","0.94",2,5.494,4.735
"947","0.96",2,5.636,5.09
"948","0.97",2,5.755,5.3875
"949","0.98",2,5.858,5.645
"950","0.99",2,5.916,5.79
"951","0.37",2,4.17,1.425
"952","0.6",2,4.36,1.9
"953","0.75",2,4.679,2.6975
"954","0.84",2,4.97,3.425
"955","0.9",2,5.235,4.0875
"956","0.94",2,5.472,4.68
"957","0.96",2,5.625,5.0625
"958","0.97",2,5.781,5.4525
"959","0.98",2,5.824,5.56
"960","0.99",2,5.906,5.765
"961","0.37",2,4.195,1.4875
"962","0.6",2,4.394,1.985
"963","0.75",2,4.681,2.7025
"964","0.84",2,5.002,3.505
"965","0.9",2,5.2,4
"966","0.94",2,5.444,4.61
"967","0.96",2,5.6,5
"968","0.97",2,5.818,5.545
"969","0.98",2,5.877,5.6925
"970","0.99",2,5.872,5.68
"971","0.37",2,4.166,1.415
"972","0.6",2,4.443,2.1075
"973","0.75",2,4.715,2.7875
"974","0.84",2,4.933,3.3325
"975","0.9",2,5.276,4.19
"976","0.94",2,5.494,4.735
"977","0.96",2,5.721,5.3025
"978","0.97",2,5.812,5.53
"979","0.98",2,5.852,5.63
"980","0.99",2,5.893,5.7325
"981","0.37",2,4.193,1.4825
"982","0.6",2,4.371,1.9275
"983","0.75",2,4.609,2.5225
"984","0.84",2,4.97,3.425
"985","0.9",2,5.316,4.29
"986","0.94",2,5.49,4.725
"987","0.96",2,5.668,5.17
"988","0.97",2,5.757,5.3925
"989","0.98",2,5.859,5.6475
"990","0.99",2,5.928,5.82
"991","0.37",2,4.196,1.49
"992","0.6",2,4.424,2.06
"993","0.75",2,4.654,2.635
"994","0.84",2,4.96,3.4
"995","0.9",2,5.262,4.155
"996","0.94",2,5.49,4.725
"997","0.96",2,5.641,5.1025
"998","0.97",2,5.815,5.5375
"999","0.98",2,5.855,5.6375
"1000","0.99",2,5.918,5.795
