"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,1.493,1.545
"2","0.6",2,1.981,2.015
"3","0.75",1,2.697,2.585
"4","0.84",1,3.403,3.385
"5","0.9",1,4.121,4.075
"6","0.94",1,4.668,4.835
"7","0.96",1,5.176,5.13
"8","0.97",1,5.404,5.49
"9","0.98",1,5.654,5.765
"10","0.99",1,5.788,5.76
"11","0.37",2,1.411,1.365
"12","0.6",1,1.947,1.935
"13","0.75",1,2.64,2.505
"14","0.84",1,3.402,3.405
"15","0.9",1,4.057,4.155
"16","0.94",1,4.69,4.805
"17","0.96",1,5.128,5.345
"18","0.97",1,5.426,5.355
"19","0.98",1,5.626,5.605
"20","0.99",1,5.784,5.805
"21","0.37",1,1.429,1.39
"22","0.6",1,2.012,1.965
"23","0.75",1,2.741,2.81
"24","0.84",1,3.5,3.38
"25","0.9",1,4.082,4.205
"26","0.94",1,4.651,4.62
"27","0.96",1,5.116,4.97
"28","0.97",1,5.441,5.435
"29","0.98",1,5.596,5.61
"30","0.99",1,5.807,5.785
"31","0.37",2,1.448,1.45
"32","0.6",2,2.003,2.115
"33","0.75",2,2.665,2.67
"34","0.84",2,3.383,3.27
"35","0.9",1,4.081,4.06
"36","0.94",1,4.704,4.705
"37","0.96",1,5.147,5.095
"38","0.97",1,5.435,5.475
"39","0.98",1,5.593,5.54
"40","0.99",1,5.789,5.835
"41","0.37",2,1.413,1.435
"42","0.6",2,1.96,1.98
"43","0.75",2,2.575,2.645
"44","0.84",1,3.368,3.35
"45","0.9",1,4.043,4.06
"46","0.94",1,4.69,4.78
"47","0.96",1,5.155,5.105
"48","0.97",1,5.478,5.38
"49","0.98",1,5.605,5.505
"50","0.99",1,5.748,5.765
"51","0.37",2,1.453,1.51
"52","0.6",1,1.954,1.97
"53","0.75",1,2.626,2.59
"54","0.84",1,3.436,3.45
"55","0.9",1,4.117,3.93
"56","0.94",1,4.72,4.725
"57","0.96",1,5.161,5.12
"58","0.97",1,5.468,5.435
"59","0.98",1,5.657,5.685
"60","0.99",1,5.753,5.72
"61","0.37",2,1.466,1.46
"62","0.6",2,1.984,1.925
"63","0.75",2,2.748,2.78
"64","0.84",1,3.342,3.34
"65","0.9",1,3.99,4.045
"66","0.94",1,4.674,4.725
"67","0.96",1,5.187,5.285
"68","0.97",1,5.438,5.415
"69","0.98",1,5.649,5.73
"70","0.99",1,5.752,5.795
"71","0.37",2,1.46,1.445
"72","0.6",2,1.983,2.05
"73","0.75",2,2.7,2.75
"74","0.84",1,3.42,3.53
"75","0.9",1,4.203,4.15
"76","0.94",1,4.596,4.715
"77","0.96",1,5.152,5.215
"78","0.97",1,5.462,5.44
"79","0.98",1,5.605,5.55
"80","0.99",1,5.78,5.76
"81","0.37",2,1.461,1.565
"82","0.6",2,2.034,1.98
"83","0.75",2,2.684,2.77
"84","0.84",1,3.433,3.36
"85","0.9",1,4.202,4.26
"86","0.94",1,4.718,4.485
"87","0.96",1,5.091,5.18
"88","0.97",1,5.539,5.58
"89","0.98",1,5.633,5.57
"90","0.99",1,5.716,5.705
"91","0.37",2,1.46,1.485
"92","0.6",1,2.015,1.985
"93","0.75",1,2.67,2.79
"94","0.84",1,3.344,3.33
"95","0.9",1,4.098,4.26
"96","0.94",1,4.702,4.595
"97","0.96",1,5.118,5.035
"98","0.97",1,5.418,5.29
"99","0.98",1,5.622,5.605
"100","0.99",1,5.741,5.75
"101","0.37",2,1.44,1.425
"102","0.6",2,2.034,2.15
"103","0.75",2,2.688,2.84
"104","0.84",1,3.355,3.245
"105","0.9",1,4.113,3.945
