"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.931,1.875
"2","-0.4",3,2.24,2.2575
"3","-0.6",3,2.651,2.73
"4","-0.8",2,3.123,3.1925
"5","-1",2,3.606,3.6875
"6","-1.2",2,4.075,4.29
"7","-1.4",2,4.371,4.6875
"8","-1.6",2,4.835,5.1875
"9","-1.8",2,5.046,5.45
"10","-2",2,5.285,5.61
"11","-0.2",3,1.945,1.99
"12","-0.4",3,2.332,2.515
"13","-0.6",3,2.793,2.845
"14","-0.8",3,3.243,3.38
"15","-1",2,3.79,3.9425
"16","-1.2",2,4.224,4.3475
"17","-1.4",2,4.659,4.81
"18","-1.6",2,5.072,5.2125
"19","-1.8",2,5.389,5.5175
"20","-2",2,5.621,5.705
"21","-0.2",2,2.034,1.9575
"22","-0.4",2,2.334,2.345
"23","-0.6",2,2.833,2.6825
"24","-0.8",2,3.337,3.2675
"25","-1",2,3.918,3.8475
"26","-1.2",2,4.504,4.2325
"27","-1.4",2,4.781,4.6175
"28","-1.6",2,5.158,5.0925
"29","-1.8",2,5.371,5.2275
"30","-2",2,5.635,5.535
"31","-0.2",2,1.951,2.0275
"32","-0.4",2,2.333,2.3175
"33","-0.6",2,2.674,2.7725
"34","-0.8",2,3.116,3.0725
"35","-1",2,3.668,3.7475
"36","-1.2",2,4.164,4.33
"37","-1.4",2,4.64,4.795
"38","-1.6",2,4.86,5.0325
"39","-1.8",2,5.169,5.3275
"40","-2",2,5.476,5.45
"41","-0.2",2,1.843,1.7625
"42","-0.4",2,2.324,2.2025
"43","-0.6",2,2.699,2.5625
"44","-0.8",2,3.111,3.05
"45","-1",2,3.71,3.515
"46","-1.2",2,4.318,4.305
"47","-1.4",2,4.688,4.665
"48","-1.6",2,5.013,4.935
"49","-1.8",2,5.393,5.385
"50","-2",2,5.578,5.525
"51","-0.2",2,1.928,2.0075
"52","-0.4",2,2.381,2.4275
"53","-0.6",2,2.851,2.98
"54","-0.8",2,3.521,3.6325
"55","-1",2,3.956,4.0525
"56","-1.2",2,4.411,4.4775
"57","-1.4",2,4.88,4.8025
"58","-1.6",2,5.239,5.31
"59","-1.8",2,5.437,5.5375
"60","-2",2,5.645,5.6925
"61","-0.2",3,1.937,1.9775
"62","-0.4",3,2.239,2.25
"63","-0.6",3,2.701,2.76
"64","-0.8",3,3.09,3.165
"65","-1",3,3.589,3.6625
"66","-1.2",3,4.14,4.075
"67","-1.4",3,4.537,4.5075
