"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"316","0.94",2,4.634,4.5525
"317","0.96",2,5.1,5.0875
"318","0.97",2,5.479,5.4425
"319","0.98",2,5.64,5.64
"320","0.99",2,5.778,5.7875
"321","0.37",4,1.45,1.475
"322","0.6",3,1.927,1.87
"323","0.75",3,2.701,2.665
"324","0.84",3,3.402,3.4375
"325","0.9",2,4.147,4.2075
"326","0.94",2,4.721,4.6625
"327","0.96",2,5.14,5.13
"328","0.97",2,5.356,5.3825
"329","0.98",2,5.545,5.6075
"330","0.99",2,5.745,5.755
"331","0.37",3,1.474,1.4375
"332","0.6",3,1.985,2.0025
"333","0.75",3,2.677,2.585
"334","0.84",3,3.484,3.5075
"335","0.9",2,4.136,4.125
"336","0.94",2,4.751,4.7075
"337","0.96",2,5.055,5.0325
"338","0.97",2,5.441,5.38
"339","0.98",2,5.618,5.705
"340","0.99",2,5.779,5.86
"341","0.37",2,1.429,1.4125
"342","0.6",2,1.988,1.995
"343","0.75",2,2.646,2.57
"344","0.84",2,3.5,3.4875
"345","0.9",2,4.118,4.1275
"346","0.94",2,4.648,4.615
"347","0.96",2,5.127,5.145
"348","0.97",2,5.404,5.345
"349","0.98",2,5.668,5.7175
"350","0.99",2,5.766,5.75
"351","0.37",3,1.445,1.4025
"352","0.6",3,1.991,2.06
"353","0.75",3,2.716,2.77
"354","0.84",2,3.483,3.5775
"355","0.9",2,4.06,4.0975
"356","0.94",2,4.719,4.615
"357","0.96",2,5.148,5.1775
"358","0.97",2,5.441,5.46
"359","0.98",2,5.66,5.645
"360","0.99",2,5.768,5.8175
"361","0.37",2,1.421,1.4075
"362","0.6",2,2.006,1.9975
"363","0.75",2,2.752,2.8175
"364","0.84",2,3.443,3.38
"365","0.9",2,4.091,3.99
"366","0.94",2,4.703,4.745
"367","0.96",2,5.16,5.145
"368","0.97",2,5.404,5.49
"369","0.98",2,5.583,5.61
"370","0.99",2,5.79,5.7575
"371","0.37",3,1.455,1.485
"372","0.6",3,2.065,2.0325
"373","0.75",3,2.654,2.585
"374","0.84",2,3.46,3.4625
"375","0.9",2,4.276,4.22
"376","0.94",2,4.653,4.64
"377","0.96",2,5.082,5.0075
"378","0.97",2,5.448,5.5
"379","0.98",2,5.674,5.705
"380","0.99",2,5.802,5.805
"381","0.37",2,1.443,1.4225
"382","0.6",2,2.031,2.005
"383","0.75",2,2.651,2.5375
"384","0.84",2,3.381,3.26
"385","0.9",2,4.026,4.0075
"386","0.94",2,4.604,4.575
"387","0.96",2,5.019,4.9875
"388","0.97",2,5.355,5.295
"389","0.98",2,5.558,5.59
"390","0.99",2,5.71,5.7525
"391","0.37",2,1.444,1.43
"392","0.6",2,1.993,2.0375
"393","0.75",2,2.676,2.6775
"394","0.84",2,3.492,3.445
"395","0.9",2,4.089,3.9475
"396","0.94",2,4.711,4.855
"397","0.96",2,5.118,5.11
"398","0.97",2,5.414,5.4475
"399","0.98",2,5.65,5.6325
"400","0.99",2,5.788,5.8325
"401","0.37",3,1.413,1.425
"402","0.6",3,2.052,2.115
"403","0.75",2,2.728,2.695
"404","0.84",2,3.526,3.5375
"405","0.9",2,4.123,4.0975
"406","0.94",2,4.772,4.7575
"407","0.96",2,5.057,5.13
"408","0.97",2,5.422,5.375
"409","0.98",2,5.656,5.6475
"410","0.99",2,5.794,5.7775
"411","0.37",2,1.431,1.4425
"412","0.6",2,2.012,2.0175
"413","0.75",2,2.696,2.7325
"414","0.84",2,3.443,3.495
"415","0.9",2,4.315,4.325
"416","0.94",2,4.757,4.8375
"417","0.96",2,5.104,5.0675
"418","0.97",2,5.401,5.4075
"419","0.98",2,5.619,5.5925
"420","0.99",2,5.774,5.78
"421","0.37",3,1.414,1.42
"422","0.6",3,2.03,2.0225
"423","0.75",2,2.638,2.595
"424","0.84",3,3.452,3.5425
"425","0.9",2,4.121,4.1975
"426","0.94",2,4.786,4.8775
"427","0.96",2,5.207,5.195
"428","0.97",2,5.383,5.4675
"429","0.98",2,5.645,5.6975
"430","0.99",2,5.746,5.7325
"431","0.37",3,1.461,1.465
"432","0.6",3,1.975,1.9925
"433","0.75",3,2.71,2.77
"434","0.84",3,3.494,3.48
"435","0.9",3,4.058,3.9575
"436","0.94",2,4.733,4.7575
"437","0.96",2,5.143,5.165
"438","0.97",2,5.414,5.4175
"439","0.98",2,5.668,5.66
"440","0.99",2,5.754,5.71
"441","0.37",2,1.47,1.4575
"442","0.6",2,2.027,2.0625
"443","0.75",2,2.618,2.69
"444","0.84",2,3.454,3.555
"445","0.9",2,4.03,4.115
"446","0.94",2,4.603,4.62
"447","0.96",2,5.12,5.1375
"448","0.97",2,5.44,5.3175
"449","0.98",2,5.558,5.44
"450","0.99",2,5.726,5.695
"451","0.37",3,1.425,1.43
"452","0.6",3,2.011,1.96
"453","0.75",3,2.647,2.6825
"454","0.84",3,3.476,3.33
"455","0.9",3,4.105,4.0975
"456","0.94",2,4.717,4.695
"457","0.96",2,5.093,5.0325
