"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,4.631,1.43666666666667
"2","0.6",1,4.764,1.88
"3","0.75",1,5.039,2.79666666666667
"4","0.84",1,5.248,3.49333333333333
"5","0.9",1,5.36,3.86666666666667
"6","0.94",2,5.61,4.7
"7","0.96",2,5.749,5.16333333333333
"8","0.97",2,5.828,5.42666666666667
"9","0.98",2,5.906,5.68666666666667
"10","0.99",2,5.935,5.78333333333333
"11","0.37",1,4.614,1.38
"12","0.6",1,4.831,2.10333333333333
"13","0.75",1,4.96,2.53333333333333
"14","0.84",2,5.174,3.24666666666667
"15","0.9",2,5.433,4.11
"16","0.94",2,5.586,4.62
"17","0.96",2,5.762,5.20666666666667
"18","0.97",2,5.837,5.45666666666667
"19","0.98",2,5.864,5.54666666666667
"20","0.99",2,5.932,5.77333333333333
"21","0.37",1,4.664,1.54666666666667
"22","0.6",1,4.799,1.99666666666667
"23","0.75",2,5.019,2.73
"24","0.84",2,5.224,3.41333333333333
"25","0.9",2,5.444,4.14666666666667
"26","0.94",2,5.599,4.66333333333333
"27","0.96",2,5.711,5.03666666666667
"28","0.97",2,5.824,5.41333333333333
"29","0.98",2,5.882,5.60666666666667
"30","0.99",2,5.918,5.72666666666667
"31","0.37",1,4.649,1.49666666666667
"32","0.6",1,4.8,2
"33","0.75",1,4.971,2.57
"34","0.84",1,5.284,3.61333333333333
"35","0.9",1,5.387,3.95666666666667
"36","0.94",2,5.601,4.67
"37","0.96",2,5.771,5.23666666666667
"38","0.97",2,5.771,5.23666666666667
"39","0.98",2,5.897,5.65666666666667
"40","0.99",2,5.952,5.84
"41","0.37",1,4.619,1.39666666666667
"42","0.6",1,4.852,2.17333333333333
"43","0.75",1,4.982,2.60666666666667
"44","0.84",1,5.183,3.27666666666667
"45","0.9",2,5.457,4.19
"46","0.94",2,5.606,4.68666666666667
"47","0.96",2,5.758,5.19333333333333
"48","0.97",2,5.855,5.51666666666667
"49","0.98",2,5.881,5.60333333333333
"50","0.99",2,5.927,5.75666666666667
"51","0.37",1,4.633,1.44333333333333
"52","0.6",1,4.787,1.95666666666667
"53","0.75",2,5.029,2.76333333333333
"54","0.84",2,5.236,3.45333333333333
"55","0.9",2,5.46,4.2
"56","0.94",2,5.594,4.64666666666667
"57","0.96",2,5.73,5.1
"58","0.97",2,5.848,5.49333333333333
"59","0.98",2,5.872,5.57333333333333
"60","0.99",2,5.933,5.77666666666667
"61","0.37",1,4.629,1.43
"62","0.6",1,4.779,1.93
"63","0.75",1,5.024,2.74666666666667
"64","0.84",1,5.26,3.53333333333333
"65","0.9",2,5.452,4.17333333333333
"66","0.94",2,5.595,4.65
"67","0.96",2,5.742,5.14
"68","0.97",2,5.831,5.43666666666667
"69","0.98",2,5.852,5.50666666666667
"70","0.99",2,5.92,5.73333333333333
"71","0.37",1,4.615,1.38333333333333
"72","0.6",1,4.766,1.88666666666667
"73","0.75",1,4.995,2.65
"74","0.84",2,5.227,3.42333333333333
"75","0.9",2,5.452,4.17333333333333
"76","0.94",2,5.595,4.65
"77","0.96",2,5.729,5.09666666666667
"78","0.97",2,5.858,5.52666666666667
"79","0.98",2,5.851,5.50333333333333
"80","0.99",2,5.91,5.7
"81","0.37",1,4.631,1.43666666666667
"82","0.6",1,4.775,1.91666666666667
"83","0.75",1,5.015,2.71666666666667
"84","0.84",1,5.27,3.56666666666667
"85","0.9",2,5.451,4.17
"86","0.94",2,5.581,4.60333333333333
"87","0.96",2,5.767,5.22333333333333
"88","0.97",2,5.827,5.42333333333333
"89","0.98",2,5.9,5.66666666666667
"90","0.99",2,5.945,5.81666666666667
"91","0.37",1,4.62,1.4
"92","0.6",1,4.78,1.93333333333333
"93","0.75",1,5.016,2.72
"94","0.84",2,5.235,3.45
"95","0.9",2,5.463,4.21
"96","0.94",2,5.622,4.74
"97","0.96",2,5.754,5.18
"98","0.97",2,5.811,5.37
"99","0.98",2,5.893,5.64333333333333
"100","0.99",2,5.938,5.79333333333333
"101","0.37",1,4.626,1.42
"102","0.6",1,4.81,2.03333333333333
"103","0.75",1,4.987,2.62333333333333
"104","0.84",1,5.195,3.31666666666667
"105","0.9",1,5.506,4.35333333333333
"106","0.94",1,5.621,4.73666666666667
"107","0.96",2,5.746,5.15333333333333
"108","0.97",2,5.873,5.57666666666667
"109","0.98",2,5.877,5.59
"110","0.99",2,5.932,5.77333333333333
"111","0.37",1,4.641,1.47
"112","0.6",1,4.843,2.14333333333333
"113","0.75",1,5.023,2.74333333333333
"114","0.84",2,5.186,3.28666666666667
"115","0.9",2,5.416,4.05333333333333
"116","0.94",2,5.628,4.76
"117","0.96",2,5.738,5.12666666666667
"118","0.97",2,5.819,5.39666666666667
"119","0.98",2,5.914,5.71333333333333
"120","0.99",2,5.942,5.80666666666667
"121","0.37",1,4.633,1.44333333333333
"122","0.6",1,4.801,2.00333333333333
