"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.894,1.86333333333333
"2","-0.4",2,2.241,2.22666666666667
"3","-0.6",2,2.663,2.54333333333333
"4","-0.8",2,3.089,3.13
"5","-1",2,3.562,3.60666666666667
"6","-1.2",2,4.056,3.95333333333333
"7","-1.4",2,4.464,4.63
"8","-1.6",2,4.762,4.97
"9","-1.8",2,5.118,5.35666666666667
"10","-2",2,5.38,5.48666666666667
"11","-0.2",1,1.815,1.65333333333333
"12","-0.4",1,2.154,2.00333333333333
"13","-0.6",2,2.564,2.30666666666667
"14","-0.8",2,3.026,2.83333333333333
"15","-1",2,3.489,3.27333333333333
"16","-1.2",2,3.869,3.68
"17","-1.4",2,4.223,4.05333333333333
"18","-1.6",2,4.661,4.63666666666667
"19","-1.8",2,4.975,4.90333333333333
"20","-2",2,5.2,5.2
"21","-0.2",2,1.878,1.78
"22","-0.4",3,2.167,2.10666666666667
"23","-0.6",2,2.608,2.34
"24","-0.8",2,2.904,2.53
"25","-1",2,3.337,2.88
"26","-1.2",2,3.882,3.42
"27","-1.4",2,4.314,3.69333333333333
"28","-1.6",2,4.686,3.98666666666667
"29","-1.8",2,4.986,4.32
"30","-2",2,5.322,4.85666666666667
"31","-0.2",2,1.791,1.80666666666667
"32","-0.4",2,2.037,2.18666666666667
"33","-0.6",2,2.361,2.40666666666667
"34","-0.8",2,2.819,2.96
"35","-1",2,3.207,3.33
"36","-1.2",2,3.521,3.64333333333333
"37","-1.4",2,3.822,3.94
"38","-1.6",2,4.216,4.39
"39","-1.8",2,4.492,4.70333333333333
"40","-2",2,4.893,5.01
"41","-0.2",2,1.841,1.86333333333333
"42","-0.4",2,2.293,2.31666666666667
"43","-0.6",2,2.607,2.73333333333333
"44","-0.8",2,3.158,3.20666666666667
"45","-1",2,3.704,3.83333333333333
"46","-1.2",2,4.065,4.06
"47","-1.4",2,4.601,4.74
"48","-1.6",2,4.949,5.09333333333333
"49","-1.8",2,5.243,5.28666666666667
"50","-2",2,5.464,5.52333333333333
"51","-0.2",2,1.912,1.80333333333333
"52","-0.4",2,2.295,1.97666666666667
"53","-0.6",2,2.733,2.43
"54","-0.8",2,3.229,2.78666666666667
"55","-1",2,3.698,3.09
"56","-1.2",2,4.233,3.57333333333333
"57","-1.4",2,4.679,4.02
"58","-1.6",2,4.961,4.25
"59","-1.8",2,5.202,4.6
"60","-2",2,5.431,4.92666666666667
"61","-0.2",2,1.841,1.93
"62","-0.4",2,2.115,2.19333333333333
"63","-0.6",2,2.625,2.75666666666667
"64","-0.8",2,2.911,2.99333333333333
"65","-1",2,3.366,3.63666666666667
"66","-1.2",2,3.871,3.82666666666667
"67","-1.4",2,4.26,4.38
"68","-1.6",2,4.628,4.69333333333333
"69","-1.8",2,5.005,4.87666666666667
"70","-2",2,5.17,4.94
"71","-0.2",2,1.729,1.79666666666667
"72","-0.4",2,1.99,1.99
"73","-0.6",2,2.273,2.29666666666667
"74","-0.8",2,2.727,2.74
"75","-1",2,3.135,3.21
"76","-1.2",2,3.69,3.53666666666667
"77","-1.4",2,4.19,4.21333333333333
"78","-1.6",2,4.576,4.69333333333333
"79","-1.8",2,4.947,4.93333333333333
"80","-2",2,5.239,5.19
"81","-0.2",2,1.947,1.99333333333333
"82","-0.4",1,2.261,2.26333333333333
"83","-0.6",2,2.731,2.76333333333333
"84","-0.8",1,3.265,3.41333333333333
"85","-1",2,3.715,3.79333333333333
"86","-1.2",2,4.335,4.52
"87","-1.4",2,4.665,4.78
"88","-1.6",2,4.997,5.08333333333333
"89","-1.8",2,5.24,5.43333333333333
"90","-2",2,5.494,5.57
"91","-0.2",2,1.771,1.75333333333333
"92","-0.4",2,2.076,1.98333333333333
"93","-0.6",2,2.312,2.21
"94","-0.8",2,2.783,2.58666666666667
"95","-1",2,3.183,3.03666666666667
"96","-1.2",2,3.57,3.45333333333333
"97","-1.4",2,3.929,3.97
