"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,1.461,1.41333333333333
"2","0.6",2,1.985,2.04666666666667
"3","0.75",2,2.712,2.70666666666667
"4","0.84",2,3.411,3.48
"5","0.9",2,4.082,4.08666666666667
"6","0.94",2,4.602,4.56
"7","0.96",2,5.134,5.04333333333333
"8","0.97",2,5.456,5.47
"9","0.98",2,5.625,5.64333333333333
"10","0.99",2,5.794,5.76666666666667
"11","0.37",2,1.439,1.46333333333333
"12","0.6",2,1.985,2.07666666666667
"13","0.75",2,2.69,2.67666666666667
"14","0.84",2,3.445,3.55333333333333
"15","0.9",2,4.129,4.20333333333333
"16","0.94",2,4.664,4.62
"17","0.96",2,5.102,4.94
"18","0.97",2,5.397,5.45
"19","0.98",2,5.649,5.61
"20","0.99",2,5.729,5.68333333333333
"21","0.37",3,1.473,1.5
"22","0.6",2,2.022,2.02
"23","0.75",2,2.722,2.73333333333333
"24","0.84",2,3.35,3.27
"25","0.9",2,4.147,4.24333333333333
"26","0.94",2,4.68,4.66
"27","0.96",2,5.14,5.16
"28","0.97",2,5.426,5.42
"29","0.98",2,5.633,5.56
"30","0.99",2,5.772,5.75333333333333
"31","0.37",2,1.456,1.44666666666667
"32","0.6",2,2.049,2.04
"33","0.75",2,2.719,2.77
"34","0.84",2,3.392,3.49333333333333
"35","0.9",2,4.147,4.09
"36","0.94",2,4.68,4.63
"37","0.96",2,5.124,5.02666666666667
"38","0.97",2,5.38,5.38
"39","0.98",2,5.684,5.69666666666667
"40","0.99",2,5.731,5.72
"41","0.37",3,1.474,1.51
"42","0.6",3,2.03,2.03
"43","0.75",2,2.67,2.71333333333333
"44","0.84",2,3.376,3.31
"45","0.9",2,4.194,4.27666666666667
"46","0.94",2,4.779,4.68333333333333
"47","0.96",2,5.102,5.04
"48","0.97",2,5.462,5.45333333333333
"49","0.98",2,5.618,5.71
"50","0.99",2,5.753,5.74333333333333
"51","0.37",2,1.471,1.47666666666667
"52","0.6",2,1.962,1.86666666666667
"53","0.75",2,2.73,2.88333333333333
"54","0.84",2,3.466,3.49666666666667
"55","0.9",2,4.134,4.07
"56","0.94",2,4.703,4.67666666666667
"57","0.96",2,5.199,5.17333333333333
"58","0.97",2,5.384,5.43
"59","0.98",2,5.693,5.71333333333333
"60","0.99",2,5.788,5.79
"61","0.37",3,1.406,1.4
"62","0.6",2,2.004,1.99666666666667
"63","0.75",2,2.641,2.76
"64","0.84",2,3.446,3.26666666666667
"65","0.9",2,4.145,4.26
"66","0.94",2,4.702,4.68333333333333
"67","0.96",2,5.124,5.12666666666667
"68","0.97",2,5.384,5.30666666666667
"69","0.98",2,5.613,5.66333333333333
"70","0.99",2,5.749,5.74333333333333
"71","0.37",2,1.483,1.47333333333333
"72","0.6",2,2.015,1.93666666666667
"73","0.75",2,2.623,2.64666666666667
"74","0.84",2,3.304,3.29
"75","0.9",2,4.118,4.22
"76","0.94",2,4.595,4.73666666666667
"77","0.96",2,5.124,5.13333333333333
"78","0.97",2,5.379,5.32
"79","0.98",2,5.615,5.62
"80","0.99",2,5.787,5.79
"81","0.37",2,1.437,1.43333333333333
"82","0.6",2,2.057,2.02
"83","0.75",2,2.618,2.61
"84","0.84",2,3.538,3.53
"85","0.9",2,4.106,4.16666666666667
"86","0.94",2,4.71,4.73
"87","0.96",2,5.164,5.19
"88","0.97",2,5.347,5.24
"89","0.98",2,5.635,5.64666666666667
"90","0.99",2,5.784,5.79
"91","0.37",3,1.463,1.48333333333333
"92","0.6",2,2.002,2.02333333333333
"93","0.75",2,2.722,2.78666666666667
"94","0.84",2,3.438,3.45666666666667
"95","0.9",2,4.156,4.25
"96","0.94",2,4.735,4.77333333333333
"97","0.96",2,5.149,5.19333333333333
"98","0.97",2,5.477,5.40333333333333
"99","0.98",2,5.602,5.58
"100","0.99",2,5.793,5.72333333333333
"101","0.37",2,1.409,1.42666666666667
"102","0.6",2,1.957,1.97333333333333
"103","0.75",2,2.735,2.78666666666667
"104","0.84",2,3.392,3.35666666666667
"105","0.9",2,4.097,4.09666666666667
"106","0.94",2,4.753,4.79333333333333
"107","0.96",2,5.136,5.05666666666667
"108","0.97",2,5.44,5.50666666666667
"109","0.98",2,5.661,5.7
"110","0.99",2,5.753,5.78
"111","0.37",2,1.455,1.39666666666667
"112","0.6",2,1.981,1.93333333333333
"113","0.75",2,2.633,2.59333333333333
"114","0.84",2,3.484,3.34666666666667
"115","0.9",2,4.076,3.96666666666667
"116","0.94",2,4.684,4.57
"117","0.96",2,5.148,5.03333333333333
"118","0.97",2,5.388,5.39
"119","0.98",2,5.619,5.59666666666667
"120","0.99",2,5.739,5.71666666666667
"121","0.37",2,1.455,1.48666666666667
"122","0.6",2,2.112,2.06333333333333
"123","0.75",2,2.602,2.54
"124","0.84",2,3.485,3.41666666666667
"125","0.9",2,4.225,4.17666666666667
"126","0.94",2,4.723,4.65666666666667
"127","0.96",2,5.075,4.91666666666667
"128","0.97",2,5.374,5.39333333333333
"129","0.98",2,5.653,5.73666666666667
"130","0.99",2,5.747,5.78
"131","0.37",2,1.474,1.46
"132","0.6",2,2.008,2.06
"133","0.75",2,2.734,2.81666666666667
"134","0.84",2,3.47,3.38
"135","0.9",2,4.148,3.96333333333333
"136","0.94",2,4.602,4.56666666666667
"137","0.96",2,5.13,5.11666666666667
"138","0.97",2,5.44,5.51333333333333
"139","0.98",2,5.623,5.69333333333333
"140","0.99",2,5.744,5.74
"141","0.37",2,1.447,1.38666666666667
"142","0.6",2,1.937,1.92666666666667
"143","0.75",2,2.737,2.81
"144","0.84",2,3.371,3.27333333333333
"145","0.9",2,4.151,3.98
"146","0.94",2,4.774,4.70666666666667
"147","0.96",2,5.122,5.01666666666667
"148","0.97",2,5.439,5.38333333333333
"149","0.98",2,5.64,5.66
"150","0.99",2,5.763,5.77666666666667
"151","0.37",3,1.452,1.50333333333333
"152","0.6",3,1.999,1.96666666666667
"153","0.75",2,2.611,2.49
"154","0.84",2,3.438,3.64333333333333
"155","0.9",2,4.204,4.26666666666667
"156","0.94",2,4.741,4.83666666666667
"157","0.96",2,5.101,5.08
"158","0.97",2,5.427,5.47
"159","0.98",2,5.609,5.66
"160","0.99",2,5.78,5.79666666666667
"161","0.37",3,1.49,1.48666666666667
"162","0.6",2,2.003,2.00333333333333
"163","0.75",2,2.581,2.53666666666667
"164","0.84",2,3.456,3.52333333333333
"165","0.9",2,4.075,4.05333333333333
"166","0.94",2,4.602,4.62666666666667
"167","0.96",2,5.115,5.13666666666667
"168","0.97",2,5.477,5.44666666666667
"169","0.98",2,5.63,5.64666666666667
"170","0.99",2,5.688,5.64666666666667
"171","0.37",2,1.461,1.5
"172","0.6",2,2.018,1.94
"173","0.75",2,2.669,2.73
"174","0.84",2,3.424,3.4
"175","0.9",2,4.13,4.14333333333333
"176","0.94",2,4.732,4.77333333333333
"177","0.96",2,5.085,5.17
"178","0.97",2,5.403,5.42
"179","0.98",2,5.543,5.53666666666667
"180","0.99",2,5.735,5.66666666666667
"181","0.37",3,1.453,1.49333333333333
"182","0.6",2,1.966,1.92666666666667
"183","0.75",2,2.722,2.71
"184","0.84",2,3.45,3.47
"185","0.9",2,4.088,4.11666666666667
"186","0.94",2,4.687,4.64333333333333
"187","0.96",2,5.129,5.14333333333333
"188","0.97",2,5.446,5.34
"189","0.98",2,5.615,5.60333333333333
"190","0.99",2,5.818,5.76333333333333
"191","0.37",3,1.466,1.44666666666667
"192","0.6",3,1.994,2.01666666666667
"193","0.75",3,2.593,2.58666666666667
"194","0.84",2,3.407,3.33
"195","0.9",2,4.057,4.06666666666667
"196","0.94",2,4.743,4.76333333333333
"197","0.96",2,5.041,4.98666666666667
"198","0.97",2,5.445,5.40666666666667
"199","0.98",2,5.631,5.63333333333333
"200","0.99",2,5.704,5.62
"201","0.37",1,1.418,1.41666666666667
"202","0.6",2,2.023,2.12666666666667
"203","0.75",2,2.651,2.53
"204","0.84",2,3.466,3.30666666666667
"205","0.9",2,4.2,4.27
"206","0.94",2,4.668,4.74
"207","0.96",2,5.097,5.06666666666667
"208","0.97",2,5.377,5.31
"209","0.98",2,5.681,5.63333333333333
"210","0.99",2,5.777,5.78
"211","0.37",3,1.443,1.46333333333333
"212","0.6",3,2.027,2.06
"213","0.75",2,2.647,2.66666666666667
"214","0.84",2,3.503,3.54333333333333
"215","0.9",2,4.142,4.23333333333333
"216","0.94",2,4.742,4.65
"217","0.96",2,5.129,5.29
"218","0.97",2,5.502,5.43333333333333
"219","0.98",2,5.543,5.53
"220","0.99",2,5.771,5.80333333333333
"221","0.37",2,1.434,1.40333333333333
"222","0.6",2,2.008,1.98666666666667
"223","0.75",2,2.697,2.68333333333333
"224","0.84",2,3.466,3.41
"225","0.9",2,4.109,4.10333333333333
"226","0.94",2,4.673,4.79666666666667
"227","0.96",2,5.17,5.17
"228","0.97",2,5.371,5.37
"229","0.98",2,5.644,5.6
"230","0.99",2,5.731,5.71
"231","0.37",1,1.48,1.53666666666667
"232","0.6",1,1.981,2
"233","0.75",2,2.673,2.57666666666667
"234","0.84",2,3.403,3.46
"235","0.9",2,4.175,4.4
"236","0.94",2,4.712,4.75
"237","0.96",2,5.137,5.19333333333333
"238","0.97",2,5.396,5.47
"239","0.98",2,5.654,5.62333333333333
"240","0.99",2,5.747,5.71
"241","0.37",2,1.466,1.50666666666667
"242","0.6",2,1.989,1.99
"243","0.75",2,2.666,2.70666666666667
"244","0.84",2,3.388,3.36666666666667
"245","0.9",2,4.019,3.97333333333333
"246","0.94",2,4.7,4.68
"247","0.96",2,5.16,5.18333333333333
"248","0.97",2,5.432,5.41666666666667
"249","0.98",2,5.64,5.48333333333333
"250","0.99",2,5.724,5.71
"251","0.37",2,1.448,1.44666666666667
"252","0.6",1,1.992,1.93333333333333
"253","0.75",2,2.672,2.73
"254","0.84",2,3.376,3.46
"255","0.9",2,4.122,4.30333333333333
"256","0.94",2,4.666,4.80333333333333
"257","0.96",2,5.16,5.21
"258","0.97",2,5.412,5.47
"259","0.98",2,5.615,5.64666666666667
"260","0.99",2,5.733,5.72
"261","0.37",3,1.446,1.48333333333333
"262","0.6",3,1.984,1.98666666666667
"263","0.75",3,2.718,2.69
"264","0.84",2,3.422,3.45333333333333
"265","0.9",2,4.122,4.17
"266","0.94",2,4.683,4.78
"267","0.96",2,5.102,5.07
"268","0.97",2,5.437,5.40666666666667
"269","0.98",2,5.601,5.61333333333333
"270","0.99",2,5.798,5.79333333333333
"271","0.37",1,1.45,1.49666666666667
"272","0.6",1,2.012,1.94
"273","0.75",1,2.541,2.45333333333333
"274","0.84",1,3.504,3.41666666666667
"275","0.9",2,4.14,4.15
"276","0.94",2,4.761,4.71666666666667
"277","0.96",2,5.152,5.11333333333333
"278","0.97",2,5.477,5.42666666666667
"279","0.98",2,5.546,5.62333333333333
"280","0.99",2,5.794,5.78
"281","0.37",2,1.46,1.46
"282","0.6",2,2.03,2.04333333333333
"283","0.75",2,2.674,2.61333333333333
"284","0.84",2,3.43,3.41666666666667
"285","0.9",2,4.068,3.99333333333333
"286","0.94",2,4.724,4.75
"287","0.96",2,5.076,5.18
"288","0.97",2,5.439,5.41666666666667
"289","0.98",2,5.641,5.66333333333333
"290","0.99",2,5.716,5.67333333333333
"291","0.37",2,1.479,1.49333333333333
"292","0.6",2,2.005,2.08
"293","0.75",2,2.585,2.49333333333333
"294","0.84",2,3.464,3.49333333333333
"295","0.9",2,4.111,4.25333333333333
"296","0.94",2,4.697,4.70666666666667
"297","0.96",2,5.125,5.19666666666667
"298","0.97",2,5.403,5.33333333333333
"299","0.98",2,5.548,5.57333333333333
"300","0.99",2,5.777,5.82666666666667
"301","0.37",3,1.463,1.47333333333333
"302","0.6",2,2.019,2.07
"303","0.75",2,2.754,2.65333333333333
"304","0.84",2,3.442,3.57
"305","0.9",2,4.07,4.02666666666667
"306","0.94",2,4.782,4.75666666666667
"307","0.96",2,5.149,5.1
"308","0.97",2,5.399,5.31666666666667
