"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"590","0.99",1,5.948,5.74
"591","0.37",0,5.08,1.4
"592","0.6",1,5.189,1.945
"593","0.75",1,5.349,2.745
"594","0.84",1,5.444,3.22
"595","0.9",1,5.627,4.135
"596","0.94",1,5.739,4.695
"597","0.96",1,5.824,5.12
"598","0.97",1,5.896,5.48
"599","0.98",1,5.906,5.53
"600","0.99",1,5.948,5.74
"601","0.37",1,5.073,1.365
"602","0.6",1,5.199,1.995
"603","0.75",1,5.362,2.81
"604","0.84",1,5.499,3.495
"605","0.9",1,5.638,4.19
"606","0.94",1,5.708,4.54
"607","0.96",1,5.805,5.025
"608","0.97",1,5.887,5.435
"609","0.98",1,5.933,5.665
"610","0.99",1,5.954,5.77
"611","0.37",1,5.076,1.38
"612","0.6",1,5.216,2.08
"613","0.75",1,5.333,2.665
"614","0.84",1,5.479,3.395
"615","0.9",1,5.608,4.04
"616","0.94",1,5.728,4.64
"617","0.96",1,5.826,5.13
"618","0.97",1,5.889,5.445
"619","0.98",1,5.912,5.56
"620","0.99",1,5.964,5.82
"621","0.37",1,5.101,1.505
"622","0.6",1,5.217,2.085
"623","0.75",1,5.38,2.9
"624","0.84",1,5.534,3.67
"625","0.9",1,5.616,4.08
"626","0.94",1,5.723,4.615
"627","0.96",1,5.818,5.09
"628","0.97",1,5.881,5.405
"629","0.98",1,5.909,5.545
"630","0.99",1,5.963,5.815
"631","0.37",1,5.088,1.44
"632","0.6",1,5.193,1.965
"633","0.75",1,5.35,2.75
"634","0.84",1,5.484,3.42
"635","0.9",1,5.632,4.16
"636","0.94",1,5.749,4.745
"637","0.96",1,5.812,5.06
"638","0.97",1,5.883,5.415
"639","0.98",1,5.904,5.52
"640","0.99",1,5.964,5.82
"641","0.37",0,5.106,1.53
"642","0.6",1,5.177,1.885
"643","0.75",1,5.308,2.54
"644","0.84",1,5.45,3.25
"645","0.9",1,5.608,4.04
"646","0.94",1,5.747,4.735
"647","0.96",1,5.849,5.245
"648","0.97",1,5.882,5.41
"649","0.98",1,5.889,5.445
"650","0.99",1,5.947,5.735
"651","0.37",1,5.094,1.47
"652","0.6",1,5.202,2.01
"653","0.75",1,5.327,2.635
"654","0.84",1,5.506,3.53
"655","0.9",1,5.623,4.115
"656","0.94",1,5.73,4.65
"657","0.96",1,5.814,5.07
"658","0.97",1,5.872,5.36
"659","0.98",1,5.912,5.56
"660","0.99",1,5.952,5.76
"661","0.37",1,5.103,1.515
"662","0.6",1,5.185,1.925
"663","0.75",1,5.313,2.565
"664","0.84",1,5.528,3.64
"665","0.9",1,5.618,4.09
"666","0.94",1,5.779,4.895
"667","0.96",1,5.843,5.215
"668","0.97",1,5.869,5.345
"669","0.98",1,5.919,5.595
"670","0.99",1,5.971,5.855
"671","0.37",1,5.086,1.43
"672","0.6",1,5.181,1.905
"673","0.75",1,5.32,2.6
"674","0.84",1,5.481,3.405
"675","0.9",1,5.648,4.24
"676","0.94",1,5.735,4.675
"677","0.96",1,5.811,5.055
"678","0.97",1,5.871,5.355
"679","0.98",1,5.918,5.59
"680","0.99",1,5.972,5.86
"681","0.37",1,5.072,1.36
"682","0.6",1,5.22,2.1
"683","0.75",1,5.328,2.64
