"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,5.153,1.765
"2","-0.4",1,5.258,2.29
"3","-0.6",1,5.328,2.64
"4","-0.8",1,5.421,3.105
"5","-1",1,5.552,3.76
"6","-1.2",1,5.661,4.305
"7","-1.4",1,5.749,4.745
"8","-1.6",1,5.756,4.78
"9","-1.8",1,5.861,5.305
"10","-2",1,5.905,5.525
"11","-0.2",1,5.091,1.455
"12","-0.4",1,5.146,1.73
"13","-0.6",1,5.19,1.95
"14","-0.8",1,5.269,2.345
"15","-1",1,5.336,2.68
"16","-1.2",1,5.411,3.055
"17","-1.4",1,5.51,3.55
"18","-1.6",1,5.579,3.895
"19","-1.8",1,5.599,3.995
"20","-2",1,5.67,4.35
"21","-0.2",1,5.123,1.615
"22","-0.4",1,5.186,1.93
"23","-0.6",1,5.243,2.215
"24","-0.8",1,5.274,2.37
"25","-1",1,5.393,2.965
"26","-1.2",1,5.478,3.39
"27","-1.4",1,5.501,3.505
"28","-1.6",1,5.588,3.94
"29","-1.8",1,5.649,4.245
"30","-2",1,5.746,4.73
"31","-0.2",1,5.163,1.815
"32","-0.4",1,5.208,2.04
"33","-0.6",1,5.306,2.53
"34","-0.8",1,5.383,2.915
"35","-1",1,5.515,3.575
"36","-1.2",1,5.607,4.035
"37","-1.4",1,5.665,4.325
"38","-1.6",1,5.787,4.935
"39","-1.8",1,5.858,5.29
"40","-2",1,5.857,5.285
"41","-0.2",1,5.137,1.685
"42","-0.4",1,5.207,2.035
"43","-0.6",1,5.286,2.43
"44","-0.8",1,5.364,2.82
"45","-1",1,5.407,3.035
"46","-1.2",1,5.499,3.495
"47","-1.4",1,5.54,3.7
"48","-1.6",1,5.635,4.175
"49","-1.8",1,5.689,4.445
"50","-2",1,5.715,4.575
"51","-0.2",1,5.132,1.66
"52","-0.4",1,5.216,2.08
"53","-0.6",1,5.269,2.345
"54","-0.8",1,5.336,2.68
"55","-1",1,5.416,3.08
"56","-1.2",1,5.445,3.225
"57","-1.4",1,5.487,3.435
"58","-1.6",1,5.544,3.72
"59","-1.8",1,5.595,3.975
"60","-2",1,5.63,4.15
"61","-0.2",1,5.048,1.24
"62","-0.4",1,5.072,1.36
"63","-0.6",1,5.118,1.59
"64","-0.8",1,5.127,1.635
"65","-1",1,5.211,2.055
"66","-1.2",1,5.243,2.215
"67","-1.4",1,5.344,2.72
"68","-1.6",1,5.396,2.98
"69","-1.8",1,5.466,3.33
"70","-2",1,5.544,3.72
"71","-0.2",1,5.134,1.67
"72","-0.4",1,5.217,2.085
"73","-0.6",1,5.261,2.305
"74","-0.8",1,5.311,2.555
"75","-1",1,5.423,3.115
"76","-1.2",1,5.482,3.41
"77","-1.4",1,5.542,3.71
"78","-1.6",1,5.601,4.005
"79","-1.8",1,5.683,4.415
"80","-2",1,5.745,4.725
"81","-0.2",1,5.132,1.66
"82","-0.4",1,5.181,1.905
"83","-0.6",1,5.228,2.14
"84","-0.8",1,5.285,2.425
"85","-1",1,5.396,2.98
"86","-1.2",1,5.461,3.305
"87","-1.4",1,5.527,3.635
"88","-1.6",1,5.595,3.975
"89","-1.8",1,5.689,4.445
"90","-2",1,5.734,4.67
"91","-0.2",1,5.124,1.62
"92","-0.4",1,5.215,2.075
"93","-0.6",1,5.297,2.485
"94","-0.8",1,5.376,2.88
"95","-1",1,5.439,3.195
"96","-1.2",1,5.536,3.68
"97","-1.4",1,5.585,3.925
"98","-1.6",1,5.652,4.26
"99","-1.8",1,5.709,4.545
"100","-2",1,5.766,4.83
"101","-0.2",1,5.145,1.725
"102","-0.4",1,5.2,2
"103","-0.6",1,5.239,2.195
"104","-0.8",1,5.283,2.415
"105","-1",1,5.375,2.875
"106","-1.2",1,5.426,3.13
"107","-1.4",1,5.468,3.34
"108","-1.6",1,5.546,3.73
"109","-1.8",1,5.588,3.94
"110","-2",1,5.674,4.37
"111","-0.2",1,5.12,1.6
"112","-0.4",1,5.194,1.97
"113","-0.6",1,5.249,2.245
"114","-0.8",1,5.314,2.57
"115","-1",1,5.364,2.82
"116","-1.2",1,5.417,3.085
"117","-1.4",1,5.463,3.315
"118","-1.6",1,5.483,3.415
"119","-1.8",1,5.56,3.8
"120","-2",1,5.582,3.91
"121","-0.2",1,5.082,1.41
"122","-0.4",1,5.112,1.56
"123","-0.6",1,5.163,1.815
"124","-0.8",1,5.206,2.03
"125","-1",1,5.271,2.355
"126","-1.2",1,5.327,2.635
"127","-1.4",1,5.411,3.055
"128","-1.6",1,5.473,3.365
"129","-1.8",1,5.572,3.86
"130","-2",1,5.623,4.115
"131","-0.2",1,5.15,1.75
"132","-0.4",1,5.192,1.96
"133","-0.6",1,5.253,2.265
"134","-0.8",1,5.34,2.7
"135","-1",1,5.392,2.96
"136","-1.2",1,5.486,3.43
"137","-1.4",1,5.558,3.79
"138","-1.6",1,5.685,4.425
"139","-1.8",1,5.719,4.595
"140","-2",1,5.816,5.08
"141","-0.2",1,5.161,1.805
"142","-0.4",1,5.227,2.135
"143","-0.6",1,5.308,2.54
"144","-0.8",1,5.413,3.065
"145","-1",1,5.548,3.74
"146","-1.2",1,5.623,4.115
"147","-1.4",1,5.687,4.435
"148","-1.6",1,5.776,4.88
"149","-1.8",1,5.846,5.23
"150","-2",1,5.901,5.505
"151","-0.2",1,5.126,1.63
"152","-0.4",1,5.195,1.975
"153","-0.6",1,5.233,2.165
"154","-0.8",1,5.288,2.44
"155","-1",1,5.31,2.55
"156","-1.2",1,5.376,2.88
"157","-1.4",1,5.412,3.06
"158","-1.6",1,5.473,3.365
"159","-1.8",1,5.517,3.585
"160","-2",1,5.57,3.85
"161","-0.2",1,5.113,1.565
"162","-0.4",1,5.175,1.875
"163","-0.6",1,5.25,2.25
"164","-0.8",1,5.358,2.79
"165","-1",1,5.388,2.94
"166","-1.2",1,5.529,3.645
"167","-1.4",1,5.537,3.685
"168","-1.6",1,5.654,4.27
"169","-1.8",1,5.728,4.64
"170","-2",1,5.786,4.93
"171","-0.2",1,5.172,1.86
"172","-0.4",1,5.284,2.42
"173","-0.6",1,5.342,2.71
"174","-0.8",1,5.396,2.98
"175","-1",1,5.553,3.765
"176","-1.2",1,5.569,3.845
"177","-1.4",1,5.656,4.28
"178","-1.6",1,5.706,4.53
"179","-1.8",1,5.735,4.675
"180","-2",1,5.763,4.815
"181","-0.2",1,5.129,1.645
"182","-0.4",1,5.204,2.02
"183","-0.6",1,5.25,2.25
"184","-0.8",1,5.327,2.635
"185","-1",1,5.396,2.98
"186","-1.2",1,5.499,3.495
"187","-1.4",1,5.541,3.705
"188","-1.6",1,5.552,3.76
"189","-1.8",1,5.639,4.195
"190","-2",1,5.671,4.355
"191","-0.2",1,5.121,1.605
"192","-0.4",1,5.18,1.9
"193","-0.6",1,5.248,2.24
"194","-0.8",1,5.302,2.51
"195","-1",1,5.341,2.705
"196","-1.2",1,5.362,2.81
"197","-1.4",1,5.418,3.09
"198","-1.6",1,5.456,3.28
"199","-1.8",1,5.498,3.49
"200","-2",1,5.528,3.64
"201","-0.2",1,5.146,1.73
"202","-0.4",1,5.217,2.085
"203","-0.6",1,5.315,2.575
"204","-0.8",1,5.358,2.79
"205","-1",1,5.411,3.055
"206","-1.2",1,5.484,3.42
"207","-1.4",1,5.517,3.585
"208","-1.6",1,5.622,4.11
"209","-1.8",1,5.633,4.165
"210","-2",1,5.716,4.58
"211","-0.2",1,5.176,1.88
"212","-0.4",1,5.239,2.195
"213","-0.6",1,5.339,2.695
"214","-0.8",1,5.441,3.205
"215","-1",1,5.516,3.58
"216","-1.2",1,5.569,3.845
"217","-1.4",1,5.711,4.555
"218","-1.6",1,5.783,4.915
"219","-1.8",1,5.874,5.37
"220","-2",1,5.918,5.59
"221","-0.2",1,5.176,1.88
"222","-0.4",1,5.256,2.28
"223","-0.6",1,5.308,2.54
"224","-0.8",1,5.411,3.055
"225","-1",1,5.487,3.435
"226","-1.2",1,5.594,3.97
"227","-1.4",1,5.614,4.07
"228","-1.6",1,5.694,4.47
"229","-1.8",1,5.737,4.685
"230","-2",1,5.785,4.925
"231","-0.2",1,5.09,1.45
"232","-0.4",1,5.093,1.465
"233","-0.6",1,5.174,1.87
"234","-0.8",1,5.206,2.03
"235","-1",1,5.27,2.35
"236","-1.2",1,5.301,2.505
"237","-1.4",1,5.356,2.78
"238","-1.6",1,5.419,3.095
"239","-1.8",1,5.457,3.285
"240","-2",1,5.512,3.56
"241","-0.2",1,5.111,1.555
"242","-0.4",1,5.134,1.67
"243","-0.6",1,5.189,1.945
"244","-0.8",1,5.191,1.955
"245","-1",1,5.241,2.205
"246","-1.2",1,5.314,2.57
"247","-1.4",1,5.361,2.805
"248","-1.6",1,5.426,3.13
"249","-1.8",1,5.474,3.37
"250","-2",1,5.536,3.68
"251","-0.2",1,5.171,1.855
"252","-0.4",1,5.236,2.18
"253","-0.6",1,5.345,2.725
"254","-0.8",1,5.382,2.91
"255","-1",1,5.448,3.24
"256","-1.2",1,5.552,3.76
"257","-1.4",1,5.623,4.115
"258","-1.6",1,5.679,4.395
"259","-1.8",1,5.75,4.75
"260","-2",1,5.79,4.95
"261","-0.2",1,5.115,1.575
"262","-0.4",1,5.172,1.86
"263","-0.6",1,5.232,2.16
"264","-0.8",1,5.293,2.465
"265","-1",1,5.34,2.7
"266","-1.2",1,5.432,3.16
"267","-1.4",1,5.475,3.375
"268","-1.6",1,5.542,3.71
"269","-1.8",1,5.605,4.025
"270","-2",1,5.627,4.135
"271","-0.2",1,5.14,1.7
"272","-0.4",1,5.193,1.965
"273","-0.6",1,5.259,2.295
"274","-0.8",1,5.355,2.775
"275","-1",1,5.427,3.135
"276","-1.2",1,5.573,3.865
"277","-1.4",1,5.616,4.08
"278","-1.6",1,5.739,4.695
"279","-1.8",1,5.82,5.1
"280","-2",1,5.856,5.28
"281","-0.2",1,5.12,1.6
"282","-0.4",1,5.178,1.89
"283","-0.6",1,5.239,2.195
"284","-0.8",1,5.305,2.525
"285","-1",1,5.385,2.925
"286","-1.2",1,5.429,3.145
"287","-1.4",1,5.496,3.48
"288","-1.6",1,5.579,3.895
"289","-1.8",1,5.648,4.24
"290","-2",1,5.658,4.29
"291","-0.2",1,5.048,1.24
"292","-0.4",1,5.071,1.355
"293","-0.6",1,5.114,1.57
"294","-0.8",1,5.139,1.695
"295","-1",1,5.184,1.92
"296","-1.2",1,5.261,2.305
"297","-1.4",1,5.303,2.515
"298","-1.6",1,5.393,2.965
"299","-1.8",1,5.464,3.32
"300","-2",1,5.518,3.59
"301","-0.2",1,5.135,1.675
"302","-0.4",1,5.17,1.85
"303","-0.6",1,5.222,2.11
"304","-0.8",1,5.289,2.445
"305","-1",1,5.358,2.79
"306","-1.2",1,5.446,3.23
"307","-1.4",1,5.518,3.59
"308","-1.6",1,5.622,4.11
"309","-1.8",1,5.701,4.505
"310","-2",1,5.74,4.7
"311","-0.2",1,5.108,1.54
"312","-0.4",1,5.153,1.765
"313","-0.6",1,5.225,2.125
"314","-0.8",1,5.271,2.355
"315","-1",1,5.364,2.82
"316","-1.2",1,5.387,2.935
"317","-1.4",1,5.485,3.425
"318","-1.6",1,5.485,3.425
"319","-1.8",1,5.531,3.655
"320","-2",1,5.581,3.905
"321","-0.2",1,5.187,1.935
"322","-0.4",1,5.249,2.245
"323","-0.6",1,5.338,2.69
"324","-0.8",1,5.394,2.97
"325","-1",1,5.54,3.7
"326","-1.2",1,5.622,4.11
"327","-1.4",1,5.71,4.55
"328","-1.6",1,5.801,5.005
"329","-1.8",1,5.881,5.405
"330","-2",1,5.891,5.455
"331","-0.2",1,5.147,1.735
"332","-0.4",1,5.189,1.945
"333","-0.6",1,5.299,2.495
"334","-0.8",1,5.394,2.97
"335","-1",1,5.42,3.1
"336","-1.2",1,5.541,3.705
"337","-1.4",1,5.651,4.255
"338","-1.6",1,5.72,4.6
"339","-1.8",1,5.795,4.975
"340","-2",1,5.856,5.28
"341","-0.2",1,5.102,1.51
"342","-0.4",1,5.129,1.645
"343","-0.6",1,5.175,1.875
"344","-0.8",1,5.249,2.245
"345","-1",1,5.303,2.515
"346","-1.2",1,5.409,3.045
"347","-1.4",1,5.474,3.37
"348","-1.6",1,5.547,3.735
"349","-1.8",1,5.659,4.295
"350","-2",1,5.673,4.365
"351","-0.2",1,5.183,1.915
"352","-0.4",1,5.232,2.16
"353","-0.6",1,5.31,2.55
"354","-0.8",1,5.416,3.08
"355","-1",1,5.468,3.34
"356","-1.2",1,5.631,4.155
"357","-1.4",1,5.703,4.515
"358","-1.6",1,5.763,4.815
"359","-1.8",1,5.832,5.16
"360","-2",1,5.89,5.45
"361","-0.2",1,5.152,1.76
"362","-0.4",1,5.215,2.075
"363","-0.6",1,5.291,2.455
"364","-0.8",1,5.382,2.91
"365","-1",1,5.45,3.25
"366","-1.2",1,5.558,3.79
