"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,4.623,1.41
"2","0.6",1,4.771,1.90333333333333
"3","0.75",1,5.039,2.79666666666667
"4","0.84",1,5.232,3.44
"5","0.9",1,5.354,3.84666666666667
"6","0.94",2,5.619,4.73
"7","0.96",2,5.757,5.19
"8","0.97",2,5.83,5.43333333333333
"9","0.98",2,5.902,5.67333333333333
"10","0.99",2,5.937,5.79
"11","0.37",1,4.623,1.41
"12","0.6",1,4.821,2.07
"13","0.75",1,4.977,2.59
"14","0.84",1,5.177,3.25666666666667
"15","0.9",1,5.434,4.11333333333333
"16","0.94",2,5.581,4.60333333333333
"17","0.96",2,5.76,5.2
"18","0.97",2,5.844,5.48
"19","0.98",2,5.895,5.65
"20","0.99",2,5.939,5.79666666666667
"21","0.37",1,4.639,1.46333333333333
"22","0.6",1,4.776,1.92
"23","0.75",1,5.035,2.78333333333333
"24","0.84",1,5.21,3.36666666666667
"25","0.9",2,5.424,4.08
"26","0.94",2,5.624,4.74666666666667
"27","0.96",2,5.757,5.19
"28","0.97",2,5.819,5.39666666666667
"29","0.98",2,5.86,5.53333333333333
"30","0.99",2,5.915,5.71666666666667
"31","0.37",1,4.625,1.41666666666667
"32","0.6",1,4.768,1.89333333333333
"33","0.75",1,4.965,2.55
"34","0.84",1,5.212,3.37333333333333
"35","0.9",2,5.404,4.01333333333333
"36","0.94",2,5.586,4.62
"37","0.96",2,5.743,5.14333333333333
"38","0.97",2,5.853,5.51
"39","0.98",2,5.9,5.66666666666667
"40","0.99",2,5.915,5.71666666666667
"41","0.37",1,4.642,1.47333333333333
"42","0.6",1,4.778,1.92666666666667
"43","0.75",2,5.015,2.71666666666667
"44","0.84",2,5.219,3.39666666666667
"45","0.9",2,5.459,4.19666666666667
"46","0.94",2,5.608,4.69333333333333
"47","0.96",2,5.674,4.91333333333333
"48","0.97",2,5.866,5.55333333333333
"49","0.98",2,5.873,5.57666666666667
"50","0.99",2,5.927,5.75666666666667
"51","0.37",1,4.626,1.42
"52","0.6",1,4.805,2.01666666666667
"53","0.75",1,5.04,2.8
"54","0.84",1,5.211,3.37
"55","0.9",1,5.402,4.00666666666667
"56","0.94",2,5.631,4.77
"57","0.96",2,5.691,4.97
"58","0.97",2,5.85,5.5
"59","0.98",2,5.908,5.69333333333333
"60","0.99",2,5.914,5.71333333333333
"61","0.37",1,4.648,1.49333333333333
"62","0.6",1,4.811,2.03666666666667
"63","0.75",1,5.011,2.70333333333333
"64","0.84",1,5.195,3.31666666666667
"65","0.9",2,5.417,4.05666666666667
"66","0.94",2,5.631,4.77
"67","0.96",2,5.707,5.02333333333333
"68","0.97",2,5.842,5.47333333333333
"69","0.98",2,5.881,5.60333333333333
"70","0.99",2,5.901,5.67
"71","0.37",1,4.638,1.46
"72","0.6",1,4.831,2.10333333333333
"73","0.75",1,4.965,2.55
"74","0.84",2,5.205,3.35
"75","0.9",2,5.448,4.16
"76","0.94",2,5.608,4.69333333333333
"77","0.96",2,5.681,4.93666666666667
"78","0.97",2,5.851,5.50333333333333
"79","0.98",2,5.908,5.69333333333333
"80","0.99",2,5.943,5.81
"81","0.37",1,4.625,1.41666666666667
"82","0.6",1,4.8,2
"83","0.75",1,5.01,2.7
"84","0.84",1,5.199,3.33
"85","0.9",2,5.435,4.11666666666667
"86","0.94",2,5.553,4.51
"87","0.96",2,5.731,5.10333333333333
"88","0.97",2,5.85,5.5
"89","0.98",2,5.893,5.64333333333333
"90","0.99",2,5.947,5.82333333333333
"91","0.37",1,4.637,1.45666666666667
"92","0.6",1,4.761,1.87
"93","0.75",1,4.97,2.56666666666667
"94","0.84",2,5.256,3.52
"95","0.9",2,5.452,4.17333333333333
"96","0.94",2,5.64,4.8
"97","0.96",2,5.737,5.12333333333333
"98","0.97",2,5.825,5.41666666666667
"99","0.98",2,5.862,5.54
"100","0.99",2,5.902,5.67333333333333
"101","0.37",1,4.635,1.45
"102","0.6",1,4.803,2.01
"103","0.75",1,4.942,2.47333333333333
"104","0.84",2,5.24,3.46666666666667
"105","0.9",2,5.438,4.12666666666667
"106","0.94",2,5.586,4.62
"107","0.96",2,5.748,5.16
"108","0.97",2,5.843,5.47666666666667
"109","0.98",2,5.895,5.65
"110","0.99",2,5.946,5.82
"111","0.37",1,4.645,1.48333333333333
"112","0.6",1,4.776,1.92
"113","0.75",1,5.015,2.71666666666667
"114","0.84",1,5.204,3.34666666666667
"115","0.9",1,5.455,4.18333333333333
"116","0.94",2,5.576,4.58666666666667
"117","0.96",2,5.694,4.98
"118","0.97",2,5.842,5.47333333333333
"119","0.98",2,5.888,5.62666666666667
"120","0.99",2,5.925,5.75
"121","0.37",1,4.638,1.46
"122","0.6",1,4.787,1.95666666666667
"123","0.75",1,5.01,2.7
"124","0.84",1,5.266,3.55333333333333
"125","0.9",1,5.417,4.05666666666667
"126","0.94",2,5.622,4.74
"127","0.96",2,5.699,4.99666666666667
"128","0.97",2,5.848,5.49333333333333
"129","0.98",2,5.877,5.59
"130","0.99",2,5.928,5.76
"131","0.37",1,4.647,1.49
"132","0.6",1,4.802,2.00666666666667
"133","0.75",1,5.015,2.71666666666667
"134","0.84",1,5.193,3.31
"135","0.9",1,5.376,3.92
"136","0.94",1,5.564,4.54666666666667
"137","0.96",2,5.736,5.12
"138","0.97",2,5.812,5.37333333333333
"139","0.98",2,5.909,5.69666666666667
"140","0.99",2,5.932,5.77333333333333
"141","0.37",1,4.646,1.48666666666667
"142","0.6",1,4.847,2.15666666666667
"143","0.75",1,5,2.66666666666667
"144","0.84",2,5.237,3.45666666666667
"145","0.9",2,5.412,4.04
"146","0.94",2,5.595,4.65
"147","0.96",2,5.741,5.13666666666667
"148","0.97",2,5.869,5.56333333333333
"149","0.98",2,5.86,5.53333333333333
"150","0.99",2,5.923,5.74333333333333
"151","0.37",1,4.634,1.44666666666667
"152","0.6",1,4.794,1.98
"153","0.75",1,4.957,2.52333333333333
"154","0.84",1,5.237,3.45666666666667
"155","0.9",1,5.441,4.13666666666667
"156","0.94",2,5.589,4.63
"157","0.96",2,5.733,5.11
"158","0.97",2,5.824,5.41333333333333
"159","0.98",2,5.876,5.58666666666667
"160","0.99",2,5.93,5.76666666666667
"161","0.37",1,4.665,1.55
"162","0.6",1,4.82,2.06666666666667
"163","0.75",1,5.012,2.70666666666667
"164","0.84",1,5.178,3.26
"165","0.9",1,5.463,4.21
"166","0.94",2,5.595,4.65
"167","0.96",2,5.762,5.20666666666667
"168","0.97",2,5.82,5.4
"169","0.98",2,5.888,5.62666666666667
"170","0.99",2,5.902,5.67333333333333
"171","0.37",1,4.633,1.44333333333333
"172","0.6",1,4.791,1.97
"173","0.75",1,4.983,2.61
"174","0.84",1,5.218,3.39333333333333
"175","0.9",2,5.454,4.18
"176","0.94",2,5.639,4.79666666666667
"177","0.96",2,5.723,5.07666666666667
"178","0.97",2,5.832,5.44
"179","0.98",2,5.9,5.66666666666667
"180","0.99",2,5.932,5.77333333333333
"181","0.37",1,4.635,1.45
"182","0.6",1,4.764,1.88
"183","0.75",1,4.974,2.58
"184","0.84",1,5.264,3.54666666666667
"185","0.9",2,5.483,4.27666666666667
"186","0.94",2,5.59,4.63333333333333
"187","0.96",2,5.757,5.19
"188","0.97",2,5.807,5.35666666666667
"189","0.98",2,5.881,5.60333333333333
"190","0.99",2,5.943,5.81
"191","0.37",1,4.63,1.43333333333333
"192","0.6",1,4.795,1.98333333333333
"193","0.75",1,5.005,2.68333333333333
"194","0.84",1,5.247,3.49
"195","0.9",1,5.456,4.18666666666667
"196","0.94",2,5.636,4.78666666666667
"197","0.96",2,5.755,5.18333333333333
"198","0.97",2,5.859,5.53
"199","0.98",2,5.903,5.67666666666667
"200","0.99",2,5.932,5.77333333333333
"201","0.37",1,4.648,1.49333333333333
"202","0.6",1,4.777,1.92333333333333
"203","0.75",1,4.943,2.47666666666667
"204","0.84",1,5.252,3.50666666666667
"205","0.9",2,5.435,4.11666666666667
"206","0.94",2,5.609,4.69666666666667
"207","0.96",2,5.775,5.25
"208","0.97",2,5.847,5.49
"209","0.98",2,5.9,5.66666666666667
"210","0.99",2,5.921,5.73666666666667
"211","0.37",1,4.626,1.42
"212","0.6",1,4.794,1.98
"213","0.75",1,4.963,2.54333333333333
"214","0.84",2,5.205,3.35
"215","0.9",1,5.434,4.11333333333333
"216","0.94",2,5.566,4.55333333333333
"217","0.96",2,5.743,5.14333333333333
"218","0.97",2,5.81,5.36666666666667
"219","0.98",2,5.884,5.61333333333333
"220","0.99",2,5.934,5.78
"221","0.37",1,4.624,1.41333333333333
"222","0.6",1,4.798,1.99333333333333
"223","0.75",1,4.973,2.57666666666667
"224","0.84",1,5.196,3.32
"225","0.9",2,5.428,4.09333333333333
"226","0.94",2,5.601,4.67
"227","0.96",2,5.744,5.14666666666667
"228","0.97",2,5.853,5.51
"229","0.98",2,5.907,5.69
"230","0.99",2,5.94,5.8
"231","0.37",1,4.629,1.43
"232","0.6",1,4.81,2.03333333333333
"233","0.75",1,5.009,2.69666666666667
"234","0.84",1,5.243,3.47666666666667
"235","0.9",2,5.431,4.10333333333333
"236","0.94",2,5.603,4.67666666666667
"237","0.96",2,5.772,5.24
"238","0.97",2,5.846,5.48666666666667
"239","0.98",2,5.876,5.58666666666667
"240","0.99",2,5.918,5.72666666666667
"241","0.37",1,4.622,1.40666666666667
"242","0.6",1,4.798,1.99333333333333
"243","0.75",1,4.953,2.51
"244","0.84",1,5.247,3.49
"245","0.9",2,5.46,4.2
"246","0.94",2,5.64,4.8
"247","0.96",2,5.762,5.20666666666667
"248","0.97",2,5.788,5.29333333333333
"249","0.98",2,5.887,5.62333333333333
"250","0.99",2,5.949,5.83
"251","0.37",1,4.643,1.47666666666667
"252","0.6",1,4.817,2.05666666666667
"253","0.75",1,5.038,2.79333333333333
"254","0.84",1,5.203,3.34333333333333
"255","0.9",1,5.454,4.18
"256","0.94",2,5.589,4.63
"257","0.96",2,5.749,5.16333333333333
"258","0.97",2,5.832,5.44
"259","0.98",2,5.889,5.63
"260","0.99",2,5.91,5.7
"261","0.37",1,4.624,1.41333333333333
"262","0.6",1,4.815,2.05
"263","0.75",1,4.985,2.61666666666667
"264","0.84",1,5.19,3.3
"265","0.9",2,5.48,4.26666666666667
"266","0.94",2,5.58,4.6
"267","0.96",2,5.743,5.14333333333333
"268","0.97",2,5.804,5.34666666666667
"269","0.98",2,5.892,5.64
"270","0.99",2,5.918,5.72666666666667
"271","0.37",1,4.63,1.43333333333333
"272","0.6",1,4.832,2.10666666666667
