"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,4.35,1.875
"2","-0.4",2,4.512,2.28
"3","-0.6",2,4.671,2.6775
"4","-0.8",2,4.898,3.245
"5","-1",2,5.163,3.9075
"6","-1.2",2,5.269,4.1725
"7","-1.4",2,5.502,4.755
"8","-1.6",2,5.627,5.0675
"9","-1.8",2,5.75,5.375
"10","-2",2,5.823,5.5575
"11","-0.2",2,4.461,2.1525
"12","-0.4",2,4.572,2.43
"13","-0.6",2,4.816,3.04
"14","-0.8",2,4.994,3.485
"15","-1",2,5.187,3.9675
"16","-1.2",2,5.318,4.295
"17","-1.4",2,5.601,5.0025
"18","-1.6",2,5.699,5.2475
"19","-1.8",2,5.795,5.4875
"20","-2",2,5.862,5.655
"21","-0.2",2,4.347,1.8675
"22","-0.4",2,4.464,2.16
"23","-0.6",2,4.617,2.5425
"24","-0.8",2,4.758,2.895
"25","-1",2,5.078,3.695
"26","-1.2",2,5.25,4.125
"27","-1.4",2,5.369,4.4225
"28","-1.6",2,5.573,4.9325
"29","-1.8",2,5.69,5.225
"30","-2",2,5.783,5.4575
"31","-0.2",2,4.397,1.9925
"32","-0.4",2,4.512,2.28
"33","-0.6",2,4.746,2.865
"34","-0.8",2,4.868,3.17
"35","-1",2,5.077,3.6925
"36","-1.2",2,5.28,4.2
"37","-1.4",2,5.441,4.6025
"38","-1.6",2,5.568,4.92
"39","-1.8",2,5.75,5.375
"40","-2",2,5.811,5.5275
"41","-0.2",2,4.351,1.8775
"42","-0.4",2,4.536,2.34
"43","-0.6",2,4.661,2.6525
"44","-0.8",2,4.881,3.2025
"45","-1",2,5.048,3.62
"46","-1.2",2,5.293,4.2325
"47","-1.4",2,5.449,4.6225
"48","-1.6",2,5.548,4.87
"49","-1.8",2,5.704,5.26
"50","-2",2,5.777,5.4425
"51","-0.2",2,4.377,1.9425
"52","-0.4",2,4.481,2.2025
"53","-0.6",2,4.678,2.695
"54","-0.8",2,4.82,3.05
"55","-1",2,5.101,3.7525
"56","-1.2",2,5.278,4.195
"57","-1.4",2,5.49,4.725
"58","-1.6",2,5.662,5.155
"59","-1.8",2,5.716,5.29
"60","-2",2,5.829,5.5725
"61","-0.2",2,4.41,2.025
"62","-0.4",2,4.549,2.3725
"63","-0.6",2,4.756,2.89
"64","-0.8",2,4.955,3.3875
"65","-1",2,5.158,3.895
"66","-1.2",2,5.351,4.3775
"67","-1.4",2,5.44,4.6
"68","-1.6",2,5.618,5.045
"69","-1.8",2,5.764,5.41
"70","-2",2,5.811,5.5275
"71","-0.2",2,4.423,2.0575
"72","-0.4",2,4.569,2.4225
"73","-0.6",2,4.839,3.0975
"74","-0.8",2,4.931,3.3275
"75","-1",2,5.228,4.07
"76","-1.2",2,5.352,4.38
"77","-1.4",2,5.629,5.0725
"78","-1.6",2,5.726,5.315
"79","-1.8",2,5.813,5.5325
"80","-2",2,5.889,5.7225
