"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,4.332,1.83
"2","-0.4",2,4.502,2.255
"3","-0.6",2,4.703,2.7575
"4","-0.8",2,4.852,3.13
"5","-1",2,5.005,3.5125
"6","-1.2",2,5.257,4.1425
"7","-1.4",2,5.43,4.575
"8","-1.6",2,5.564,4.91
"9","-1.8",2,5.715,5.2875
"10","-2",2,5.784,5.46
"11","-0.2",2,4.378,1.945
"12","-0.4",2,4.453,2.1325
"13","-0.6",2,4.67,2.675
"14","-0.8",2,4.778,2.945
"15","-1",2,5.02,3.55
"16","-1.2",2,5.17,3.925
"17","-1.4",2,5.34,4.35
"18","-1.6",2,5.462,4.655
"19","-1.8",2,5.601,5.0025
"20","-2",2,5.728,5.32
"21","-0.2",2,4.333,1.8325
"22","-0.4",2,4.438,2.095
"23","-0.6",2,4.548,2.37
"24","-0.8",2,4.749,2.8725
"25","-1",2,4.931,3.3275
"26","-1.2",2,5.139,3.8475
"27","-1.4",2,5.369,4.4225
"28","-1.6",2,5.48,4.7
"29","-1.8",2,5.596,4.99
"30","-2",2,5.691,5.2275
"31","-0.2",2,4.27,1.675
"32","-0.4",2,4.385,1.9625
"33","-0.6",2,4.493,2.2325
"34","-0.8",2,4.635,2.5875
"35","-1",2,4.83,3.075
"36","-1.2",2,4.958,3.395
"37","-1.4",2,5.123,3.8075
"38","-1.6",2,5.259,4.1475
"39","-1.8",2,5.391,4.4775
"40","-2",2,5.468,4.67
"41","-0.2",2,4.323,1.8075
"42","-0.4",2,4.379,1.9475
"43","-0.6",2,4.504,2.26
"44","-0.8",2,4.685,2.7125
"45","-1",2,4.924,3.31
"46","-1.2",2,5.056,3.64
"47","-1.4",2,5.202,4.005
"48","-1.6",2,5.362,4.405
"49","-1.8",2,5.511,4.7775
"50","-2",2,5.645,5.1125
"51","-0.2",2,4.42,2.05
"52","-0.4",2,4.586,2.465
"53","-0.6",2,4.692,2.73
"54","-0.8",2,4.985,3.4625
"55","-1",2,5.155,3.8875
"56","-1.2",2,5.373,4.4325
"57","-1.4",2,5.581,4.9525
"58","-1.6",2,5.711,5.2775
"59","-1.8",2,5.795,5.4875
"60","-2",2,5.838,5.595
"61","-0.2",2,4.345,1.8625
"62","-0.4",2,4.471,2.1775
"63","-0.6",2,4.65,2.625
"64","-0.8",2,4.824,3.06
"65","-1",2,5.039,3.5975
"66","-1.2",2,5.243,4.1075
"67","-1.4",2,5.45,4.625
"68","-1.6",2,5.561,4.9025
"69","-1.8",2,5.734,5.335
"70","-2",2,5.808,5.52
"71","-0.2",2,4.324,1.81
"72","-0.4",2,4.426,2.065
"73","-0.6",2,4.594,2.485
"74","-0.8",2,4.813,3.0325
"75","-1",2,5.023,3.5575
"76","-1.2",2,5.212,4.03
"77","-1.4",2,5.418,4.545
"78","-1.6",2,5.551,4.8775
"79","-1.8",2,5.667,5.1675
"80","-2",2,5.772,5.43
"81","-0.2",2,4.383,1.9575
"82","-0.4",2,4.51,2.275
"83","-0.6",2,4.631,2.5775
"84","-0.8",2,4.893,3.2325
"85","-1",2,5.091,3.7275
"86","-1.2",2,5.19,3.975
"87","-1.4",2,5.445,4.6125
"88","-1.6",2,5.546,4.865
"89","-1.8",2,5.642,5.105
"90","-2",2,5.733,5.3325
"91","-0.2",2,4.311,1.7775
"92","-0.4",2,4.403,2.0075
"93","-0.6",2,4.534,2.335
"94","-0.8",2,4.657,2.6425
"95","-1",2,4.85,3.125
"96","-1.2",2,5.084,3.71
"97","-1.4",2,5.267,4.1675
"98","-1.6",2,5.393,4.4825
"99","-1.8",2,5.643,5.1075
"100","-2",2,5.74,5.35
"101","-0.2",2,4.371,1.9275
"102","-0.4",2,4.516,2.29
"103","-0.6",2,4.692,2.73
"104","-0.8",2,4.865,3.1625
"105","-1",2,5.124,3.81
"106","-1.2",2,5.278,4.195
"107","-1.4",2,5.508,4.77
"108","-1.6",2,5.672,5.18
"109","-1.8",2,5.759,5.3975
"110","-2",2,5.871,5.6775
"111","-0.2",2,4.344,1.86
"112","-0.4",2,4.571,2.4275
"113","-0.6",2,4.783,2.9575
"114","-0.8",2,4.993,3.4825
"115","-1",2,5.274,4.185
"116","-1.2",2,5.354,4.385
"117","-1.4",2,5.597,4.9925
"118","-1.6",2,5.691,5.2275
"119","-1.8",2,5.803,5.5075
"120","-2",2,5.868,5.67
"121","-0.2",2,4.325,1.8125
"122","-0.4",2,4.45,2.125
"123","-0.6",2,4.614,2.535
"124","-0.8",2,4.765,2.9125
"125","-1",2,4.914,3.285
"126","-1.2",2,5.089,3.7225
"127","-1.4",2,5.319,4.2975
"128","-1.6",2,5.481,4.7025
"129","-1.8",2,5.618,5.045
"130","-2",2,5.745,5.3625
"131","-0.2",2,4.353,1.8825
"132","-0.4",2,4.575,2.4375
"133","-0.6",2,4.691,2.7275
"134","-0.8",2,4.892,3.23
"135","-1",2,5.135,3.8375
"136","-1.2",2,5.285,4.2125
"137","-1.4",2,5.503,4.7575
"138","-1.6",2,5.591,4.9775
"139","-1.8",2,5.75,5.375
"140","-2",2,5.872,5.68
"141","-0.2",2,4.398,1.995
"142","-0.4",2,4.532,2.33
"143","-0.6",2,4.737,2.8425
"144","-0.8",2,4.954,3.385
"145","-1",2,5.165,3.9125
"146","-1.2",2,5.387,4.4675
"147","-1.4",2,5.613,5.0325
"148","-1.6",2,5.652,5.13
"149","-1.8",2,5.799,5.4975
"150","-2",2,5.844,5.61
"151","-0.2",2,4.381,1.9525
"152","-0.4",2,4.499,2.2475
"153","-0.6",2,4.677,2.6925
"154","-0.8",2,4.919,3.2975
"155","-1",2,5.105,3.7625
"156","-1.2",2,5.295,4.2375
"157","-1.4",2,5.427,4.5675
"158","-1.6",2,5.663,5.1575
"159","-1.8",2,5.762,5.405
"160","-2",2,5.838,5.595
"161","-0.2",2,4.287,1.7175
"162","-0.4",2,4.442,2.105
"163","-0.6",2,4.583,2.4575
"164","-0.8",2,4.798,2.995
"165","-1",2,4.986,3.465
"166","-1.2",2,5.152,3.88
"167","-1.4",2,5.269,4.1725
"168","-1.6",2,5.456,4.64
"169","-1.8",2,5.587,4.9675
"170","-2",2,5.722,5.305
"171","-0.2",2,4.356,1.89
"172","-0.4",2,4.525,2.3125
"173","-0.6",2,4.598,2.495
"174","-0.8",2,4.84,3.1
"175","-1",2,4.992,3.48
"176","-1.2",2,5.177,3.9425
"177","-1.4",2,5.332,4.33
"178","-1.6",2,5.488,4.72
"179","-1.8",2,5.612,5.03
"180","-2",2,5.692,5.23
"181","-0.2",2,4.368,1.92
"182","-0.4",2,4.498,2.245
"183","-0.6",2,4.674,2.685
"184","-0.8",2,4.941,3.3525
"185","-1",2,5.062,3.655
"186","-1.2",2,5.264,4.16
"187","-1.4",2,5.404,4.51
"188","-1.6",2,5.54,4.85
"189","-1.8",2,5.646,5.115
"190","-2",2,5.73,5.325
"191","-0.2",2,4.325,1.8125
"192","-0.4",2,4.455,2.1375
"193","-0.6",2,4.638,2.595
"194","-0.8",2,4.788,2.97
"195","-1",2,4.985,3.4625
"196","-1.2",2,5.17,3.925
"197","-1.4",2,5.366,4.415
"198","-1.6",2,5.537,4.8425
"199","-1.8",2,5.661,5.1525
"200","-2",2,5.751,5.3775
"201","-0.2",2,4.282,1.705
"202","-0.4",2,4.441,2.1025
"203","-0.6",2,4.592,2.48
"204","-0.8",2,4.696,2.74
"205","-1",2,4.939,3.3475
"206","-1.2",2,4.979,3.4475
"207","-1.4",2,5.109,3.7725
"208","-1.6",2,5.239,4.0975
"209","-1.8",2,5.393,4.4825
"210","-2",2,5.498,4.745
"211","-0.2",2,4.288,1.72
"212","-0.4",2,4.39,1.975
"213","-0.6",2,4.53,2.325
"214","-0.8",2,4.67,2.675
"215","-1",2,4.802,3.005
"216","-1.2",2,4.961,3.4025
"217","-1.4",2,5.126,3.815
"218","-1.6",2,5.225,4.0625
"219","-1.8",2,5.372,4.43
"220","-2",2,5.485,4.7125
"221","-0.2",2,4.406,2.015
"222","-0.4",2,4.492,2.23
"223","-0.6",2,4.702,2.755
"224","-0.8",2,4.823,3.0575
"225","-1",2,5.042,3.605
"226","-1.2",2,5.231,4.0775
"227","-1.4",2,5.365,4.4125
"228","-1.6",2,5.586,4.965
"229","-1.8",2,5.674,5.185
"230","-2",2,5.766,5.415
"231","-0.2",2,4.342,1.855
"232","-0.4",2,4.55,2.375
"233","-0.6",2,4.775,2.9375
"234","-0.8",2,4.96,3.4
"235","-1",2,5.177,3.9425
"236","-1.2",2,5.38,4.45
"237","-1.4",2,5.511,4.7775
"238","-1.6",2,5.678,5.195
"239","-1.8",2,5.822,5.555
"240","-2",2,5.835,5.5875
"241","-0.2",2,4.353,1.8825
"242","-0.4",2,4.473,2.1825
"243","-0.6",2,4.642,2.605
"244","-0.8",2,4.811,3.0275
"245","-1",2,4.942,3.355
"246","-1.2",2,5.071,3.6775
"247","-1.4",2,5.248,4.12
"248","-1.6",2,5.413,4.5325
"249","-1.8",2,5.467,4.6675
"250","-2",2,5.592,4.98
"251","-0.2",2,4.381,1.9525
"252","-0.4",2,4.529,2.3225
"253","-0.6",2,4.7,2.75
"254","-0.8",2,4.944,3.36
"255","-1",2,5.152,3.88
"256","-1.2",2,5.377,4.4425
"257","-1.4",2,5.572,4.93
"258","-1.6",2,5.733,5.3325
"259","-1.8",2,5.726,5.315
"260","-2",2,5.835,5.5875
"261","-0.2",2,4.349,1.8725
"262","-0.4",2,4.483,2.2075
"263","-0.6",2,4.699,2.7475
"264","-0.8",2,4.858,3.145
"265","-1",2,5.054,3.635
"266","-1.2",2,5.294,4.235
"267","-1.4",2,5.485,4.7125
"268","-1.6",2,5.625,5.0625
