"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,5.171,1.855
"2","-0.4",1,5.278,2.39
"3","-0.6",1,5.323,2.615
"4","-0.8",1,5.474,3.37
"5","-1",1,5.519,3.595
"6","-1.2",1,5.579,3.895
"7","-1.4",1,5.729,4.645
"8","-1.6",1,5.799,4.995
"9","-1.8",1,5.848,5.24
"10","-2",1,5.857,5.285
"11","-0.2",0,5.198,1.99
"12","-0.4",0,5.274,2.37
"13","-0.6",1,5.311,2.555
"14","-0.8",1,5.468,3.34
"15","-1",1,5.544,3.72
"16","-1.2",1,5.639,4.195
"17","-1.4",1,5.739,4.695
"18","-1.6",1,5.791,4.955
"19","-1.8",1,5.829,5.145
"20","-2",1,5.892,5.46
"21","-0.2",1,5.158,1.79
"22","-0.4",1,5.276,2.38
"23","-0.6",1,5.31,2.55
"24","-0.8",1,5.436,3.18
"25","-1",1,5.493,3.465
"26","-1.2",1,5.626,4.13
"27","-1.4",1,5.705,4.525
"28","-1.6",1,5.787,4.935
"29","-1.8",1,5.866,5.33
"30","-2",1,5.907,5.535
"31","-0.2",1,5.112,1.56
"32","-0.4",1,5.166,1.83
"33","-0.6",1,5.196,1.98
"34","-0.8",1,5.249,2.245
"35","-1",1,5.299,2.495
"36","-1.2",1,5.362,2.81
"37","-1.4",1,5.443,3.215
"38","-1.6",1,5.472,3.36
"39","-1.8",1,5.574,3.87
"40","-2",1,5.641,4.205
"41","-0.2",1,5.162,1.81
"42","-0.4",1,5.227,2.135
"43","-0.6",1,5.335,2.675
"44","-0.8",1,5.387,2.935
"45","-1",1,5.521,3.605
"46","-1.2",1,5.561,3.805
"47","-1.4",1,5.696,4.48
"48","-1.6",1,5.764,4.82
"49","-1.8",1,5.793,4.965
"50","-2",1,5.88,5.4
"51","-0.2",1,5.152,1.76
"52","-0.4",1,5.217,2.085
"53","-0.6",1,5.321,2.605
"54","-0.8",1,5.434,3.17
"55","-1",1,5.478,3.39
"56","-1.2",1,5.581,3.905
"57","-1.4",1,5.714,4.57
"58","-1.6",1,5.751,4.755
"59","-1.8",1,5.826,5.13
"60","-2",1,5.894,5.47
"61","-0.2",1,5.179,1.895
"62","-0.4",1,5.263,2.315
"63","-0.6",1,5.3,2.5
"64","-0.8",1,5.441,3.205
"65","-1",1,5.527,3.635
"66","-1.2",1,5.636,4.18
"67","-1.4",1,5.738,4.69
"68","-1.6",1,5.797,4.985
"69","-1.8",1,5.84,5.2
"70","-2",1,5.926,5.63
"71","-0.2",1,5.188,1.94
"72","-0.4",1,5.292,2.46
"73","-0.6",1,5.372,2.86
"74","-0.8",1,5.501,3.505
"75","-1",1,5.591,3.955
"76","-1.2",1,5.689,4.445
"77","-1.4",1,5.807,5.035
"78","-1.6",1,5.859,5.295
"79","-1.8",1,5.909,5.545
"80","-2",1,5.95,5.75
"81","-0.2",1,5.18,1.9
"82","-0.4",1,5.276,2.38
"83","-0.6",1,5.345,2.725
"84","-0.8",1,5.41,3.05
"85","-1",1,5.557,3.785
"86","-1.2",1,5.615,4.075
"87","-1.4",1,5.694,4.47
"88","-1.6",1,5.734,4.67
"89","-1.8",1,5.809,5.045
"90","-2",1,5.836,5.18
"91","-0.2",1,5.114,1.57
"92","-0.4",1,5.159,1.795
"93","-0.6",1,5.213,2.065
"94","-0.8",1,5.285,2.425
"95","-1",1,5.346,2.73
"96","-1.2",1,5.417,3.085
"97","-1.4",1,5.531,3.655
"98","-1.6",1,5.589,3.945
"99","-1.8",1,5.657,4.285
"100","-2",1,5.719,4.595
"101","-0.2",1,5.182,1.91
