"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,5.17,1.85
"2","-0.4",1,5.271,2.355
"3","-0.6",1,5.323,2.615
"4","-0.8",1,5.462,3.31
"5","-1",1,5.56,3.8
"6","-1.2",1,5.647,4.235
"7","-1.4",1,5.787,4.935
"8","-1.6",1,5.779,4.895
"9","-1.8",1,5.863,5.315
"10","-2",1,5.872,5.36
"11","-0.2",0,5.191,1.955
"12","-0.4",1,5.256,2.28
"13","-0.6",1,5.33,2.65
"14","-0.8",1,5.441,3.205
"15","-1",1,5.577,3.885
"16","-1.2",1,5.648,4.24
"17","-1.4",1,5.753,4.765
"18","-1.6",1,5.816,5.08
"19","-1.8",1,5.869,5.345
"20","-2",1,5.906,5.53
"21","-0.2",1,5.182,1.91
"22","-0.4",1,5.266,2.33
"23","-0.6",1,5.367,2.835
"24","-0.8",1,5.467,3.335
"25","-1",1,5.561,3.805
"26","-1.2",1,5.652,4.26
"27","-1.4",1,5.785,4.925
"28","-1.6",1,5.848,5.24
"29","-1.8",1,5.897,5.485
"30","-2",1,5.935,5.675
"31","-0.2",1,5.192,1.96
"32","-0.4",1,5.276,2.38
"33","-0.6",1,5.38,2.9
"34","-0.8",1,5.494,3.47
"35","-1",1,5.577,3.885
"36","-1.2",1,5.682,4.41
"37","-1.4",1,5.779,4.895
"38","-1.6",1,5.835,5.175
"39","-1.8",1,5.884,5.42
"40","-2",1,5.928,5.64
"41","-0.2",1,5.16,1.8
"42","-0.4",1,5.221,2.105
"43","-0.6",1,5.326,2.63
"44","-0.8",1,5.4,3
"45","-1",1,5.509,3.545
"46","-1.2",1,5.624,4.12
"47","-1.4",1,5.672,4.36
"48","-1.6",1,5.789,4.945
"49","-1.8",1,5.886,5.43
"50","-2",1,5.899,5.495
"51","-0.2",1,5.162,1.81
"52","-0.4",1,5.274,2.37
"53","-0.6",1,5.32,2.6
"54","-0.8",1,5.478,3.39
"55","-1",1,5.574,3.87
"56","-1.2",1,5.642,4.21
"57","-1.4",1,5.727,4.635
"58","-1.6",1,5.817,5.085
"59","-1.8",1,5.857,5.285
"60","-2",1,5.873,5.365
"61","-0.2",1,5.21,2.05
"62","-0.4",1,5.277,2.385
"63","-0.6",1,5.356,2.78
"64","-0.8",1,5.477,3.385
"65","-1",1,5.578,3.89
"66","-1.2",1,5.67,4.35
"67","-1.4",1,5.795,4.975
"68","-1.6",1,5.813,5.065
"69","-1.8",1,5.893,5.465
"70","-2",1,5.95,5.75
"71","-0.2",1,5.196,1.98
"72","-0.4",1,5.283,2.415
"73","-0.6",1,5.39,2.95
"74","-0.8",1,5.472,3.36
"75","-1",1,5.564,3.82
"76","-1.2",1,5.695,4.475
"77","-1.4",1,5.747,4.735
"78","-1.6",1,5.837,5.185
"79","-1.8",1,5.888,5.44
"80","-2",1,5.929,5.645
"81","-0.2",0,5.164,1.82
"82","-0.4",1,5.266,2.33
"83","-0.6",1,5.343,2.715
"84","-0.8",1,5.451,3.255
"85","-1",1,5.528,3.64
"86","-1.2",1,5.614,4.07
"87","-1.4",1,5.682,4.41
"88","-1.6",1,5.794,4.97
"89","-1.8",1,5.802,5.01
"90","-2",1,5.893,5.465
"91","-0.2",1,5.166,1.83
"92","-0.4",1,5.24,2.2
"93","-0.6",1,5.334,2.67
"94","-0.8",1,5.466,3.33
"95","-1",1,5.557,3.785
"96","-1.2",1,5.607,4.035
"97","-1.4",1,5.735,4.675
"98","-1.6",1,5.824,5.12
"99","-1.8",1,5.875,5.375
"100","-2",1,5.945,5.725
"101","-0.2",1,5.2,2
"102","-0.4",1,5.238,2.19
"103","-0.6",1,5.354,2.77
"104","-0.8",1,5.459,3.295
"105","-1",1,5.563,3.815
"106","-1.2",1,5.67,4.35
"107","-1.4",1,5.746,4.73
"108","-1.6",1,5.841,5.205
"109","-1.8",1,5.886,5.43
"110","-2",1,5.935,5.675
"111","-0.2",1,5.223,2.115
"112","-0.4",1,5.245,2.225
"113","-0.6",1,5.357,2.785
"114","-0.8",1,5.49,3.45
"115","-1",1,5.55,3.75
"116","-1.2",1,5.62,4.1
"117","-1.4",1,5.811,5.055
"118","-1.6",1,5.806,5.03
"119","-1.8",1,5.854,5.27
"120","-2",1,5.927,5.635
"121","-0.2",1,5.185,1.925
"122","-0.4",1,5.248,2.24
"123","-0.6",1,5.377,2.885
"124","-0.8",1,5.432,3.16
"125","-1",1,5.62,4.1
"126","-1.2",1,5.666,4.33
"127","-1.4",1,5.746,4.73
"128","-1.6",1,5.792,4.96
"129","-1.8",1,5.877,5.385
"130","-2",1,5.936,5.68
"131","-0.2",1,5.178,1.89
"132","-0.4",1,5.264,2.32
"133","-0.6",1,5.357,2.785
"134","-0.8",1,5.449,3.245
"135","-1",1,5.518,3.59
"136","-1.2",1,5.684,4.42
"137","-1.4",1,5.791,4.955
"138","-1.6",1,5.814,5.07
"139","-1.8",1,5.872,5.36
"140","-2",1,5.938,5.69
"141","-0.2",1,5.178,1.89
"142","-0.4",1,5.24,2.2
"143","-0.6",1,5.419,3.095
"144","-0.8",1,5.424,3.12
"145","-1",1,5.566,3.83
"146","-1.2",1,5.689,4.445
"147","-1.4",1,5.773,4.865
"148","-1.6",1,5.843,5.215
"149","-1.8",1,5.887,5.435
"150","-2",1,5.943,5.715
"151","-0.2",1,5.194,1.97
"152","-0.4",1,5.267,2.335
"153","-0.6",1,5.334,2.67
"154","-0.8",1,5.427,3.135
"155","-1",1,5.547,3.735
"156","-1.2",1,5.636,4.18
"157","-1.4",1,5.696,4.48
"158","-1.6",1,5.811,5.055
"159","-1.8",1,5.863,5.315
"160","-2",1,5.903,5.515
"161","-0.2",1,5.146,1.73
"162","-0.4",1,5.202,2.01
"163","-0.6",1,5.245,2.225
"164","-0.8",1,5.289,2.445
"165","-1",1,5.383,2.915
"166","-1.2",1,5.456,3.28
"167","-1.4",1,5.556,3.78
"168","-1.6",1,5.64,4.2
"169","-1.8",1,5.762,4.81
"170","-2",1,5.824,5.12
"171","-0.2",1,5.176,1.88
"172","-0.4",1,5.262,2.31
"173","-0.6",1,5.371,2.855
"174","-0.8",1,5.457,3.285
"175","-1",1,5.541,3.705
"176","-1.2",1,5.653,4.265
"177","-1.4",1,5.764,4.82
"178","-1.6",1,5.791,4.955
"179","-1.8",1,5.888,5.44
"180","-2",1,5.915,5.575
"181","-0.2",1,5.168,1.84
"182","-0.4",1,5.205,2.025
"183","-0.6",1,5.311,2.555
"184","-0.8",1,5.436,3.18
"185","-1",1,5.546,3.73
"186","-1.2",1,5.68,4.4
"187","-1.4",1,5.719,4.595
"188","-1.6",1,5.808,5.04
"189","-1.8",1,5.861,5.305
"190","-2",1,5.903,5.515
"191","-0.2",1,5.153,1.765
"192","-0.4",1,5.258,2.29
"193","-0.6",1,5.32,2.6
"194","-0.8",1,5.363,2.815
"195","-1",1,5.522,3.61
"196","-1.2",1,5.605,4.025
"197","-1.4",1,5.668,4.34
"198","-1.6",1,5.772,4.86
"199","-1.8",1,5.835,5.175
"200","-2",1,5.882,5.41
"201","-0.2",1,5.19,1.95
"202","-0.4",1,5.293,2.465
"203","-0.6",1,5.341,2.705
"204","-0.8",1,5.468,3.34
"205","-1",1,5.607,4.035
"206","-1.2",1,5.7,4.5
"207","-1.4",1,5.82,5.1
