"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.813,1.765
"2","-0.4",2,2.059,2.2
"3","-0.6",2,2.44,2.655
"4","-0.8",2,2.838,3.025
"5","-1",2,3.28,3.705
"6","-1.2",2,3.602,4.195
"7","-1.4",1,4.12,4.75
"8","-1.6",1,4.512,5.05
"9","-1.8",1,4.865,5.485
"10","-2",1,5.133,5.565
"11","-0.2",1,1.869,1.71
"12","-0.4",1,2.234,2.105
"13","-0.6",1,2.556,2.23
"14","-0.8",1,3.019,3.03
"15","-1",1,3.484,3.315
"16","-1.2",1,3.834,3.535
"17","-1.4",1,4.08,3.86
"18","-1.6",1,4.355,4.08
"19","-1.8",1,4.607,4.56
"20","-2",1,4.707,4.635
"21","-0.2",2,1.801,1.745
"22","-0.4",2,2.053,1.925
"23","-0.6",2,2.387,2.195
"24","-0.8",2,2.747,2.71
"25","-1",2,3.153,3.065
"26","-1.2",2,3.495,3.59
"27","-1.4",2,3.795,3.72
"28","-1.6",2,4.185,4.38
"29","-1.8",1,4.447,4.7
"30","-2",1,4.764,5.05
"31","-0.2",2,1.852,1.81
"32","-0.4",2,2.229,2.26
"33","-0.6",1,2.62,2.635
"34","-0.8",1,3.033,3.075
"35","-1",1,3.557,3.67
"36","-1.2",1,4.05,4.27
"37","-1.4",1,4.422,4.475
"38","-1.6",1,4.822,4.8
"39","-1.8",1,5.117,5.08
"40","-2",1,5.362,5.38
"41","-0.2",1,1.869,1.605
"42","-0.4",1,2.19,1.865
"43","-0.6",1,2.677,2.28
"44","-0.8",1,3.155,2.505
"45","-1",1,3.621,2.88
"46","-1.2",1,3.965,3.165
"47","-1.4",1,4.403,3.59
"48","-1.6",1,4.801,4.02
"49","-1.8",1,5.063,4.305
"50","-2",1,5.281,4.62
"51","-0.2",2,1.837,1.995
"52","-0.4",2,2.135,2.355
"53","-0.6",2,2.435,2.78
"54","-0.8",2,2.834,3.115
"55","-1",2,3.246,3.7
"56","-1.2",2,3.613,4.155
"57","-1.4",2,4.065,4.84
"58","-1.6",2,4.407,5.23
"59","-1.8",1,4.694,5.6
"60","-2",1,4.928,5.6
"61","-0.2",2,1.785,1.86
"62","-0.4",1,2.057,2.17
"63","-0.6",1,2.297,2.37
"64","-0.8",1,2.737,2.865
"65","-1",1,3.127,3.115
"66","-1.2",1,3.486,3.595
"67","-1.4",1,3.767,3.835
"68","-1.6",1,4.161,4.185
"69","-1.8",1,4.426,4.61
"70","-2",1,4.654,4.8
"71","-0.2",2,1.685,1.66
"72","-0.4",2,1.881,1.83
"73","-0.6",1,2.216,1.98
"74","-0.8",2,2.594,2.79
"75","-1",1,2.977,3.08
"76","-1.2",1,3.323,3.62
"77","-1.4",1,3.773,4.015
"78","-1.6",1,4.249,4.355
"79","-1.8",1,4.58,4.995
"80","-2",1,4.865,5.27
"81","-0.2",2,1.617,1.745
"82","-0.4",2,1.91,2.395
"83","-0.6",2,2.16,2.555
"84","-0.8",2,2.642,3.08
"85","-1",2,2.946,3.36
