"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,1.461,1.41
"2","0.6",2,1.99,1.98666666666667
"3","0.75",2,2.685,2.63666666666667
"4","0.84",2,3.506,3.61333333333333
"5","0.9",2,4.164,4.17
"6","0.94",2,4.655,4.63666666666667
"7","0.96",2,5.177,5.17666666666667
"8","0.97",2,5.347,5.33666666666667
"9","0.98",2,5.646,5.69333333333333
"10","0.99",2,5.777,5.73
"11","0.37",2,1.446,1.46666666666667
"12","0.6",1,2.001,2.06
"13","0.75",2,2.579,2.57333333333333
"14","0.84",2,3.446,3.46333333333333
"15","0.9",2,4.116,3.94666666666667
"16","0.94",2,4.731,4.79666666666667
"17","0.96",2,5.153,5.13
"18","0.97",2,5.469,5.51333333333333
"19","0.98",2,5.589,5.65333333333333
"20","0.99",2,5.766,5.73666666666667
"21","0.37",2,1.443,1.44333333333333
"22","0.6",2,2.022,2.01666666666667
"23","0.75",2,2.76,2.81
"24","0.84",2,3.456,3.48666666666667
"25","0.9",2,4.182,4.27333333333333
"26","0.94",2,4.735,4.80333333333333
"27","0.96",2,5.121,5.20333333333333
"28","0.97",2,5.412,5.46666666666667
"29","0.98",2,5.589,5.67333333333333
"30","0.99",2,5.779,5.79666666666667
"31","0.37",2,1.439,1.40666666666667
"32","0.6",2,2.052,2.02666666666667
"33","0.75",2,2.65,2.65333333333333
"34","0.84",2,3.386,3.32666666666667
"35","0.9",2,4.144,4.18333333333333
"36","0.94",2,4.638,4.64
"37","0.96",2,5.136,5.07666666666667
"38","0.97",2,5.395,5.43333333333333
"39","0.98",2,5.631,5.51333333333333
"40","0.99",2,5.734,5.74333333333333
"41","0.37",2,1.449,1.44666666666667
"42","0.6",3,1.995,2.00666666666667
"43","0.75",2,2.682,2.79666666666667
"44","0.84",2,3.373,3.42
"45","0.9",2,4.098,4.07
"46","0.94",2,4.618,4.61
"47","0.96",2,5.049,5.11333333333333
"48","0.97",2,5.461,5.50666666666667
"49","0.98",2,5.69,5.76666666666667
"50","0.99",2,5.74,5.66
"51","0.37",2,1.462,1.45666666666667
"52","0.6",1,1.966,2.00333333333333
"53","0.75",2,2.63,2.46333333333333
"54","0.84",2,3.308,3.46
"55","0.9",2,4.205,4.21333333333333
"56","0.94",2,4.723,4.72
"57","0.96",2,5.156,4.99333333333333
"58","0.97",2,5.334,5.36333333333333
"59","0.98",2,5.544,5.53
"60","0.99",2,5.727,5.68333333333333
"61","0.37",2,1.437,1.42
"62","0.6",2,2.017,1.97
"63","0.75",2,2.741,2.7
"64","0.84",2,3.383,3.42333333333333
"65","0.9",2,4.102,4.10333333333333
"66","0.94",2,4.676,4.73666666666667
"67","0.96",2,5.088,4.98333333333333
"68","0.97",2,5.428,5.43
"69","0.98",2,5.638,5.58666666666667
"70","0.99",2,5.72,5.66
"71","0.37",2,1.453,1.5
"72","0.6",2,2.025,1.92666666666667
"73","0.75",2,2.65,2.63
"74","0.84",2,3.413,3.33666666666667
"75","0.9",2,4.12,4.13
"76","0.94",2,4.655,4.62
"77","0.96",2,5.09,5.02333333333333
"78","0.97",2,5.484,5.43
"79","0.98",2,5.581,5.65333333333333
"80","0.99",2,5.748,5.73
"81","0.37",2,1.429,1.47
"82","0.6",2,1.957,1.92666666666667
"83","0.75",2,2.672,2.60666666666667
"84","0.84",2,3.371,3.43333333333333
"85","0.9",2,4.123,4.13333333333333
"86","0.94",2,4.747,4.57333333333333
"87","0.96",2,5.153,5.27333333333333
"88","0.97",2,5.409,5.36
"89","0.98",2,5.62,5.59
"90","0.99",2,5.739,5.76666666666667
"91","0.37",2,1.436,1.44666666666667
"92","0.6",2,1.986,1.98
"93","0.75",2,2.693,2.65333333333333
"94","0.84",2,3.422,3.39
"95","0.9",2,4.066,4.1
"96","0.94",2,4.728,4.81666666666667
"97","0.96",2,5.108,5.19
"98","0.97",2,5.456,5.5
"99","0.98",2,5.634,5.63
"100","0.99",2,5.8,5.75666666666667
"101","0.37",2,1.467,1.5
"102","0.6",2,2.003,1.95333333333333
"103","0.75",2,2.738,2.77333333333333
"104","0.84",2,3.388,3.45
"105","0.9",2,4.118,4.14666666666667
"106","0.94",2,4.707,4.67333333333333
"107","0.96",2,5.115,5
"108","0.97",2,5.396,5.34666666666667
"109","0.98",2,5.648,5.65333333333333
"110","0.99",2,5.768,5.8
"111","0.37",2,1.451,1.49333333333333
"112","0.6",2,1.953,1.89
"113","0.75",2,2.681,2.69666666666667
"114","0.84",2,3.354,3.19666666666667
"115","0.9",2,4.207,4.13333333333333
"116","0.94",2,4.806,4.94333333333333
"117","0.96",2,5.064,5.09333333333333
"118","0.97",2,5.391,5.42333333333333
"119","0.98",2,5.578,5.50333333333333
"120","0.99",2,5.782,5.76666666666667
"121","0.37",3,1.441,1.39666666666667
"122","0.6",2,1.962,1.93666666666667
"123","0.75",2,2.707,2.64666666666667
"124","0.84",2,3.369,3.51
"125","0.9",2,4.142,4.13333333333333
"126","0.94",2,4.72,4.77
"127","0.96",2,5.113,5.07666666666667
"128","0.97",2,5.349,5.36666666666667
"129","0.98",2,5.604,5.59
"130","0.99",2,5.767,5.8
"131","0.37",2,1.414,1.39333333333333
"132","0.6",2,1.97,1.98333333333333
"133","0.75",2,2.667,2.74333333333333
"134","0.84",2,3.369,3.38
"135","0.9",2,4.012,4.02666666666667
"136","0.94",2,4.69,4.69
"137","0.96",2,5.242,5.21333333333333
"138","0.97",2,5.393,5.25333333333333
"139","0.98",2,5.534,5.55666666666667
"140","0.99",2,5.767,5.80333333333333
"141","0.37",2,1.468,1.46
"142","0.6",2,1.988,2.10333333333333
"143","0.75",2,2.645,2.72666666666667
"144","0.84",2,3.411,3.51333333333333
"145","0.9",2,4.019,4.05666666666667
"146","0.94",2,4.729,4.79
"147","0.96",2,5.132,5.11
"148","0.97",2,5.438,5.43333333333333
"149","0.98",2,5.638,5.63333333333333
"150","0.99",2,5.738,5.7
"151","0.37",2,1.424,1.45
"152","0.6",2,1.969,2.07666666666667
"153","0.75",2,2.721,2.71333333333333
"154","0.84",2,3.378,3.31
"155","0.9",2,4.073,4.15333333333333
"156","0.94",2,4.678,4.79
"157","0.96",2,5.128,5.14
"158","0.97",2,5.397,5.38333333333333
"159","0.98",2,5.643,5.55333333333333
"160","0.99",2,5.766,5.78666666666667
"161","0.37",2,1.476,1.46666666666667
"162","0.6",2,2.017,1.96
"163","0.75",2,2.691,2.64666666666667
"164","0.84",2,3.394,3.49666666666667
"165","0.9",2,4.09,4.20333333333333
"166","0.94",2,4.67,4.53333333333333
"167","0.96",2,5.157,5.15333333333333
"168","0.97",2,5.452,5.48333333333333
"169","0.98",2,5.619,5.61
"170","0.99",2,5.742,5.77666666666667
"171","0.37",1,1.487,1.44
"172","0.6",2,1.992,1.98333333333333
"173","0.75",2,2.645,2.55
"174","0.84",2,3.496,3.44666666666667
"175","0.9",2,4.115,4.08333333333333
"176","0.94",2,4.717,4.62
"177","0.96",2,5.108,5.08333333333333
"178","0.97",2,5.429,5.34666666666667
"179","0.98",2,5.605,5.52666666666667
"180","0.99",2,5.795,5.80333333333333
"181","0.37",2,1.441,1.45666666666667
"182","0.6",2,2.004,1.99
"183","0.75",2,2.676,2.59333333333333
"184","0.84",2,3.414,3.4
"185","0.9",2,4.056,4.22
"186","0.94",2,4.768,4.77666666666667
"187","0.96",2,5.117,5.18
"188","0.97",2,5.481,5.51666666666667
"189","0.98",2,5.616,5.59333333333333
"190","0.99",2,5.781,5.72666666666667
"191","0.37",1,1.464,1.41666666666667
"192","0.6",2,2.019,2.02666666666667
"193","0.75",2,2.668,2.81333333333333
"194","0.84",2,3.43,3.39
"195","0.9",2,4.068,3.99
"196","0.94",2,4.649,4.71666666666667
"197","0.96",2,5.065,5.15333333333333
"198","0.97",2,5.499,5.51666666666667
"199","0.98",2,5.658,5.72666666666667
"200","0.99",2,5.758,5.76666666666667
"201","0.37",2,1.429,1.44
"202","0.6",2,2.028,2.12
"203","0.75",2,2.654,2.72333333333333
"204","0.84",2,3.367,3.39666666666667
"205","0.9",2,4.045,3.95666666666667
"206","0.94",2,4.741,4.76333333333333
"207","0.96",2,5.069,5.01
"208","0.97",2,5.411,5.45
"209","0.98",2,5.609,5.64333333333333
"210","0.99",2,5.759,5.75666666666667
"211","0.37",2,1.46,1.47
"212","0.6",2,1.976,1.99
"213","0.75",2,2.742,2.84
"214","0.84",2,3.416,3.42666666666667
"215","0.9",2,4.059,4.12666666666667
"216","0.94",2,4.64,4.67333333333333
"217","0.96",2,5.104,5.18666666666667
"218","0.97",2,5.461,5.51
"219","0.98",2,5.652,5.66333333333333
"220","0.99",2,5.731,5.72333333333333
"221","0.37",1,1.413,1.42
"222","0.6",2,1.978,1.92666666666667
"223","0.75",2,2.69,2.78333333333333
"224","0.84",2,3.347,3.33
"225","0.9",2,4.1,4.04
"226","0.94",2,4.675,4.69666666666667
"227","0.96",2,5.07,5.10333333333333
"228","0.97",2,5.421,5.47666666666667
"229","0.98",2,5.548,5.55
"230","0.99",2,5.734,5.77666666666667
"231","0.37",1,1.444,1.42666666666667
"232","0.6",1,1.943,1.94333333333333
"233","0.75",2,2.711,2.86
"234","0.84",2,3.329,3.35
"235","0.9",2,4.126,4.33
"236","0.94",2,4.688,4.62333333333333
"237","0.96",2,5.155,5.08666666666667
"238","0.97",2,5.378,5.48
"239","0.98",2,5.64,5.63
"240","0.99",2,5.741,5.70666666666667
"241","0.37",2,1.455,1.46333333333333
"242","0.6",2,1.957,1.92
"243","0.75",2,2.616,2.65
"244","0.84",2,3.36,3.30333333333333
"245","0.9",2,4.067,4.12
"246","0.94",2,4.752,4.78333333333333
"247","0.96",2,5.04,5.06666666666667
"248","0.97",2,5.414,5.32333333333333
"249","0.98",2,5.625,5.65333333333333
"250","0.99",2,5.739,5.73
"251","0.37",2,1.473,1.54666666666667
"252","0.6",2,2.006,1.95
"253","0.75",2,2.633,2.61333333333333
"254","0.84",2,3.461,3.58666666666667
"255","0.9",2,4.15,4.31
"256","0.94",2,4.699,4.68333333333333
"257","0.96",2,5.038,5.03
"258","0.97",2,5.452,5.36
"259","0.98",2,5.631,5.7
"260","0.99",2,5.731,5.73
"261","0.37",2,1.407,1.39
"262","0.6",2,2.018,1.98666666666667
"263","0.75",2,2.741,2.75
"264","0.84",2,3.399,3.51333333333333
"265","0.9",2,4.122,4.19
"266","0.94",2,4.766,4.85333333333333
"267","0.96",2,5.153,5.16
"268","0.97",2,5.435,5.42333333333333
"269","0.98",2,5.662,5.63666666666667
"270","0.99",2,5.756,5.75666666666667
"271","0.37",1,1.422,1.43
"272","0.6",1,2.003,1.95666666666667
"273","0.75",1,2.658,2.53333333333333
"274","0.84",1,3.393,3.39
"275","0.9",2,4.167,4.23333333333333
"276","0.94",2,4.688,4.68
"277","0.96",2,5.14,5.14333333333333
"278","0.97",2,5.389,5.29333333333333
"279","0.98",2,5.636,5.68333333333333
"280","0.99",2,5.753,5.68666666666667
"281","0.37",1,1.455,1.44333333333333
"282","0.6",1,2.012,2.02333333333333
"283","0.75",2,2.684,2.66666666666667
"284","0.84",2,3.48,3.67
"285","0.9",2,4.147,4.18
"286","0.94",2,4.674,4.74333333333333
"287","0.96",2,5.117,5.04333333333333
"288","0.97",2,5.404,5.45
"289","0.98",2,5.629,5.73666666666667
"290","0.99",2,5.74,5.67
"291","0.37",1,1.449,1.42
"292","0.6",2,1.958,1.92333333333333
"293","0.75",2,2.651,2.79
"294","0.84",1,3.405,3.32333333333333
"295","0.9",2,4.146,4.24666666666667
"296","0.94",2,4.624,4.80333333333333
"297","0.96",2,5.136,5.08
"298","0.97",2,5.461,5.36333333333333
"299","0.98",2,5.636,5.70333333333333
"300","0.99",2,5.765,5.78333333333333
"301","0.37",2,1.461,1.43
"302","0.6",2,2.007,2.01666666666667
"303","0.75",2,2.76,2.72666666666667
"304","0.84",2,3.406,3.41666666666667
"305","0.9",2,4.113,4.10666666666667
"306","0.94",2,4.62,4.75333333333333
"307","0.96",2,5.14,5.19666666666667
"308","0.97",2,5.418,5.38666666666667
"309","0.98",2,5.638,5.6
"310","0.99",2,5.744,5.76333333333333
"311","0.37",2,1.476,1.44
"312","0.6",2,2.003,1.96666666666667
"313","0.75",2,2.702,2.69666666666667
"314","0.84",2,3.458,3.42666666666667
"315","0.9",2,4.065,4.02
"316","0.94",2,4.664,4.57333333333333
"317","0.96",2,5.105,5.17
"318","0.97",2,5.481,5.48666666666667
"319","0.98",2,5.61,5.57666666666667
"320","0.99",2,5.703,5.72333333333333
"321","0.37",2,1.424,1.41333333333333
"322","0.6",2,2.004,1.98333333333333
"323","0.75",2,2.665,2.7
"324","0.84",2,3.398,3.31666666666667
"325","0.9",2,4.119,4.10333333333333
"326","0.94",2,4.682,4.77666666666667
"327","0.96",2,5.061,4.99666666666667
"328","0.97",2,5.416,5.39
"329","0.98",2,5.626,5.63333333333333
