"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",3,1.461,1.4225
"2","0.6",3,2.015,2.075
"3","0.75",3,2.696,2.68
"4","0.84",2,3.45,3.4125
"5","0.9",2,4.083,3.975
"6","0.94",2,4.708,4.775
"7","0.96",2,5.115,5.165
"8","0.97",2,5.443,5.445
"9","0.98",2,5.608,5.575
"10","0.99",2,5.795,5.755
"11","0.37",3,1.479,1.4425
"12","0.6",3,1.955,1.8975
"13","0.75",3,2.641,2.74
"14","0.84",3,3.342,3.3825
"15","0.9",3,4.088,4.025
"16","0.94",2,4.649,4.5925
"17","0.96",2,5.128,5.1175
"18","0.97",2,5.449,5.4375
"19","0.98",2,5.643,5.665
"20","0.99",2,5.764,5.7375
"21","0.37",2,1.466,1.46
"22","0.6",2,2.022,1.96
"23","0.75",2,2.783,2.825
"24","0.84",2,3.401,3.46
"25","0.9",2,4.102,4.2375
"26","0.94",2,4.75,4.755
"27","0.96",2,5.175,5.175
"28","0.97",2,5.397,5.4525
"29","0.98",2,5.571,5.495
"30","0.99",2,5.805,5.805
"31","0.37",3,1.446,1.415
"32","0.6",2,2.063,2.05
"33","0.75",2,2.666,2.695
"34","0.84",3,3.365,3.345
"35","0.9",2,4.167,4.0725
"36","0.94",2,4.718,4.835
"37","0.96",2,5.206,5.285
"38","0.97",2,5.456,5.455
"39","0.98",2,5.642,5.6425
"40","0.99",2,5.743,5.775
"41","0.37",2,1.456,1.42
"42","0.6",2,1.983,1.9575
"43","0.75",2,2.687,2.7725
"44","0.84",2,3.467,3.4825
"45","0.9",2,4.129,4.1375
"46","0.94",2,4.648,4.61
"47","0.96",2,5.046,5.075
"48","0.97",2,5.368,5.27
"49","0.98",2,5.645,5.7075
"50","0.99",2,5.764,5.73
"51","0.37",2,1.452,1.44
"52","0.6",2,1.963,1.98
"53","0.75",3,2.685,2.6725
"54","0.84",2,3.417,3.54
"55","0.9",2,4.181,4.15
"56","0.94",2,4.65,4.685
"57","0.96",2,5.122,5.0875
"58","0.97",2,5.411,5.3975
"59","0.98",2,5.543,5.5325
"60","0.99",2,5.721,5.74
"61","0.37",2,1.457,1.4475
"62","0.6",2,1.954,1.9475
"63","0.75",2,2.684,2.725
"64","0.84",2,3.388,3.3075
"65","0.9",2,4.061,4.0275
"66","0.94",2,4.621,4.5975
"67","0.96",2,5.056,5.1125
"68","0.97",2,5.416,5.36
"69","0.98",2,5.654,5.64
"70","0.99",2,5.711,5.7175
"71","0.37",2,1.458,1.465
"72","0.6",2,1.957,1.915
"73","0.75",2,2.614,2.69
"74","0.84",2,3.422,3.315
"75","0.9",2,4.144,4.2025
"76","0.94",2,4.583,4.5325
"77","0.96",2,5.092,5.145
"78","0.97",2,5.46,5.4
"79","0.98",2,5.573,5.5975
"80","0.99",2,5.804,5.8225
"81","0.37",2,1.415,1.4075
"82","0.6",2,2.011,2.065
"83","0.75",2,2.701,2.615
"84","0.84",2,3.373,3.435
"85","0.9",2,4.152,4.245
"86","0.94",2,4.748,4.7425
"87","0.96",2,5.129,5.1875
"88","0.97",2,5.488,5.565
"89","0.98",2,5.687,5.705
"90","0.99",2,5.75,5.765
"91","0.37",3,1.47,1.475
"92","0.6",3,2.029,2.1075
"93","0.75",3,2.734,2.7775
"94","0.84",2,3.465,3.5025
"95","0.9",2,4.018,3.9875
"96","0.94",2,4.659,4.5675
"97","0.96",2,5.101,5.06
"98","0.97",2,5.427,5.4475
"99","0.98",2,5.659,5.695
"100","0.99",2,5.801,5.775
"101","0.37",3,1.438,1.4375
"102","0.6",2,2,1.96
"103","0.75",2,2.715,2.7
"104","0.84",2,3.374,3.41
"105","0.9",2,4.143,4.2125
"106","0.94",2,4.668,4.6725
"107","0.96",2,5.092,4.9375
"108","0.97",2,5.434,5.4025
"109","0.98",2,5.62,5.7075
"110","0.99",2,5.774,5.7575
"111","0.37",2,1.411,1.405
"112","0.6",2,1.981,1.9825
"113","0.75",2,2.647,2.655
"114","0.84",2,3.424,3.345
"115","0.9",2,4.085,4.0925
"116","0.94",2,4.658,4.7075
"117","0.96",2,5.091,5.13
"118","0.97",2,5.363,5.4175
"119","0.98",2,5.647,5.6725
"120","0.99",2,5.696,5.7375
"121","0.37",3,1.423,1.3725
"122","0.6",2,2.013,1.985
"123","0.75",2,2.601,2.715
"124","0.84",2,3.292,3.2775
"125","0.9",2,4.167,4.165
"126","0.94",2,4.604,4.6575
"127","0.96",2,5.069,5.005
"128","0.97",2,5.454,5.475
"129","0.98",2,5.633,5.6275
"130","0.99",2,5.756,5.7575
"131","0.37",3,1.438,1.455
"132","0.6",3,1.992,2.0825
"133","0.75",3,2.708,2.6425
"134","0.84",3,3.395,3.4475
"135","0.9",2,4.096,4.19
"136","0.94",2,4.795,4.8025
"137","0.96",2,5.103,5.0575
"138","0.97",2,5.384,5.4175
"139","0.98",2,5.589,5.6375
"140","0.99",2,5.725,5.695
"141","0.37",3,1.462,1.39
"142","0.6",3,2.057,2.06
"143","0.75",2,2.644,2.605
"144","0.84",2,3.338,3.42
"145","0.9",3,4.131,4.16
"146","0.94",2,4.66,4.7675
"147","0.96",2,5.132,5.095
"148","0.97",2,5.487,5.5675
"149","0.98",2,5.627,5.655
"150","0.99",2,5.749,5.7525
"151","0.37",1,1.408,1.4
"152","0.6",2,2.004,2.0075
"153","0.75",2,2.598,2.5575
"154","0.84",2,3.472,3.4775
"155","0.9",2,4.078,4.03
"156","0.94",2,4.697,4.7425
"157","0.96",2,5.077,5.09
"158","0.97",2,5.411,5.39
"159","0.98",2,5.578,5.4625
"160","0.99",2,5.749,5.795
"161","0.37",3,1.428,1.435
"162","0.6",3,1.932,1.9575
"163","0.75",2,2.672,2.6225
"164","0.84",3,3.38,3.4
"165","0.9",2,4.142,4.0525
"166","0.94",2,4.658,4.6375
"167","0.96",2,5.169,5.1275
"168","0.97",2,5.399,5.3675
"169","0.98",2,5.638,5.5975
"170","0.99",2,5.781,5.7625
"171","0.37",2,1.426,1.45
"172","0.6",2,1.944,1.9075
"173","0.75",2,2.618,2.6125
"174","0.84",2,3.44,3.535
"175","0.9",2,4.121,4.0925
"176","0.94",2,4.682,4.66
"177","0.96",2,5.092,5.01
"178","0.97",2,5.402,5.4675
"179","0.98",2,5.567,5.5925
"180","0.99",2,5.776,5.76
"181","0.37",3,1.421,1.405
"182","0.6",3,2.008,1.9525
"183","0.75",3,2.737,2.825
"184","0.84",3,3.434,3.485
"185","0.9",2,4.172,4.0875
"186","0.94",2,4.662,4.7025
"187","0.96",2,5.145,5.0925
"188","0.97",2,5.462,5.485
