"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"954","0.84",1,3.504,3.345
"955","0.9",1,4.219,4.425
"956","0.94",1,4.606,4.71
"957","0.96",1,5.094,5.075
"958","0.97",1,5.441,5.24
"959","0.98",1,5.623,5.59
"960","0.99",1,5.767,5.66
"961","0.37",1,1.45,1.475
"962","0.6",1,2.085,2.02
"963","0.75",1,2.589,2.585
"964","0.84",1,3.375,3.385
"965","0.9",1,4.073,4.18
"966","0.94",1,4.598,4.64
"967","0.96",1,5.041,5.15
"968","0.97",1,5.445,5.44
"969","0.98",1,5.628,5.65
"970","0.99",1,5.761,5.79
"971","0.37",1,1.475,1.475
"972","0.6",1,2.032,2.07
"973","0.75",1,2.716,2.7
"974","0.84",1,3.459,3.55
"975","0.9",1,4.168,4.095
"976","0.94",1,4.764,4.55
"977","0.96",1,5.218,5.195
"978","0.97",1,5.411,5.465
"979","0.98",1,5.675,5.66
"980","0.99",1,5.777,5.665
"981","0.37",2,1.422,1.4
"982","0.6",1,1.979,1.965
"983","0.75",1,2.606,2.545
"984","0.84",1,3.444,3.33
"985","0.9",1,4.065,3.97
"986","0.94",1,4.678,4.57
"987","0.96",1,5.005,4.86
"988","0.97",1,5.399,5.51
"989","0.98",1,5.63,5.645
"990","0.99",1,5.773,5.775
"991","0.37",1,1.412,1.425
"992","0.6",1,1.951,2.045
"993","0.75",1,2.735,2.765
"994","0.84",1,3.461,3.53
"995","0.9",1,3.981,4.045
"996","0.94",1,4.649,4.735
"997","0.96",1,5.111,5.145
"998","0.97",1,5.366,5.355
"999","0.98",1,5.657,5.53
"1000","0.99",1,5.682,5.73
