"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.898,1.855
"2","-0.4",2,2.277,2.23
"3","-0.6",1,2.626,2.72
"4","-0.8",1,3.106,2.995
"5","-1",1,3.706,3.655
"6","-1.2",1,4.005,3.92
"7","-1.4",1,4.417,4.605
"8","-1.6",1,4.865,4.96
"9","-1.8",1,5.079,5.215
"10","-2",1,5.351,5.48
"11","-0.2",3,1.585,1.845
"12","-0.4",3,1.793,2.255
"13","-0.6",3,1.982,2.495
"14","-0.8",3,2.208,2.985
"15","-1",3,2.452,3.475
"16","-1.2",3,2.733,3.89
"17","-1.4",2,3.046,4.435
"18","-1.6",2,3.33,4.68
"19","-1.8",2,3.559,5.005
"20","-2",2,3.866,5.125
"21","-0.2",1,1.987,1.97
"22","-0.4",1,2.46,2.755
"23","-0.6",1,2.92,2.815
"24","-0.8",1,3.434,3.315
"25","-1",1,4.045,3.975
"26","-1.2",1,4.452,4.4
"27","-1.4",1,4.816,4.93
"28","-1.6",1,5.183,5.17
"29","-1.8",1,5.415,5.41
"30","-2",1,5.651,5.75
"31","-0.2",1,1.944,1.67
"32","-0.4",1,2.415,1.965
"33","-0.6",1,2.853,2.465
"34","-0.8",1,3.377,2.865
"35","-1",1,3.855,3.095
"36","-1.2",1,4.49,3.69
"37","-1.4",1,4.874,4.245
"38","-1.6",1,5.19,4.685
"39","-1.8",1,5.425,4.915
"40","-2",1,5.614,5.21
"41","-0.2",1,1.907,1.655
"42","-0.4",1,2.357,2.09
"43","-0.6",1,2.799,2.315
"44","-0.8",1,3.245,2.855
"45","-1",1,3.758,3.045
"46","-1.2",1,4.218,3.595
"47","-1.4",1,4.723,4.01
"48","-1.6",1,5.137,4.69
"49","-1.8",1,5.364,5.06
"50","-2",1,5.553,5.25
"51","-0.2",2,1.78,1.885
"52","-0.4",2,2.12,2.195
"53","-0.6",2,2.595,2.86
"54","-0.8",2,2.857,3.025
"55","-1",2,3.38,3.71
"56","-1.2",2,3.689,4.145
"57","-1.4",1,4.196,4.65
"58","-1.6",1,4.498,4.965
"59","-1.8",1,4.939,5.43
"60","-2",1,5.218,5.515
"61","-0.2",2,1.862,2.035
"62","-0.4",2,2.244,2.38
"63","-0.6",2,2.54,2.82
"64","-0.8",2,3.019,3.475
"65","-1",2,3.448,3.85
"66","-1.2",2,3.951,4.43
"67","-1.4",1,4.331,4.86
"68","-1.6",1,4.637,5.1
"69","-1.8",1,4.974,5.32
"70","-2",1,5.231,5.64
"71","-0.2",1,1.963,1.82
"72","-0.4",1,2.407,2.455
"73","-0.6",1,2.891,2.57
"74","-0.8",1,3.261,3.12
"75","-1",1,3.779,3.22
"76","-1.2",1,4.236,3.915
"77","-1.4",1,4.621,4.17
"78","-1.6",1,4.977,4.355
"79","-1.8",1,5.261,4.695
"80","-2",1,5.449,4.775
"81","-0.2",2,1.73,1.75
"82","-0.4",2,1.965,1.905
"83","-0.6",2,2.293,2.415
"84","-0.8",2,2.749,2.695
"85","-1",2,3.111,3.1
"86","-1.2",1,3.628,3.625
"87","-1.4",1,3.991,3.855
"88","-1.6",1,4.375,4.23
"89","-1.8",1,4.785,4.645
"90","-2",1,4.936,4.645
"91","-0.2",2,1.856,2.02
"92","-0.4",2,2.175,2.42
"93","-0.6",1,2.588,2.93
"94","-0.8",1,2.935,3.53
"95","-1",1,3.325,3.945
"96","-1.2",1,3.871,4.44
"97","-1.4",1,4.283,5.155
"98","-1.6",1,4.63,5.29
"99","-1.8",1,4.954,5.45
"100","-2",1,5.142,5.69
"101","-0.2",3,1.762,2.005
"102","-0.4",3,1.926,2.165
"103","-0.6",3,2.305,2.8
"104","-0.8",3,2.584,3.13
"105","-1",2,2.943,3.695
"106","-1.2",2,3.27,4.32
"107","-1.4",2,3.561,4.83
"108","-1.6",1,3.895,5.045
"109","-1.8",1,4.162,5.4
"110","-2",1,4.431,5.51
"111","-0.2",1,1.846,1.645
"112","-0.4",1,2.247,2.075
"113","-0.6",1,2.596,2.395
"114","-0.8",1,3.054,2.875
"115","-1",1,3.573,3.375
"116","-1.2",1,4.082,3.79
"117","-1.4",1,4.428,4.1
"118","-1.6",1,4.9,4.645
"119","-1.8",1,5.24,4.76
"120","-2",1,5.376,5.09
"121","-0.2",1,1.939,1.92
"122","-0.4",1,2.326,2.335
"123","-0.6",1,2.766,2.705
"124","-0.8",1,3.211,3.005
"125","-1",1,3.686,3.585
"126","-1.2",1,4.211,4.065
"127","-1.4",1,4.567,4.31
"128","-1.6",1,4.984,4.645
"129","-1.8",1,5.205,4.825
"130","-2",1,5.438,5.075
"131","-0.2",2,1.698,1.75
"132","-0.4",2,1.98,2.03
"133","-0.6",2,2.242,2.185
"134","-0.8",2,2.584,2.47
"135","-1",2,3.036,3.035
"136","-1.2",2,3.258,3.385
"137","-1.4",2,3.686,3.78
"138","-1.6",1,3.924,3.795
"139","-1.8",1,4.294,4.225
"140","-2",1,4.483,4.585
"141","-0.2",1,1.983,1.805
"142","-0.4",1,2.375,2.15
"143","-0.6",1,2.789,2.305
"144","-0.8",1,3.335,2.7
"145","-1",1,3.75,3.17
"146","-1.2",1,4.291,3.275
"147","-1.4",1,4.665,3.825
"148","-1.6",1,5.048,4.285
"149","-1.8",1,5.297,4.605
"150","-2",1,5.497,5.01
"151","-0.2",2,1.82,1.825
"152","-0.4",2,2.119,2.375
"153","-0.6",2,2.515,2.805
"154","-0.8",2,2.909,3.31
"155","-1",2,3.236,3.635
"156","-1.2",2,3.645,4.095
"157","-1.4",2,3.992,4.67
"158","-1.6",2,4.279,4.985
"159","-1.8",2,4.531,5.35
"160","-2",1,4.827,5.65
"161","-0.2",1,1.677,1.765
"162","-0.4",1,1.966,1.875
"163","-0.6",1,2.258,2.33
"164","-0.8",1,2.675,2.665
"165","-1",1,3.021,3.11
"166","-1.2",1,3.54,3.6
"167","-1.4",1,3.917,4.24
"168","-1.6",1,4.319,4.46
"169","-1.8",1,4.516,4.69
"170","-2",1,4.778,5.105
"171","-0.2",2,1.74,1.925
"172","-0.4",2,2.019,2.34
"173","-0.6",2,2.286,2.535
"174","-0.8",2,2.637,3.135
"175","-1",2,3.035,3.48
"176","-1.2",2,3.418,4.08
"177","-1.4",1,3.932,4.455
"178","-1.6",1,4.359,4.8
"179","-1.8",1,4.632,5.22
"180","-2",1,4.939,5.4
"181","-0.2",2,1.817,1.775
"182","-0.4",1,2.279,2.14
"183","-0.6",1,2.663,2.545
"184","-0.8",1,3.179,2.885
"185","-1",1,3.597,3.22
"186","-1.2",1,4.072,3.585
"187","-1.4",1,4.587,4.095
"188","-1.6",1,4.923,4.145
"189","-1.8",1,5.156,4.685
"190","-2",1,5.398,4.705
"191","-0.2",1,1.865,2.135
"192","-0.4",1,2.212,2.265
"193","-0.6",1,2.721,2.965
"194","-0.8",1,3.139,3.24
"195","-1",1,3.577,3.695
"196","-1.2",1,4.171,4.35
"197","-1.4",1,4.611,4.84
"198","-1.6",1,4.82,4.905
"199","-1.8",1,5.11,5.22
"200","-2",1,5.373,5.535
"201","-0.2",2,1.389,1.64
"202","-0.4",2,1.512,1.905
"203","-0.6",2,1.73,2.32
"204","-0.8",2,1.956,2.5
"205","-1",2,2.32,3.135
"206","-1.2",2,2.588,3.645
"207","-1.4",2,2.932,4.085
"208","-1.6",2,3.219,4.49
"209","-1.8",2,3.536,4.73
"210","-2",2,3.962,5.22
"211","-0.2",1,1.733,1.825
"212","-0.4",1,2.132,2.24
"213","-0.6",1,2.49,2.655
"214","-0.8",1,2.929,3.125
"215","-1",1,3.421,3.81
"216","-1.2",1,3.775,4.255
"217","-1.4",1,4.328,4.655
"218","-1.6",1,4.723,5.27
"219","-1.8",1,4.967,5.11
"220","-2",1,5.259,5.64
"221","-0.2",2,1.58,1.75
"222","-0.4",2,1.783,1.88
"223","-0.6",2,2.073,2.395
"224","-0.8",2,2.305,2.6
"225","-1",2,2.549,2.785
"226","-1.2",2,3.011,3.25
"227","-1.4",1,3.398,3.555
"228","-1.6",1,3.734,3.82
"229","-1.8",1,4.135,3.945
"230","-2",1,4.377,4.1
"231","-0.2",2,1.771,1.715
"232","-0.4",2,2.064,2.07
"233","-0.6",2,2.43,2.455
"234","-0.8",2,2.805,2.91
"235","-1",1,3.255,3.495
"236","-1.2",1,3.7,3.745
"237","-1.4",1,4.224,4.58
"238","-1.6",1,4.542,4.73
"239","-1.8",1,4.833,4.98
"240","-2",1,5.146,5.365
"241","-0.2",1,1.819,1.8
"242","-0.4",1,2.166,2.2
"243","-0.6",1,2.608,2.705
"244","-0.8",1,3.103,3.38
"245","-1",1,3.613,3.91
"246","-1.2",1,4.118,4.395
"247","-1.4",1,4.581,4.825
"248","-1.6",1,4.887,5.11
