"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,1.468,1.43666666666667
"2","0.6",2,1.978,2.01333333333333
"3","0.75",2,2.726,2.72333333333333
"4","0.84",2,3.51,3.64
"5","0.9",2,4.214,4.29
"6","0.94",2,4.599,4.55666666666667
"7","0.96",2,5.148,5.10333333333333
"8","0.97",2,5.364,5.40666666666667
"9","0.98",2,5.668,5.74
"10","0.99",2,5.8,5.80666666666667
"11","0.37",2,1.454,1.48666666666667
"12","0.6",2,1.996,2.08
"13","0.75",2,2.623,2.63
"14","0.84",2,3.44,3.45333333333333
"15","0.9",2,4.198,4.17333333333333
"16","0.94",2,4.635,4.53
"17","0.96",2,5.103,5.08
"18","0.97",2,5.423,5.5
"19","0.98",2,5.652,5.6
"20","0.99",2,5.75,5.71333333333333
"21","0.37",3,1.466,1.48333333333333
"22","0.6",2,2.012,1.98333333333333
"23","0.75",2,2.71,2.74666666666667
"24","0.84",2,3.342,3.32333333333333
"25","0.9",2,4.136,4.15
"26","0.94",2,4.648,4.67666666666667
"27","0.96",2,5.081,5.18
"28","0.97",2,5.497,5.53666666666667
"29","0.98",2,5.634,5.58666666666667
"30","0.99",2,5.772,5.80666666666667
"31","0.37",2,1.469,1.49
"32","0.6",2,2.046,2.06
"33","0.75",2,2.701,2.75333333333333
"34","0.84",2,3.376,3.43666666666667
"35","0.9",2,4.166,4.10666666666667
"36","0.94",2,4.756,4.68
"37","0.96",2,5.185,5.16333333333333
"38","0.97",2,5.406,5.51333333333333
"39","0.98",2,5.668,5.61333333333333
"40","0.99",2,5.7,5.68666666666667
"41","0.37",2,1.473,1.49333333333333
"42","0.6",2,1.998,1.92333333333333
"43","0.75",2,2.681,2.71666666666667
"44","0.84",2,3.381,3.30333333333333
"45","0.9",2,4.125,4.12666666666667
"46","0.94",2,4.701,4.66666666666667
"47","0.96",2,5.177,5.02333333333333
"48","0.97",2,5.403,5.44
"49","0.98",2,5.61,5.48
"50","0.99",2,5.738,5.74
"51","0.37",3,1.471,1.46333333333333
"52","0.6",3,1.962,1.95666666666667
"53","0.75",3,2.747,2.90666666666667
"54","0.84",2,3.481,3.52666666666667
"55","0.9",2,4.115,4.15333333333333
"56","0.94",2,4.681,4.6
"57","0.96",2,5.068,4.96
"58","0.97",2,5.429,5.56666666666667
"59","0.98",2,5.715,5.65666666666667
"60","0.99",2,5.762,5.7
"61","0.37",1,1.421,1.49333333333333
"62","0.6",1,2.033,2.08
"63","0.75",2,2.677,2.68666666666667
"64","0.84",2,3.379,3.36666666666667
"65","0.9",2,4.171,4.15666666666667
"66","0.94",2,4.717,4.76
"67","0.96",2,5.131,5.14333333333333
"68","0.97",2,5.427,5.41666666666667
"69","0.98",2,5.596,5.57
"70","0.99",2,5.772,5.72333333333333
"71","0.37",2,1.433,1.45666666666667
"72","0.6",2,1.986,1.93
"73","0.75",2,2.571,2.44666666666667
"74","0.84",2,3.32,3.29666666666667
"75","0.9",2,4.109,4.23666666666667
"76","0.94",2,4.61,4.75
"77","0.96",2,5.125,5.12666666666667
"78","0.97",2,5.388,5.34666666666667
"79","0.98",2,5.617,5.62666666666667
"80","0.99",2,5.792,5.83666666666667
"81","0.37",1,1.464,1.5
"82","0.6",1,2.078,2.06333333333333
"83","0.75",2,2.638,2.65666666666667
"84","0.84",1,3.502,3.39333333333333
"85","0.9",2,4.077,4.02666666666667
"86","0.94",2,4.699,4.54333333333333
"87","0.96",2,5.136,5.24666666666667
"88","0.97",2,5.401,5.27666666666667
"89","0.98",2,5.709,5.67
"90","0.99",2,5.755,5.79666666666667
"91","0.37",1,1.43,1.43
"92","0.6",1,1.992,1.98333333333333
"93","0.75",2,2.686,2.7
"94","0.84",2,3.454,3.47333333333333
"95","0.9",2,4.148,4.17
"96","0.94",2,4.703,4.79
"97","0.96",2,5.259,5.34333333333333
"98","0.97",2,5.439,5.50666666666667
"99","0.98",2,5.61,5.62666666666667
"100","0.99",2,5.794,5.72666666666667
"101","0.37",2,1.485,1.48666666666667
"102","0.6",2,2.012,2.06666666666667
"103","0.75",2,2.784,2.78
"104","0.84",2,3.414,3.40666666666667
"105","0.9",2,4.06,4.25333333333333
