"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,4.743,1.81
"2","-0.4",1,4.901,2.33666666666667
"3","-0.6",1,5.031,2.77
"4","-0.8",1,5.165,3.21666666666667
"5","-1",2,5.311,3.70333333333333
"6","-1.2",2,5.498,4.32666666666667
"7","-1.4",2,5.611,4.70333333333333
"8","-1.6",2,5.724,5.08
"9","-1.8",2,5.82,5.4
"10","-2",2,5.881,5.60333333333333
"11","-0.2",1,4.7,1.66666666666667
"12","-0.4",1,4.765,1.88333333333333
"13","-0.6",1,4.855,2.18333333333333
"14","-0.8",1,4.946,2.48666666666667
"15","-1",2,5.041,2.80333333333333
"16","-1.2",2,5.145,3.15
"17","-1.4",2,5.23,3.43333333333333
"18","-1.6",2,5.299,3.66333333333333
"19","-1.8",2,5.411,4.03666666666667
"20","-2",2,5.493,4.31
"21","-0.2",1,4.663,1.54333333333333
"22","-0.4",1,4.724,1.74666666666667
"23","-0.6",2,4.815,2.05
"24","-0.8",1,4.851,2.17
"25","-1",2,4.967,2.55666666666667
"26","-1.2",2,5.077,2.92333333333333
"27","-1.4",2,5.194,3.31333333333333
"28","-1.6",2,5.319,3.73
"29","-1.8",2,5.442,4.14
"30","-2",2,5.569,4.56333333333333
"31","-0.2",1,4.647,1.49
"32","-0.4",1,4.702,1.67333333333333
"33","-0.6",1,4.773,1.91
"34","-0.8",1,4.818,2.06
"35","-1",2,4.895,2.31666666666667
"36","-1.2",2,4.958,2.52666666666667
"37","-1.4",2,5.072,2.90666666666667
"38","-1.6",2,5.145,3.15
"39","-1.8",2,5.269,3.56333333333333
"40","-2",2,5.359,3.86333333333333
"41","-0.2",1,4.711,1.70333333333333
"42","-0.4",1,4.762,1.87333333333333
"43","-0.6",1,4.922,2.40666666666667
"44","-0.8",1,5.014,2.71333333333333
"45","-1",1,5.208,3.36
"46","-1.2",1,5.344,3.81333333333333
"47","-1.4",1,5.467,4.22333333333333
"48","-1.6",1,5.574,4.58
"49","-1.8",2,5.751,5.17
"50","-2",2,5.853,5.51
"51","-0.2",2,4.748,1.82666666666667
"52","-0.4",2,4.835,2.11666666666667
"53","-0.6",2,4.917,2.39
"54","-0.8",2,5.02,2.73333333333333
"55","-1",2,5.162,3.20666666666667
"56","-1.2",2,5.303,3.67666666666667
"57","-1.4",2,5.431,4.10333333333333
"58","-1.6",2,5.581,4.60333333333333
"59","-1.8",2,5.674,4.91333333333333
"60","-2",2,5.724,5.08
"61","-0.2",1,4.75,1.83333333333333
"62","-0.4",1,4.846,2.15333333333333
"63","-0.6",1,5.012,2.70666666666667
"64","-0.8",2,5.095,2.98333333333333
"65","-1",2,5.245,3.48333333333333
"66","-1.2",2,5.373,3.91
"67","-1.4",2,5.537,4.45666666666667
"68","-1.6",2,5.64,4.8
"69","-1.8",2,5.759,5.19666666666667
"70","-2",2,5.803,5.34333333333333
"71","-0.2",2,4.692,1.64
"72","-0.4",2,4.776,1.92
"73","-0.6",2,4.828,2.09333333333333
"74","-0.8",2,4.956,2.52
"75","-1",2,5.024,2.74666666666667
"76","-1.2",2,5.118,3.06
"77","-1.4",2,5.229,3.43
"78","-1.6",2,5.381,3.93666666666667
"79","-1.8",2,5.472,4.24
"80","-2",2,5.563,4.54333333333333
"81","-0.2",1,4.687,1.62333333333333
"82","-0.4",1,4.791,1.97
"83","-0.6",1,4.871,2.23666666666667
"84","-0.8",1,4.986,2.62
"85","-1",2,5.101,3.00333333333333
"86","-1.2",2,5.224,3.41333333333333
"87","-1.4",2,5.329,3.76333333333333
"88","-1.6",2,5.425,4.08333333333333
"89","-1.8",2,5.589,4.63
"90","-2",2,5.673,4.91
"91","-0.2",1,4.688,1.62666666666667
"92","-0.4",1,4.757,1.85666666666667
"93","-0.6",1,4.849,2.16333333333333
"94","-0.8",2,4.919,2.39666666666667
"95","-1",2,4.963,2.54333333333333
"96","-1.2",2,5.063,2.87666666666667
"97","-1.4",2,5.123,3.07666666666667
"98","-1.6",2,5.195,3.31666666666667
"99","-1.8",2,5.25,3.5
"100","-2",2,5.342,3.80666666666667
"101","-0.2",1,4.751,1.83666666666667
"102","-0.4",1,4.832,2.10666666666667
"103","-0.6",2,4.926,2.42
"104","-0.8",2,5.031,2.77
"105","-1",2,5.168,3.22666666666667
"106","-1.2",2,5.284,3.61333333333333
"107","-1.4",2,5.359,3.86333333333333
"108","-1.6",2,5.487,4.29
"109","-1.8",2,5.63,4.76666666666667
"110","-2",2,5.679,4.93
"111","-0.2",1,4.663,1.54333333333333
"112","-0.4",1,4.719,1.73
"113","-0.6",1,4.812,2.04
"114","-0.8",1,4.888,2.29333333333333
"115","-1",1,4.978,2.59333333333333
"116","-1.2",1,5.084,2.94666666666667
"117","-1.4",1,5.216,3.38666666666667
"118","-1.6",2,5.312,3.70666666666667
"119","-1.8",2,5.455,4.18333333333333
"120","-2",2,5.518,4.39333333333333
"121","-0.2",2,4.697,1.65666666666667
"122","-0.4",2,4.736,1.78666666666667
"123","-0.6",2,4.808,2.02666666666667
"124","-0.8",2,4.91,2.36666666666667
"125","-1",2,4.982,2.60666666666667
"126","-1.2",2,5.039,2.79666666666667
"127","-1.4",2,5.098,2.99333333333333
"128","-1.6",2,5.234,3.44666666666667
"129","-1.8",2,5.332,3.77333333333333
"130","-2",2,5.398,3.99333333333333
"131","-0.2",1,4.691,1.63666666666667
"132","-0.4",1,4.782,1.94
