"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.925,1.84666666666667
"2","-0.4",2,2.231,2.24
"3","-0.6",2,2.682,2.83333333333333
"4","-0.8",2,3.079,3.21
"5","-1",2,3.566,3.78666666666667
"6","-1.2",2,4.026,4.34333333333333
"7","-1.4",2,4.397,4.71666666666667
"8","-1.6",2,4.692,5.11333333333333
"9","-1.8",2,5.025,5.48666666666667
"10","-2",2,5.176,5.48666666666667
"11","-0.2",1,1.871,1.89333333333333
"12","-0.4",1,2.322,2.31666666666667
"13","-0.6",1,2.746,2.84333333333333
"14","-0.8",2,3.224,3.31666666666667
"15","-1",2,3.848,3.91
"16","-1.2",2,4.244,4.36666666666667
"17","-1.4",2,4.733,4.73666666666667
"18","-1.6",2,5.074,5.17666666666667
"19","-1.8",2,5.356,5.43
"20","-2",2,5.569,5.59333333333333
"21","-0.2",1,2.019,2.05
"22","-0.4",2,2.352,2.44666666666667
"23","-0.6",2,2.887,2.98666666666667
"24","-0.8",2,3.321,3.35333333333333
"25","-1",2,3.961,4.14333333333333
"26","-1.2",2,4.354,4.42
"27","-1.4",2,4.772,4.92
"28","-1.6",2,5.129,5.28333333333333
"29","-1.8",2,5.401,5.51333333333333
"30","-2",2,5.606,5.61333333333333
"31","-0.2",2,1.936,1.88
"32","-0.4",2,2.342,2.3
"33","-0.6",2,2.795,2.80666666666667
"34","-0.8",2,3.368,3.47
"35","-1",2,3.821,3.85
"36","-1.2",2,4.259,4.28666666666667
"37","-1.4",2,4.799,4.78666666666667
"38","-1.6",2,5.059,5.05666666666667
"39","-1.8",2,5.358,5.25333333333333
"40","-2",2,5.545,5.46666666666667
"41","-0.2",2,1.872,1.79666666666667
"42","-0.4",2,2.284,2.27333333333333
"43","-0.6",2,2.763,2.77666666666667
"44","-0.8",2,3.249,3.28333333333333
"45","-1",2,3.629,3.48
"46","-1.2",2,4.258,4.16
"47","-1.4",2,4.707,4.54
"48","-1.6",2,4.99,4.86666666666667
"49","-1.8",2,5.383,5.29666666666667
"50","-2",2,5.552,5.42333333333333
"51","-0.2",2,1.842,1.98666666666667
"52","-0.4",2,2.272,2.35333333333333
"53","-0.6",2,2.714,3.05
"54","-0.8",2,3.232,3.46333333333333
"55","-1",2,3.631,3.97666666666667
"56","-1.2",2,4.291,4.53
"57","-1.4",2,4.7,5.07
"58","-1.6",2,5.104,5.24
"59","-1.8",2,5.352,5.57666666666667
"60","-2",2,5.6,5.78666666666667
"61","-0.2",2,1.902,1.88666666666667
"62","-0.4",2,2.315,2.33666666666667
"63","-0.6",2,2.76,2.66
"64","-0.8",2,3.151,3.03
"65","-1",2,3.676,3.62
"66","-1.2",2,4.141,4.00666666666667
"67","-1.4",2,4.661,4.53333333333333
"68","-1.6",2,4.987,4.95666666666667
"69","-1.8",2,5.344,5.21666666666667
"70","-2",2,5.501,5.34666666666667
"71","-0.2",2,1.972,1.78333333333333
"72","-0.4",2,2.251,2.14333333333333
"73","-0.6",2,2.673,2.35666666666667
"74","-0.8",2,3.143,2.80333333333333
"75","-1",2,3.703,3.35333333333333
"76","-1.2",2,4.259,3.82333333333333
"77","-1.4",2,4.625,4.21333333333333
"78","-1.6",2,4.989,4.60666666666667
"79","-1.8",2,5.284,4.91
"80","-2",2,5.507,5.33666666666667
"81","-0.2",1,2.029,1.9
"82","-0.4",1,2.38,2.25
"83","-0.6",1,2.817,2.68333333333333
"84","-0.8",1,3.449,3.09333333333333
"85","-1",1,3.98,3.78
"86","-1.2",2,4.503,4.39666666666667
"87","-1.4",2,4.844,4.68333333333333
"88","-1.6",2,5.233,5.13
"89","-1.8",2,5.456,5.24333333333333
"90","-2",2,5.621,5.45
"91","-0.2",2,1.948,1.96333333333333
"92","-0.4",2,2.352,2.3
"93","-0.6",2,2.895,2.88
"94","-0.8",2,3.414,3.52333333333333
"95","-1",2,3.884,3.93666666666667
"96","-1.2",2,4.417,4.36333333333333
"97","-1.4",2,4.858,4.93666666666667
"98","-1.6",2,5.159,5.11
"99","-1.8",2,5.457,5.57666666666667
"100","-2",2,5.586,5.64333333333333
"101","-0.2",2,1.834,1.81666666666667
"102","-0.4",2,2.286,2.18666666666667
"103","-0.6",2,2.654,2.61333333333333
"104","-0.8",2,3.266,3.21666666666667
"105","-1",2,3.796,3.73
"106","-1.2",2,4.238,4.1
"107","-1.4",2,4.728,4.72
"108","-1.6",2,5.086,5.20333333333333
"109","-1.8",2,5.381,5.35666666666667
"110","-2",2,5.534,5.51333333333333
"111","-0.2",2,1.975,2.05666666666667
"112","-0.4",2,2.35,2.45
"113","-0.6",2,2.826,2.89
"114","-0.8",2,3.477,3.49
"115","-1",2,4.002,3.94666666666667
"116","-1.2",2,4.443,4.63666666666667
"117","-1.4",2,4.862,5.07666666666667
"118","-1.6",2,5.195,5.3
"119","-1.8",2,5.388,5.45
"120","-2",2,5.675,5.71666666666667
"121","-0.2",1,1.971,1.87333333333333
"122","-0.4",2,2.338,2.15666666666667
"123","-0.6",2,2.796,2.55666666666667
"124","-0.8",2,3.321,3.00666666666667
"125","-1",2,3.817,3.56666666666667
"126","-1.2",2,4.301,4.09
"127","-1.4",2,4.699,4.47666666666667
"128","-1.6",2,5.107,4.87
"129","-1.8",2,5.353,5.2
"130","-2",2,5.572,5.42666666666667
"131","-0.2",2,1.917,1.91666666666667
"132","-0.4",2,2.289,2.32333333333333
"133","-0.6",2,2.713,2.68666666666667
"134","-0.8",2,3.191,3.32333333333333
"135","-1",2,3.586,3.71333333333333
"136","-1.2",2,4.102,4.41
"137","-1.4",2,4.551,4.82666666666667
"138","-1.6",2,4.935,5.24
"139","-1.8",2,5.196,5.48333333333333
"140","-2",2,5.423,5.57
"141","-0.2",2,2.024,2.12666666666667
"142","-0.4",2,2.374,2.3
"143","-0.6",2,2.931,3
"144","-0.8",2,3.412,3.32333333333333
"145","-1",2,3.895,3.98333333333333
"146","-1.2",2,4.4,4.54333333333333
"147","-1.4",2,4.821,4.84666666666667
"148","-1.6",2,5.157,5.23333333333333
"149","-1.8",2,5.429,5.46333333333333
"150","-2",2,5.621,5.7
"151","-0.2",2,1.929,2.05333333333333
"152","-0.4",2,2.308,2.57333333333333
"153","-0.6",2,2.704,2.93666666666667
"154","-0.8",2,3.225,3.49666666666667
"155","-1",2,3.725,3.95333333333333
"156","-1.2",2,4.222,4.45
"157","-1.4",2,4.581,4.82333333333333
"158","-1.6",2,5.117,5.36333333333333
"159","-1.8",2,5.422,5.54333333333333
"160","-2",2,5.528,5.63333333333333
"161","-0.2",1,1.953,2.06
"162","-0.4",1,2.347,2.25666666666667
"163","-0.6",2,2.759,2.57333333333333
"164","-0.8",2,3.322,3.39333333333333
"165","-1",2,3.886,3.67666666666667
"166","-1.2",2,4.251,4.13333333333333
"167","-1.4",2,4.715,4.72666666666667
"168","-1.6",2,5.112,4.92
"169","-1.8",2,5.422,5.30333333333333
"170","-2",2,5.542,5.37666666666667
"171","-0.2",2,2.003,1.95
"172","-0.4",2,2.286,2.33
"173","-0.6",2,2.688,2.73666666666667
"174","-0.8",2,3.194,3.08333333333333
"175","-1",2,3.679,3.58
"176","-1.2",2,4.09,4.05
"177","-1.4",2,4.642,4.54
"178","-1.6",2,4.914,4.88666666666667
"179","-1.8",2,5.309,5.24666666666667
"180","-2",2,5.507,5.38333333333333
"181","-0.2",1,1.973,1.89666666666667
"182","-0.4",1,2.279,2.38
"183","-0.6",2,2.803,2.75666666666667
"184","-0.8",2,3.213,3.14666666666667
"185","-1",2,3.855,3.63666666666667
"186","-1.2",2,4.239,3.96333333333333
"187","-1.4",2,4.663,4.48666666666667
"188","-1.6",2,5.086,4.94666666666667
"189","-1.8",2,5.376,5.29
"190","-2",2,5.626,5.49333333333333
"191","-0.2",2,1.959,1.9
"192","-0.4",2,2.437,2.29666666666667
"193","-0.6",2,2.84,2.72
"194","-0.8",2,3.404,3.17666666666667
"195","-1",2,3.847,3.48
"196","-1.2",2,4.506,4.18666666666667
"197","-1.4",2,4.831,4.66
"198","-1.6",2,5.16,4.96
"199","-1.8",2,5.559,5.34
"200","-2",2,5.639,5.51
"201","-0.2",1,2.006,2.03
"202","-0.4",2,2.433,2.37
"203","-0.6",1,2.924,2.94
"204","-0.8",2,3.439,3.46666666666667
"205","-1",2,3.952,4.00666666666667
"206","-1.2",2,4.512,4.44333333333333
"207","-1.4",2,4.901,4.88666666666667
"208","-1.6",2,5.281,5.32333333333333
"209","-1.8",2,5.455,5.38
"210","-2",2,5.618,5.71666666666667
"211","-0.2",1,1.969,2.04
"212","-0.4",1,2.343,2.22
"213","-0.6",1,2.993,3.09
"214","-0.8",1,3.479,3.26333333333333
"215","-1",1,4.045,4.07333333333333
"216","-1.2",2,4.555,4.62666666666667
"217","-1.4",2,4.984,4.96333333333333
"218","-1.6",2,5.298,5.16333333333333
"219","-1.8",2,5.503,5.43
"220","-2",2,5.727,5.74666666666667
"221","-0.2",2,1.907,1.94333333333333
"222","-0.4",2,2.391,2.48
