"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.889,1.83
"2","-0.4",2,2.244,2.1675
"3","-0.6",2,2.683,2.6625
"4","-0.8",2,3.16,3.12
"5","-1",2,3.538,3.57
"6","-1.2",2,4.05,4.065
"7","-1.4",2,4.551,4.6475
"8","-1.6",2,4.757,4.8625
"9","-1.8",2,5.184,5.2775
"10","-2",2,5.377,5.4375
"11","-0.2",2,1.841,1.74
"12","-0.4",2,2.256,2.145
"13","-0.6",2,2.575,2.46
"14","-0.8",2,3.087,2.8775
"15","-1",2,3.604,3.2425
"16","-1.2",2,4.042,3.76
"17","-1.4",2,4.483,4.185
"18","-1.6",2,4.832,4.56
"19","-1.8",2,5.17,4.9975
"20","-2",2,5.457,5.2775
"21","-0.2",3,1.895,1.845
"22","-0.4",3,2.194,2.11
"23","-0.6",3,2.577,2.345
"24","-0.8",3,3.009,2.78
"25","-1",2,3.474,3.4025
"26","-1.2",2,3.944,3.715
"27","-1.4",2,4.309,4.1075
"28","-1.6",2,4.88,4.7175
"29","-1.8",2,5.14,4.94
"30","-2",2,5.365,5.235
"31","-0.2",2,1.831,1.7925
"32","-0.4",2,2.086,2.04
"33","-0.6",2,2.477,2.435
"34","-0.8",2,2.949,2.9025
"35","-1",2,3.403,3.355
"36","-1.2",2,3.855,3.8775
"37","-1.4",2,4.285,4.355
"38","-1.6",2,4.688,4.7025
"39","-1.8",2,5.02,5.0525
"40","-2",2,5.211,5.2375
"41","-0.2",3,1.767,1.77
"42","-0.4",3,2.128,2.1075
"43","-0.6",3,2.514,2.6925
"44","-0.8",2,2.961,3.09
"45","-1",2,3.353,3.4475
"46","-1.2",2,3.885,4.0525
"47","-1.4",2,4.281,4.35
"48","-1.6",2,4.679,4.935
"49","-1.8",2,5.075,5.245
"50","-2",2,5.337,5.47
"51","-0.2",3,1.882,1.8775
"52","-0.4",2,2.303,2.3275
"53","-0.6",3,2.672,2.8
"54","-0.8",2,3.269,3.2975
"55","-1",2,3.713,3.61
"56","-1.2",2,4.207,4.06
"57","-1.4",2,4.705,4.585
