"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,4.759,1.86333333333333
"2","-0.4",1,4.875,2.25
"3","-0.6",1,5.011,2.70333333333333
"4","-0.8",1,5.089,2.96333333333333
"5","-1",1,5.214,3.38
"6","-1.2",2,5.441,4.13666666666667
"7","-1.4",2,5.58,4.6
"8","-1.6",2,5.658,4.86
"9","-1.8",2,5.789,5.29666666666667
"10","-2",2,5.841,5.47
"11","-0.2",1,4.797,1.99
"12","-0.4",1,4.872,2.24
"13","-0.6",1,5.017,2.72333333333333
"14","-0.8",2,5.174,3.24666666666667
"15","-1",2,5.301,3.67
"16","-1.2",2,5.467,4.22333333333333
"17","-1.4",2,5.58,4.6
"18","-1.6",2,5.74,5.13333333333333
"19","-1.8",2,5.771,5.23666666666667
"20","-2",2,5.887,5.62333333333333
"21","-0.2",1,4.69,1.63333333333333
"22","-0.4",1,4.873,2.24333333333333
"23","-0.6",1,4.947,2.49
"24","-0.8",1,5.097,2.99
"25","-1",1,5.233,3.44333333333333
"26","-1.2",2,5.387,3.95666666666667
"27","-1.4",2,5.571,4.57
"28","-1.6",2,5.653,4.84333333333333
"29","-1.8",2,5.732,5.10666666666667
"30","-2",2,5.821,5.40333333333333
"31","-0.2",1,4.774,1.91333333333333
"32","-0.4",1,4.853,2.17666666666667
"33","-0.6",1,4.928,2.42666666666667
"34","-0.8",1,5.09,2.96666666666667
"35","-1",2,5.2,3.33333333333333
"36","-1.2",2,5.336,3.78666666666667
"37","-1.4",2,5.43,4.1
"38","-1.6",2,5.585,4.61666666666667
"39","-1.8",2,5.664,4.88
"40","-2",2,5.806,5.35333333333333
"41","-0.2",1,4.781,1.93666666666667
"42","-0.4",1,4.867,2.22333333333333
"43","-0.6",1,5.041,2.80333333333333
"44","-0.8",2,5.194,3.31333333333333
"45","-1",1,5.403,4.01
"46","-1.2",1,5.495,4.31666666666667
"47","-1.4",2,5.64,4.8
"48","-1.6",2,5.74,5.13333333333333
"49","-1.8",2,5.81,5.36666666666667
"50","-2",2,5.881,5.60333333333333
"51","-0.2",1,4.743,1.81
"52","-0.4",2,4.825,2.08333333333333
"53","-0.6",2,4.931,2.43666666666667
"54","-0.8",2,5.028,2.76
"55","-1",2,5.17,3.23333333333333
"56","-1.2",2,5.237,3.45666666666667
"57","-1.4",2,5.329,3.76333333333333
"58","-1.6",2,5.467,4.22333333333333
"59","-1.8",2,5.602,4.67333333333333
"60","-2",2,5.647,4.82333333333333
"61","-0.2",1,4.75,1.83333333333333
"62","-0.4",1,4.923,2.41
"63","-0.6",1,5.034,2.78
"64","-0.8",1,5.186,3.28666666666667
"65","-1",1,5.366,3.88666666666667
"66","-1.2",1,5.492,4.30666666666667
"67","-1.4",2,5.583,4.61
"68","-1.6",2,5.75,5.16666666666667
"69","-1.8",2,5.85,5.5
"70","-2",2,5.883,5.61
"71","-0.2",1,4.746,1.82
"72","-0.4",1,4.842,2.14
"73","-0.6",1,4.969,2.56333333333333
"74","-0.8",1,5.074,2.91333333333333
"75","-1",2,5.183,3.27666666666667
"76","-1.2",2,5.328,3.76
"77","-1.4",2,5.439,4.13
"78","-1.6",2,5.52,4.4
"79","-1.8",2,5.652,4.84
"80","-2",2,5.69,4.96666666666667
"81","-0.2",1,4.828,2.09333333333333
"82","-0.4",1,4.898,2.32666666666667
"83","-0.6",1,5.038,2.79333333333333
"84","-0.8",2,5.278,3.59333333333333
"85","-1",2,5.398,3.99333333333333
"86","-1.2",2,5.477,4.25666666666667
"87","-1.4",2,5.667,4.89
"88","-1.6",2,5.743,5.14333333333333
"89","-1.8",2,5.825,5.41666666666667
"90","-2",2,5.897,5.65666666666667
"91","-0.2",1,4.715,1.71666666666667
"92","-0.4",1,4.801,2.00333333333333
"93","-0.6",1,4.932,2.44
"94","-0.8",1,5.05,2.83333333333333
"95","-1",2,5.176,3.25333333333333
"96","-1.2",2,5.285,3.61666666666667
"97","-1.4",2,5.445,4.15
"98","-1.6",2,5.562,4.54
"99","-1.8",2,5.647,4.82333333333333
"100","-2",2,5.695,4.98333333333333
"101","-0.2",1,4.756,1.85333333333333
"102","-0.4",1,4.811,2.03666666666667
"103","-0.6",1,4.923,2.41
"104","-0.8",1,5.038,2.79333333333333
"105","-1",1,5.159,3.19666666666667
"106","-1.2",2,5.327,3.75666666666667
"107","-1.4",2,5.457,4.19
"108","-1.6",2,5.613,4.71
"109","-1.8",2,5.715,5.05
"110","-2",2,5.761,5.20333333333333
