"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,4.624,1.41333333333333
"2","0.6",1,4.771,1.90333333333333
"3","0.75",1,5.05,2.83333333333333
"4","0.84",1,5.233,3.44333333333333
"5","0.9",2,5.386,3.95333333333333
"6","0.94",2,5.618,4.72666666666667
"7","0.96",2,5.729,5.09666666666667
"8","0.97",2,5.832,5.44
"9","0.98",2,5.886,5.62
"10","0.99",2,5.923,5.74333333333333
"11","0.37",1,4.641,1.47
"12","0.6",1,4.817,2.05666666666667
"13","0.75",1,4.965,2.55
"14","0.84",1,5.179,3.26333333333333
"15","0.9",2,5.474,4.24666666666667
"16","0.94",2,5.623,4.74333333333333
"17","0.96",2,5.788,5.29333333333333
"18","0.97",2,5.869,5.56333333333333
"19","0.98",2,5.9,5.66666666666667
"20","0.99",2,5.942,5.80666666666667
"21","0.37",1,4.653,1.51
"22","0.6",1,4.824,2.08
"23","0.75",1,4.958,2.52666666666667
"24","0.84",1,5.289,3.63
"25","0.9",2,5.438,4.12666666666667
"26","0.94",2,5.638,4.79333333333333
"27","0.96",2,5.732,5.10666666666667
"28","0.97",2,5.869,5.56333333333333
"29","0.98",2,5.896,5.65333333333333
"30","0.99",2,5.936,5.78666666666667
"31","0.37",1,4.661,1.53666666666667
"32","0.6",1,4.804,2.01333333333333
"33","0.75",1,5.012,2.70666666666667
"34","0.84",1,5.287,3.62333333333333
"35","0.9",2,5.384,3.94666666666667
"36","0.94",2,5.599,4.66333333333333
"37","0.96",2,5.795,5.31666666666667
"38","0.97",2,5.815,5.38333333333333
"39","0.98",2,5.899,5.66333333333333
"40","0.99",2,5.92,5.73333333333333
"41","0.37",1,4.62,1.4
"42","0.6",1,4.851,2.17
"43","0.75",1,4.976,2.58666666666667
"44","0.84",2,5.224,3.41333333333333
"45","0.9",2,5.482,4.27333333333333
"46","0.94",2,5.595,4.65
"47","0.96",2,5.735,5.11666666666667
"48","0.97",2,5.785,5.28333333333333
"49","0.98",2,5.906,5.68666666666667
"50","0.99",2,5.916,5.72
"51","0.37",1,4.639,1.46333333333333
"52","0.6",1,4.806,2.02
"53","0.75",1,5.019,2.73
"54","0.84",1,5.239,3.46333333333333
"55","0.9",2,5.466,4.22
"56","0.94",2,5.593,4.64333333333333
"57","0.96",2,5.744,5.14666666666667
"58","0.97",2,5.834,5.44666666666667
"59","0.98",2,5.872,5.57333333333333
"60","0.99",2,5.926,5.75333333333333
"61","0.37",1,4.648,1.49333333333333
"62","0.6",1,4.773,1.91
"63","0.75",1,5.023,2.74333333333333
"64","0.84",1,5.26,3.53333333333333
"65","0.9",2,5.456,4.18666666666667
"66","0.94",1,5.574,4.58
"67","0.96",2,5.741,5.13666666666667
"68","0.97",2,5.805,5.35
"69","0.98",2,5.878,5.59333333333333
"70","0.99",2,5.898,5.66
"71","0.37",1,4.629,1.43
"72","0.6",1,4.759,1.86333333333333
"73","0.75",1,4.998,2.66
"74","0.84",2,5.238,3.46
"75","0.9",2,5.447,4.15666666666667
"76","0.94",2,5.603,4.67666666666667
"77","0.96",2,5.729,5.09666666666667
"78","0.97",2,5.863,5.54333333333333
"79","0.98",2,5.849,5.49666666666667
"80","0.99",2,5.912,5.70666666666667
