"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,5.109,1.545
"2","0.6",1,5.199,1.995
"3","0.75",1,5.298,2.49
"4","0.84",1,5.479,3.395
"5","0.9",1,5.641,4.205
"6","0.94",1,5.72,4.6
"7","0.96",1,5.833,5.165
"8","0.97",1,5.895,5.475
"9","0.98",1,5.935,5.675
"10","0.99",1,5.947,5.735
"11","0.37",0,5.098,1.49
"12","0.6",0,5.195,1.975
"13","0.75",1,5.339,2.695
"14","0.84",1,5.489,3.445
"15","0.9",1,5.594,3.97
"16","0.94",1,5.727,4.635
"17","0.96",1,5.862,5.31
"18","0.97",1,5.862,5.31
"19","0.98",1,5.924,5.62
"20","0.99",1,5.932,5.66
"21","0.37",0,5.074,1.37
"22","0.6",1,5.204,2.02
"23","0.75",1,5.367,2.835
"24","0.84",1,5.46,3.3
"25","0.9",1,5.605,4.025
"26","0.94",1,5.729,4.645
"27","0.96",1,5.82,5.1
"28","0.97",1,5.873,5.365
"29","0.98",1,5.921,5.605
"30","0.99",1,5.973,5.865
"31","0.37",1,5.094,1.47
"32","0.6",1,5.2,2
"33","0.75",1,5.379,2.895
"34","0.84",1,5.49,3.45
"35","0.9",1,5.625,4.125
"36","0.94",1,5.727,4.635
"37","0.96",1,5.832,5.16
"38","0.97",1,5.871,5.355
"39","0.98",1,5.928,5.64
"40","0.99",1,5.929,5.645
"41","0.37",0,5.083,1.415
"42","0.6",1,5.193,1.965
"43","0.75",1,5.338,2.69
"44","0.84",1,5.464,3.32
"45","0.9",1,5.615,4.075
"46","0.94",1,5.723,4.615
"47","0.96",1,5.848,5.24
"48","0.97",1,5.876,5.38
"49","0.98",1,5.933,5.665
"50","0.99",1,5.946,5.73
"51","0.37",1,5.096,1.48
"52","0.6",1,5.202,2.01
"53","0.75",1,5.355,2.775
"54","0.84",1,5.519,3.595
"55","0.9",1,5.637,4.185
"56","0.94",1,5.727,4.635
"57","0.96",1,5.826,5.13
"58","0.97",1,5.915,5.575
"59","0.98",1,5.932,5.66
"60","0.99",1,5.946,5.73
"61","0.37",1,5.097,1.485
"62","0.6",1,5.217,2.085
"63","0.75",1,5.338,2.69
"64","0.84",1,5.488,3.44
"65","0.9",1,5.586,3.93
"66","0.94",1,5.771,4.855
"67","0.96",1,5.824,5.12
"68","0.97",1,5.894,5.47
"69","0.98",1,5.935,5.675
"70","0.99",1,5.967,5.835
"71","0.37",1,5.085,1.425
"72","0.6",1,5.183,1.915
"73","0.75",1,5.317,2.585
"74","0.84",1,5.456,3.28
"75","0.9",1,5.613,4.065
"76","0.94",1,5.713,4.565
"77","0.96",1,5.811,5.055
"78","0.97",1,5.9,5.5
"79","0.98",1,5.928,5.64
"80","0.99",1,5.933,5.665
"81","0.37",1,5.113,1.565
"82","0.6",1,5.203,2.015
"83","0.75",1,5.33,2.65
"84","0.84",1,5.417,3.085
"85","0.9",1,5.616,4.08
"86","0.94",1,5.725,4.625
"87","0.96",1,5.827,5.135
"88","0.97",1,5.865,5.325
"89","0.98",1,5.901,5.505
"90","0.99",1,5.962,5.81
"91","0.37",0,5.081,1.405
"92","0.6",1,5.211,2.055
"93","0.75",1,5.313,2.565
"94","0.84",1,5.488,3.44
"95","0.9",1,5.635,4.175
"96","0.94",1,5.713,4.565
"97","0.96",1,5.844,5.22
"98","0.97",1,5.881,5.405
"99","0.98",1,5.946,5.73
"100","0.99",1,5.969,5.845
"101","0.37",1,5.099,1.495
"102","0.6",1,5.202,2.01
"103","0.75",1,5.374,2.87
"104","0.84",1,5.458,3.29
"105","0.9",1,5.62,4.1
"106","0.94",1,5.702,4.51
"107","0.96",1,5.793,4.965
"108","0.97",1,5.897,5.485
"109","0.98",1,5.932,5.66
"110","0.99",1,5.942,5.71
"111","0.37",1,5.108,1.54
"112","0.6",1,5.202,2.01
"113","0.75",1,5.345,2.725
"114","0.84",1,5.483,3.415
"115","0.9",1,5.623,4.115
"116","0.94",1,5.67,4.35
"117","0.96",1,5.821,5.105
"118","0.97",1,5.916,5.58
"119","0.98",1,5.935,5.675
"120","0.99",1,5.953,5.765
"121","0.37",1,5.092,1.46
"122","0.6",1,5.197,1.985
"123","0.75",1,5.315,2.575
"124","0.84",1,5.449,3.245
"125","0.9",1,5.633,4.165
"126","0.94",1,5.756,4.78
"127","0.96",1,5.821,5.105
"128","0.97",1,5.909,5.545
"129","0.98",1,5.926,5.63
"130","0.99",1,5.956,5.78
"131","0.37",0,5.098,1.49
"132","0.6",0,5.209,2.045
"133","0.75",1,5.388,2.94
"134","0.84",1,5.479,3.395
"135","0.9",1,5.583,3.915
"136","0.94",1,5.746,4.73
"137","0.96",1,5.807,5.035
"138","0.97",1,5.888,5.44
"139","0.98",1,5.952,5.76
"140","0.99",1,5.922,5.61
"141","0.37",1,5.087,1.435
"142","0.6",1,5.198,1.99
"143","0.75",1,5.315,2.575
"144","0.84",1,5.482,3.41
"145","0.9",1,5.608,4.04
"146","0.94",1,5.72,4.6
"147","0.96",1,5.821,5.105
"148","0.97",1,5.884,5.42
"149","0.98",1,5.925,5.625
"150","0.99",1,5.946,5.73
