"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,1.489,1.53
"2","0.6",2,1.961,2
"3","0.75",2,2.698,2.63
"4","0.84",1,3.354,3.25
"5","0.9",1,4.148,4.155
"6","0.94",1,4.588,4.615
"7","0.96",1,5.091,5.03
"8","0.97",1,5.407,5.34
"9","0.98",1,5.644,5.65
"10","0.99",1,5.797,5.77
"11","0.37",1,1.466,1.51
"12","0.6",1,1.965,2.01
"13","0.75",1,2.632,2.44
"14","0.84",1,3.41,3.415
"15","0.9",1,4.067,3.91
"16","0.94",1,4.697,4.73
"17","0.96",1,5.102,4.885
"18","0.97",1,5.381,5.385
"19","0.98",1,5.649,5.56
"20","0.99",1,5.772,5.835
"21","0.37",1,1.445,1.405
"22","0.6",1,1.976,1.855
"23","0.75",1,2.737,2.78
"24","0.84",1,3.405,3.4
"25","0.9",1,4.075,4.025
"26","0.94",1,4.697,4.755
"27","0.96",1,5.136,5.095
"28","0.97",1,5.433,5.545
"29","0.98",1,5.694,5.77
"30","0.99",1,5.779,5.735
"31","0.37",2,1.464,1.425
"32","0.6",2,2.056,2.2
"33","0.75",2,2.653,2.715
"34","0.84",2,3.428,3.42
"35","0.9",2,4.125,4.28
"36","0.94",1,4.716,4.76
"37","0.96",1,5.116,5.18
"38","0.97",1,5.428,5.45
"39","0.98",1,5.682,5.74
"40","0.99",1,5.805,5.785
"41","0.37",2,1.428,1.47
"42","0.6",2,2.073,2.005
"43","0.75",2,2.668,2.735
"44","0.84",1,3.414,3.335
"45","0.9",1,4.079,4.015
"46","0.94",1,4.683,4.75
"47","0.96",1,5.168,5.205
"48","0.97",1,5.471,5.46
"49","0.98",1,5.688,5.57
"50","0.99",1,5.753,5.84
"51","0.37",2,1.472,1.555
"52","0.6",2,1.968,1.95
"53","0.75",2,2.707,2.69
"54","0.84",1,3.382,3.37
"55","0.9",1,4.079,3.88
"56","0.94",1,4.672,4.69
"57","0.96",1,5.161,5.1
"58","0.97",1,5.465,5.37
"59","0.98",1,5.646,5.66
"60","0.99",1,5.747,5.705
"61","0.37",3,1.464,1.455
"62","0.6",2,1.984,1.925
"63","0.75",2,2.769,2.9
"64","0.84",2,3.377,3.57
"65","0.9",1,4.003,4.21
"66","0.94",1,4.671,4.665
"67","0.96",1,5.102,5.23
"68","0.97",1,5.353,5.4
"69","0.98",1,5.645,5.695
"70","0.99",1,5.731,5.7
"71","0.37",2,1.457,1.49
"72","0.6",2,2.013,1.93
"73","0.75",1,2.67,2.66
"74","0.84",1,3.435,3.645
"75","0.9",1,4.149,4.13
"76","0.94",1,4.592,4.495
"77","0.96",1,5.163,5.21
"78","0.97",1,5.377,5.55
"79","0.98",1,5.623,5.655
"80","0.99",1,5.759,5.725
"81","0.37",2,1.42,1.395
"82","0.6",2,2.016,2.01
"83","0.75",1,2.64,2.745
"84","0.84",1,3.407,3.435
"85","0.9",1,4.016,3.935
"86","0.94",1,4.667,4.48
"87","0.96",1,5.173,5.22
"88","0.97",1,5.423,5.525
"89","0.98",1,5.664,5.625
"90","0.99",1,5.743,5.775
"91","0.37",2,1.469,1.51
"92","0.6",2,1.976,2.04
"93","0.75",2,2.726,2.655
"94","0.84",2,3.401,3.355
"95","0.9",1,4.144,4.095
"96","0.94",1,4.68,4.67
"97","0.96",1,5.135,5.08
"98","0.97",1,5.436,5.36
"99","0.98",1,5.628,5.63
"100","0.99",1,5.773,5.81
"101","0.37",2,1.47,1.395
"102","0.6",2,2.004,2.005
"103","0.75",2,2.642,2.635
"104","0.84",2,3.427,3.455
"105","0.9",1,4.11,4.07
"106","0.94",1,4.68,4.74
"107","0.96",1,5.12,5.06
"108","0.97",1,5.418,5.35
"109","0.98",1,5.631,5.68
"110","0.99",1,5.743,5.755
"111","0.37",2,1.446,1.33
"112","0.6",1,1.981,1.98
"113","0.75",1,2.657,2.705
"114","0.84",1,3.421,3.48
"115","0.9",1,4.158,4.035
